,trend_score,appearances,current_shares,share_change
Power Mech Projects Ltd,0.0,1,2392936.0,0.0
PNC Infratech Ltd,0.0,1,13086529.0,0.0
Timken India Ltd,0.0,1,1178718.0,0.0
Emami Ltd,0.0,1,3365892.0,0.0
Pearl Global Industries Ltd,0.0,1,2468184.0,0.0
BEML Ltd,0.0,1,203239.0,0.0
TCI Express Ltd,0.0,1,1140052.0,0.0
PVR INOX Ltd,0.0,1,4101954.0,0.0
Vardhman Textiles Ltd,0.0,1,9392211.0,0.0
GMM Pfaudler Ltd,0.0,1,1924361.0,0.0
Bajel Projects Ltd,0.0,1,5545822.0,0.0
G R Infraprojects Ltd,0.0,1,1497051.0,0.0
City Union Bank Ltd,0.0,1,19805638.0,0.0
L.G.Balakrishnan & Bros Ltd,0.0,1,2836501.0,0.0
Insecticides (India) Ltd,0.0,1,2636351.0,0.0
Ion Exchange (India) Ltd,0.0,1,3805736.0,0.0
CIE Automotive India Ltd,0.0,1,9578101.0,0.0
Repco Home Finance Ltd,0.0,1,524700.0,0.0
Suprajit Engineering Ltd,0.0,1,11440566.0,0.0
Transport Corp of India Ltd,0.0,1,4640090.0,0.0
Indian Bank,0.0,1,9688128.0,0.0
Chambal Fertilisers & Chemicals Ltd,0.0,1,8577755.0,0.0
Aadhar Housing Finance Ltd,0.0,1,4733174.0,0.0
Gujarat Pipavav Port Ltd,0.0,1,8800000.0,0.0
Bajaj Electricals Ltd,0.0,1,6635036.0,0.0
Sula Vineyards Ltd,0.0,1,6005600.0,0.0
Equitas Small Finance Bank Ltd Ordinary Shares,0.0,1,66023564.0,0.0
Jagran Prakashan Ltd,0.0,1,2348332.0,0.0
Dodla Dairy Ltd,0.0,1,2075310.0,0.0
Delta Corp Ltd,0.0,1,3000000.0,0.0
Awfis Space Solutions Ltd,0.0,1,4991954.0,0.0
Chalet Hotels Ltd,0.0,1,5793759.0,0.0
NRB Bearings Ltd,0.0,1,8748982.0,0.0
Fortis Healthcare Ltd,0.0,1,10073132.0,0.0
The Federal Bank Ltd,0.0,1,20759451.0,0.0
FIEM Industries Ltd,0.0,1,1447367.0,0.0
Firstsource Solutions Ltd,0.0,1,54611834.0,0.0
UTI Asset Management Co Ltd,0.0,1,1672559.0,0.0
Shoppers Stop Ltd,0.0,1,5457866.0,0.0
Sudarshan Chemical Industries Ltd,0.0,1,5767180.0,0.0
Kalpataru Projects International Ltd,0.0,1,4636042.0,0.0
TCPL Packaging Ltd,0.0,1,47201.0,0.0
KEI Industries Ltd,0.0,1,1007856.0,0.0
Voltamp Transformers Ltd,0.0,1,385000.0,0.0
Goodyear India Ltd,0.0,1,1053916.0,0.0
Bajaj Consumer Care Ltd,0.0,1,8719607.0,0.0
Aditya Vision Ltd,0.0,1,8894037.0,0.0
KEC International Ltd,0.0,1,4959256.0,0.0
Krishna Institute of Medical Sciences Ltd,0.0,1,11127166.0,0.0
The Anup Engineering Ltd,0.0,1,1221503.0,0.0
Redtape Ltd,0.0,1,22396179.0,0.0
Redington Ltd,0.0,1,13566331.0,0.0
Gateway Distriparks Ltd,0.0,1,33756481.0,0.0
GNA Axles Ltd,0.0,1,3277102.0,0.0
Vishal Mega Mart Ltd,0.0,1,19136949.0,0.0
Eris Lifesciences Ltd Registered Shs,0.0,1,6077924.0,0.0
Kirloskar Ferrous Industries Ltd,0.0,1,7899475.0,0.0
IFGL Refractories Ltd,0.0,1,6549367.0,0.0
Zensar Technologies Ltd,0.0,1,5045030.0,0.0
Carborundum Universal Ltd,0.0,1,652537.0,0.0
Sonata Software Ltd,0.0,1,18964481.0,0.0
Apar Industries Ltd,0.0,1,505371.0,0.0
VRL Logistics Ltd,0.0,1,14260128.0,0.0
D B Corp Ltd,0.0,1,4922150.0,0.0
SKF India Ltd,0.0,1,1108471.0,0.0
Blue Dart Express Ltd,0.0,1,657595.0,0.0
Aster DM Healthcare Ltd Ordinary Shares,0.0,1,24127134.0,0.0
Lumax Industries Ltd,0.0,1,416496.0,0.0
Indigo Paints Ltd Ordinary Shares,0.0,1,2068906.0,0.0
Gabriel India Ltd,0.0,1,10940190.0,0.0
T.V. Today Network Ltd,0.0,1,4832024.0,0.0
Akzo Nobel India Ltd,0.0,1,203045.0,0.0
Tata Steel Ltd,0.0,1,15443425.0,0.0
Sharda Cropchem Ltd,0.0,1,5406610.0,0.0
eClerx Services Ltd,0.0,1,3769083.0,0.0
Home First Finance Co India Ltd ---,0.0,1,4751657.0,0.0
Greenlam Industries Ltd,0.0,1,3555042.0,0.0
La Opala RG Ltd,0.0,1,9444822.0,0.0
Vesuvius India Ltd,0.0,1,3935770.0,0.0
Bank of Baroda,0.0,1,46828792.0,0.0
Unichem Laboratories Ltd,0.0,1,5458645.0,0.0
Great Eastern Shipping Co Ltd,0.0,1,5229582.0,0.0
