,trend_score,appearances,current_shares,share_change
Power Mech Projects Ltd,0.0,1,178209.0,0.0
Juniper Hotels Ltd,0.0,1,2527629.0,0.0
Heritage Foods Ltd,0.0,1,452302.0,0.0
EPACK Durable Ltd,0.0,1,52475.0,0.0
Steel Strips Wheels Ltd,0.0,1,1138043.0,0.0
Stove Kraft Ltd Ordinary Shares,0.0,1,1108248.0,0.0
Filatex India Ltd,0.0,1,3301688.0,0.0
Butterfly Gandhimathi Appliances Ltd,0.0,1,51013.0,0.0
Star Health and Allied Insurance Co Ltd,0.0,1,933877.0,0.0
Neuland Laboratories Ltd,0.0,1,61562.0,0.0
Motilal Oswal Financial Services Ltd,0.0,1,1476158.0,0.0
Gujarat State Petronet Ltd,0.0,1,277028.0,0.0
Prestige Estates Projects Ltd,0.0,1,822793.0,0.0
EFC (I) Ltd,0.0,1,1629863.0,0.0
PNB Housing Finance Ltd,0.0,1,2366507.0,0.0
IndusInd Bank Ltd,0.0,1,1245156.0,0.0
Senco Gold Ltd,0.0,1,2681961.0,0.0
Crompton Greaves Consumer Electricals Ltd,0.0,1,2495546.0,0.0
Emami Ltd,0.0,1,478304.0,0.0
INOX Green Energy Services Ltd,0.0,1,1700166.0,0.0
Greenply Industries Ltd,0.0,1,1109031.0,0.0
Shilpa Medicare Ltd,0.0,1,1102941.0,0.0
Signatureglobal (India) Ltd,0.0,1,693323.0,0.0
Innova Captab Ltd,0.0,1,261881.0,0.0
Digitide Solutions Ltd,0.0,1,888303.0,0.0
Aegis Vopak Terminals Ltd,0.0,1,524661.0,0.0
Jyoti CNC Automation Ltd,0.0,1,121424.0,0.0
Computer Age Management Services Ltd Ordinary Shares,0.0,1,142949.0,0.0
Ramco Cements Ltd,0.0,1,64657.0,0.0
GMM Pfaudler Ltd,0.0,1,270099.0,0.0
Ecos (India) Mobility & Hospitality Ltd,0.0,1,1198482.0,0.0
NCC Ltd,0.0,1,3647989.0,0.0
Sunteck Realty Ltd,0.0,1,1391157.0,0.0
Shaily Engineering Plastics Ltd,0.0,1,826391.0,0.0
Sai Life Sciences Ltd,0.0,1,527523.0,0.0
Deepak Fertilisers & Petrochemicals Corp Ltd,0.0,1,628944.0,0.0
Vintage Coffee & Beverages Ltd,0.0,1,1671993.0,0.0
Triveni Engineering & Industries Ltd,0.0,1,991376.0,0.0
Oswal Pumps Ltd,0.0,1,190471.0,0.0
Quess Corp Ltd,0.0,1,952393.0,0.0
Nitin Spinners Ltd,0.0,1,3076268.0,0.0
Bluspring Enterprises Ltd,0.0,1,888303.0,0.0
TVS Holdings Ltd,0.0,1,120757.0,0.0
Tata Communications Ltd,0.0,1,520000.0,0.0
Bharat Forge Ltd,0.0,1,22281.0,0.0
FDC Ltd,0.0,1,446288.0,0.0
Alicon Castalloy Ltd,0.0,1,319049.0,0.0
Multi Commodity Exchange of India Ltd,0.0,1,27547.0,0.0
Minda Corp Ltd,0.0,1,48528.0,0.0
PCBL Chemical Ltd,0.0,1,5479428.0,0.0
RHI Magnesita India Ltd,0.0,1,714139.0,0.0
Amara Raja Energy & Mobility Ltd,0.0,1,883565.0,0.0
Kolte-Patil Developers Ltd,0.0,1,2144741.0,0.0
Repco Home Finance Ltd,0.0,1,3472088.0,0.0
JK Tyre & Industries Ltd,0.0,1,697289.0,0.0
MOIL Ltd,0.0,1,277970.0,0.0
Updater Services Ltd,0.0,1,2960080.0,0.0
Aditya Birla Sun Life AMC Ltd,0.0,1,398053.0,0.0
Manappuram Finance Ltd,0.0,1,4779496.0,0.0
Flair Writing Industries Ltd,0.0,1,372544.0,0.0
Jindal Saw Ltd,0.0,1,562638.0,0.0
Sobha Ltd,0.0,1,3287942.0,0.0
CESC Ltd,0.0,1,2883720.0,0.0
Aditya Infotech,0.0,0,0.0,0.0
NLC India Ltd,0.0,1,1821422.0,0.0
Bombay Burmah Trading Corp Ltd,0.0,1,196754.0,0.0
Orchid Pharma Ltd,0.0,1,254952.0,0.0
Rashi Peripherals Ltd,0.0,1,3847091.0,0.0
NTPC Green Energy Ltd,0.0,1,1792533.0,0.0
