,trend_score,appearances,current_shares,share_change
Aeroflex Industries Ltd,0.0,1,2431354.0,0.0
PNC Infratech Ltd,0.0,1,3282291.0,0.0
Tata Power Co Ltd,0.0,1,7707138.0,0.0
RBL Bank Ltd,0.0,1,8932844.0,0.0
Sharda Motor Industries Ltd,0.0,1,1035976.0,0.0
Jtekt India,0.0,0,0.0,0.0
Timken India Ltd,0.0,1,1184218.0,0.0
Reliance Industries Ltd,0.0,1,3759371.0,0.0
PNB Housing Finance Ltd,0.0,1,4338237.0,0.0
Sumitomo Chemical India Ltd Ordinary Shares,0.0,1,2451897.0,0.0
HDFC Bank Ltd,0.0,1,13300000.0,0.0
Emami Ltd,0.0,1,10477258.0,0.0
Crompton Greaves Consumer Electricals Ltd,0.0,1,12349892.0,0.0
Craftsman Automation Ltd,0.0,1,454042.0,0.0
Bata India Ltd,0.0,1,560908.0,0.0
Texmaco Rail & Engineering Ltd,0.0,1,11408783.0,0.0
Dixon Technologies (India) Ltd,0.0,1,350144.0,0.0
Union Bank of India,0.0,1,9861558.0,0.0
Godrej Agrovet Ltd Ordinary Shares,0.0,1,3326386.0,0.0
PVR INOX Ltd,0.0,1,1964676.0,0.0
Afcons Infrastructure Ltd,0.0,1,4724669.0,0.0
Stanley Lifestyles Ltd,0.0,1,2526912.0,0.0
Vardhman Textiles Ltd,0.0,1,8465828.0,0.0
Ramco Cements Ltd,0.0,1,4221314.0,0.0
Rolex Rings Ltd,0.0,1,151234.0,0.0
Bajel Projects Ltd,0.0,1,3152081.0,0.0
Lemon Tree Hotels Ltd,0.0,1,13032739.0,0.0
Hindustan Aeronautics Ltd Ordinary Shares,0.0,1,862972.0,0.0
G R Infraprojects Ltd,0.0,1,1191114.0,0.0
Esab India Ltd,0.0,1,326882.0,0.0
Astra Microwave Products Ltd,0.0,1,2200000.0,0.0
Divgi TorqTransfer Systems Ltd,0.0,1,1152910.0,0.0
Sai Life Sciences Ltd,0.0,1,5772731.0,0.0
Navin Fluorine International Ltd,0.0,1,567368.0,0.0
Whirlpool of India Ltd,0.0,1,4940878.0,0.0
ITC Ltd,0.0,1,10000000.0,0.0
City Union Bank Ltd,0.0,1,10250670.0,0.0
RITES Ltd Ordinary Shares,0.0,1,9200000.0,0.0
Can Fin Homes Ltd,0.0,1,1644260.0,0.0
Styrenix Performance Materials Ltd,0.0,1,995981.0,0.0
L.G.Balakrishnan & Bros Ltd,0.0,1,890918.0,0.0
Seamec Ltd,0.0,1,911479.0,0.0
Max Estates Ltd,0.0,1,2510461.0,0.0
Castrol India Ltd,0.0,1,8368798.0,0.0
Pokarna Ltd,0.0,1,689983.0,0.0
FDC Ltd,0.0,1,4275331.0,0.0
Multi Commodity Exchange of India Ltd,0.0,1,1851010.0,0.0
H.G. Infra Engineering Ltd Ordinary Shares,0.0,1,2214923.0,0.0
Gland Pharma Ltd,0.0,1,1780371.0,0.0
ISGEC Heavy Engineering Ltd,0.0,1,4185591.0,0.0
K.P.R. Mill Ltd,0.0,1,3448243.0,0.0
Linde India Ltd,0.0,1,400000.0,0.0
RHI Magnesita India Ltd,0.0,1,1984176.0,0.0
Ion Exchange (India) Ltd,0.0,1,7161360.0,0.0
Century Plyboards (India) Ltd,0.0,1,3274464.0,0.0
CIE Automotive India Ltd,0.0,1,4966784.0,0.0
CreditAccess Grameen Ltd Ordinary Shares,0.0,1,1334795.0,0.0
InterGlobe Aviation Ltd,0.0,0,0.0,0.0
JK Tyre & Industries Ltd,0.0,1,2072598.0,0.0
Finolex Cables Ltd,0.0,1,2918506.0,0.0
Aditya Birla Sun Life AMC Ltd,0.0,1,2700000.0,0.0
NIIT Ltd,0.0,1,11111066.0,0.0
Piramal Enterprises Ltd,0.0,1,705693.0,0.0
Infosys Ltd,0.0,0,0.0,0.0
HDB Financial Services Ltd,0.0,1,4266092.0,0.0
