,trend_score,appearances,current_shares,share_change,has_changes
Ingersoll-Rand (India) Ltd,0.0,1,95565.0,0.0,
Sonata Software Ltd,0.0,1,4325452.0,0.0,
Apar Industries Ltd,0.0,1,117822.0,0.0,
Aditya Infotech Ltd,1.0,1,1579913.0,37.2010827324666,True
Triveni Turbine Ltd,0.0,1,1795430.0,0.0,
360 One Wam Ltd Ordinary Shares,0.0,1,1282698.0,0.0,
Concord Biotech Ltd,0.0,1,330193.0,0.0,
Craftsman Automation Ltd,0.0,1,158953.0,0.0,
J.B. Chemicals & Pharmaceuticals Ltd,0.0,1,438823.0,0.0,
Nippon Life India Asset Management Ltd Ordinary Shares,0.0,1,155710.0,0.0,
Senco Gold Ltd,0.0,0,0.0,0.0,
Ratnamani Metals & Tubes Ltd,0.0,1,184976.0,0.0,
Birla Corp Ltd,0.0,1,261679.0,0.0,
Orchid Pharma Ltd,0.0,1,455183.0,0.0,
Phoenix Mills Ltd,0.0,1,406953.0,0.0,
Krishna Institute of Medical Sciences Ltd,0.0,1,4835923.0,0.0,
Birlasoft Ltd,0.0,1,1204388.0,0.0,
Innova Captab Ltd,0.0,1,630001.0,0.0,
Neogen Chemicals Ltd,0.0,1,222523.0,0.0,
Swiggy Ltd,1.0,1,6685853.0,9.910184341153194,True
Aether Industries Ltd,0.0,1,303495.0,0.0,
Amber Enterprises India Ltd Ordinary Shares,1.0,1,188762.0,0.0,True
L&T Finance Ltd,0.0,1,7445366.0,0.0,
Cholamandalam Financial Holdings Ltd,0.0,1,1083146.0,0.0,
Aditya Birla Real Estate Ltd,0.0,1,1043423.0,0.0,
BEML Ltd,0.0,1,304992.0,0.0,
Jyoti CNC Automation Ltd,0.0,1,1222324.0,0.0,
Afcons Infrastructure Ltd,0.0,1,1819587.0,0.0,
Rolex Rings Ltd,0.0,1,173645.0,0.0,
Cohance Lifesciences Ltd,-1.0,1,0.0,-100.0,True
Karur Vysya Bank Ltd,0.0,1,9679612.0,0.0,
SBFC Finance Ltd,1.0,1,10095450.0,0.0,True
Go Digit General Insurance Ltd,0.0,1,4384695.0,0.0,
Brigade Enterprises Ltd,0.0,1,1812778.0,0.0,
ZF Commercial Vehicle Control Systems India Ltd,1.0,1,86851.0,81.06406487793691,True
Global Health Ltd,0.0,1,1578766.0,0.0,
Wockhardt Ltd,0.0,1,739359.0,0.0,
Entero Healthcare Solutions Ltd,-1.0,1,52774.0,-83.203798830052,True
JK Lakshmi Cement Ltd,0.0,1,2905698.0,0.0,
Leela Palaces Hotels and Resorts Ltd,1.0,1,2759482.0,0.0,True
Sai Life Sciences Ltd,0.0,1,4942410.0,0.0,
Brainbees Solutions Ltd,0.0,1,104542.0,0.0,
Schloss Bangalore Ltd,-1.0,1,0.0,-100.0,True
Eternal Ltd,1.0,1,3647918.0,197.2483538117173,True
Safari Industries (India) Ltd,0.0,1,430728.0,0.0,
Awfis Space Solutions Ltd,0.0,1,897688.0,0.0,
Ather Energy Ltd,0.0,1,2689536.0,0.0,
Home First Finance Co India Ltd ---,0.0,1,672339.0,0.0,
Trent Ltd,0.0,1,228422.0,0.0,
Angel One Ltd Ordinary Shares,0.0,1,408233.0,0.0,
Zensar Technologies Ltd,0.0,1,1466947.0,0.0,
The Federal Bank Ltd,0.0,1,5152668.0,0.0,
Ethos Ltd,0.0,1,377591.0,0.0,
Seamec Ltd,-1.0,1,0.0,-100.0,True
Vishal Mega Mart Ltd,-1.0,1,10303424.0,-20.43423221267055,True
Hexaware Technologies Ltd Ordinary Shares,0.0,1,1169011.0,0.0,
KSB Ltd,0.0,1,7953.0,0.0,
Max Estates Ltd,0.0,1,649828.0,0.0,
Apollo Hospitals Enterprise Ltd,0.0,1,151411.0,0.0,
Indegene Ltd,0.0,0,0.0,0.0,
BSE Ltd,0.0,1,916044.0,0.0,
Carborundum Universal Ltd,0.0,1,764221.0,0.0,
Five-Star Business Finance Ltd,-1.0,1,0.0,-100.0,True
Multi Commodity Exchange of India Ltd,-1.0,1,309918.0,-10.13509399166645,True
Mrs Bectors Food Specialities Ltd Ordinary Shares,0.0,1,809979.0,0.0,
Kirloskar Oil Engines Ltd,0.0,1,770676.0,0.0,
Laxmi Dental Ltd,-1.0,1,0.0,-100.0,True
Anand Rathi Wealth Ltd,0.0,1,398771.0,0.0,
Dr Agarwal’s Health Care Ltd,0.0,1,2523382.0,0.0,
Kaynes Technology India Ltd,0.0,1,243343.0,0.0,
Can Fin Homes Ltd,0.0,0,0.0,0.0,
Trualt Bioenergy Ltd,1.0,1,504030.0,0.0,True
CreditAccess Grameen Ltd Ordinary Shares,0.0,1,646256.0,0.0,
InterGlobe Aviation Ltd,0.0,1,406892.0,0.0,
Central Depository Services (India) Ltd,0.0,1,613999.0,0.0,
Delhivery Ltd,0.0,1,4616475.0,0.0,
