,trend_score,appearances,current_shares,share_change,has_changes
Apar Industries Ltd,0.0,1,138517.0,0.0,
KEI Industries Ltd,1.0,1,245992.0,1.5866198637208344,True
Carraro India Ltd,-1.0,1,0.0,-100.0,True
Sagility Ltd,1.0,1,14381746.0,0.0,True
Thirumalai Chemicals Ltd,1.0,1,3068592.0,0.0,True
Triveni Turbine Ltd,-1.0,1,1321063.0,-28.426415190430294,True
Gufic Biosciences Ltd,-1.0,1,0.0,-100.0,True
V-Mart Retail Ltd,1.0,1,1654754.0,11.97884875397398,True
Aditya Vision Ltd,1.0,1,1453332.0,0.0,True
Cholamandalam Investment and Finance Co Ltd,1.0,1,443754.0,4.1026026002543015,True
Sagility India Ltd,-1.0,1,0.0,-100.0,True
CCL Products (India) Ltd,1.0,1,2251622.0,1.1178269849389082,True
Glenmark Pharmaceuticals Ltd,1.0,1,616399.0,41.94892225497421,True
Vijaya Diagnostic Centre Ltd,1.0,1,1313145.0,14.716912892040854,True
KEC International Ltd,1.0,1,1014068.0,20.624875844406724,True
Syrma SGS Technology Ltd,1.0,1,778615.0,0.0,True
Rossari Biotech Ltd Ordinary Shares,-1.0,1,779574.0,-24.535202269053176,True
Bharat Dynamics Ltd Ordinary Shares,1.0,1,729287.0,30.364143054540126,True
Gabriel India Ltd,1.0,1,757569.0,2.2505213289332495,True
Aegis Vopak Terminals Ltd,1.0,1,3279158.0,62.05921424589509,True
Asahi India Glass Ltd,1.0,1,1305641.0,0.0,True
Transformers & Rectifiers (India) Ltd,1.0,1,2483963.0,9.34374726251386,True
Cholamandalam Financial Holdings Ltd,1.0,1,471111.0,3.161787891528274,True
Aditya Birla Real Estate Ltd,1.0,1,455325.0,7.531770079327781,True
Godrej Agrovet Ltd Ordinary Shares,-1.0,1,0.0,-100.0,True
Karur Vysya Bank Ltd,1.0,1,9641482.0,26.16244948880003,True
Bharat Electronics Ltd,0.0,0,0.0,0.0,
Shaily Engineering Plastics Ltd,-1.0,1,678134.0,-14.44226877482324,True
Aditya Birla Capital Ltd,1.0,1,56180.0,0.0,True
Deepak Fertilisers & Petrochemicals Corp Ltd,1.0,1,502913.0,11.629450412856256,True
Inox Wind Ltd,-1.0,1,0.0,-100.0,True
Hitachi Energy India Ltd Ordinary Shares,-1.0,1,0.0,-100.0,True
Varroc Engineering Ltd Ordinary Shares,0.0,1,1586946.0,0.0,
eClerx Services Ltd,1.0,1,296857.0,4.144272463198664,True
Jain Resource Recycling Ltd,1.0,1,1118047.0,0.0,True
Rainbow Childrens Medicare Ltd,1.0,1,1070212.0,18.098092486697283,True
V2 Retail Ltd,1.0,1,663668.0,10.833924798971267,True
Chalet Hotels Ltd,1.0,1,888516.0,4.523424118654596,True
JM Financial Ltd,1.0,1,7121286.0,34.09491263844165,True
Styrenix Performance Materials Ltd,1.0,1,545210.0,10.661643818933916,True
V-Guard Industries Ltd,-1.0,1,0.0,-100.0,True
Siemens Energy India Ltd,1.0,1,363883.0,9.671692892857896,True
PG Electroplast Ltd,1.0,1,1245277.0,0.0,True
VA Tech Wabag Ltd,1.0,1,1067785.0,13.440400988447573,True
Thirumalai Chemicals Limited,1.0,1,547587.0,0.0,True
Pitti Engineering Ltd,-1.0,1,0.0,-100.0,True
Campus Activewear Ltd,1.0,1,5863276.0,8.03116708150672,True
Indus Towers Ltd Ordinary Shares,-1.0,1,0.0,-100.0,True
Five-Star Business Finance Ltd,1.0,1,1813917.0,10.94639649310162,True
Sky Gold and Diamonds Ltd,1.0,1,2926869.0,2.6298543165902784,True
Multi Commodity Exchange of India Ltd,1.0,1,165489.0,13.02117836678664,True
Pricol Ltd,1.0,1,2247279.0,1.5088934600614128,True
Gokaldas Exports Ltd,-1.0,1,1102536.0,-2.310621700599142,True
GE Vernova T&D India Ltd,-1.0,1,237703.0,-13.493025303971557,True
P N Gadgil Jewellers Ltd,0.0,1,1123699.0,0.0,
Inox Wind Ltd - Rights,-1.0,1,0.0,-100.0,True
Ola Electric Mobility Ltd,1.0,1,8209580.0,0.0,True
Dr Agarwal’s Health Care Ltd,1.0,1,4584007.0,3.48568326069706,True
Kaynes Technology India Ltd,0.0,1,107418.0,0.0,
Premier Energies Ltd,0.0,1,755485.0,0.0,
Suzlon Energy Ltd,0.0,1,15140045.0,0.0,
Central Depository Services (India) Ltd,1.0,1,560279.0,70.635727947178,True
