,trend_score,appearances,current_shares,share_change,has_changes
VIP Industries Ltd,0.0,1,4692204.0,0.0,
IDFC First Bank Ltd,0.0,1,59000000.0,0.0,
Time Technoplast Ltd,1.0,1,14203058.0,100.0,True
ASK Automotive Ltd,0.0,1,3158073.0,0.0,
Anant Raj Ltd,0.0,1,3639258.0,0.0,
HealthCare Global Enterprises Ltd,-1.0,1,2797424.0,-14.935381061835981,True
Finolex Cables Ltd,0.0,1,900700.0,0.0,
Network People Services Technologies Ltd,1.0,1,1532500.0,1681.9767441860463,True
Krsnaa Diagnostics Ltd,0.0,1,2572211.0,0.0,
Radico Khaitan Ltd,-1.0,1,0.0,-100.0,True
Eureka Forbes Ltd,0.0,1,1121339.0,0.0,
ACME Solar Holdings Ltd,1.0,1,4660931.0,20.039563936500937,True
Transport Corp of India Ltd,0.0,1,782332.0,0.0,
Sundrop Brands Ltd,0.0,1,1782421.0,0.0,
R R Kabel Ltd,0.0,1,539278.0,0.0,
BASF India Ltd,0.0,1,763051.0,0.0,
Honda India Power Products Ltd,0.0,1,521006.0,0.0,
Tega Industries Ltd,1.0,1,149344.0,0.0,True
Netweb Technologies India Ltd,0.0,0,0.0,0.0,
Greenply Industries Ltd,0.0,1,7000830.0,0.0,
Balrampur Chini Mills Ltd,1.0,1,1502135.0,199.14963107530843,True
Digitide Solutions Ltd,0.0,1,4804600.0,0.0,
Alivus Life Sciences Ltd,0.0,1,806867.0,0.0,
DCB Bank Ltd,0.0,1,11340118.0,0.0,
Ramco Industries Ltd,0.0,1,2281581.0,0.0,
ELANTAS Beck India Ltd,0.0,1,209256.0,0.0,
Allcargo Logistics Ltd,0.0,1,17112968.0,0.0,
Rallis India Ltd,0.0,1,540349.0,0.0,
Gujarat Pipavav Port Ltd,0.0,1,10859605.0,0.0,
Redington Ltd,0.0,1,6466218.0,0.0,
Cohance Lifesciences Ltd,-1.0,1,0.0,-100.0,True
Akzo Nobel India Ltd,0.0,1,287484.0,0.0,
Hikal Ltd,0.0,1,3300000.0,0.0,
Wockhardt Ltd,0.0,1,1929375.0,0.0,
Keystone Realtors Ltd,0.0,1,2734324.0,0.0,
CE Info Systems Ltd,1.0,1,1850822.0,4.1326815084543504,True
Automotive Axles Ltd,0.0,1,143392.0,0.0,
Sundaram Clayton Ltd,1.0,1,1326805.0,3.4451437958486437,True
Natco Pharma Ltd,0.0,1,549064.0,0.0,
Quess Corp Ltd,1.0,1,5325000.0,6.5,True
POWERGRID Infrastructure Investment Trust Units,0.0,1,1043500.0,0.0,
Sri Lotus Developers And Realty Ltd,0.0,1,2777562.0,0.0,
Eveready Industries India Ltd,0.0,1,1772916.0,0.0,
CarTrade Tech Ltd,0.0,1,528313.0,0.0,
Vardhman Special Steels Ltd,0.0,1,2378601.0,0.0,
KSB Ltd,0.0,1,2057604.0,0.0,
Bluspring Enterprises Ltd,1.0,1,8360577.0,74.01192607084877,True
Smartworks Coworking Spaces Ltd,0.0,1,2168435.0,0.0,
Transindia Real Estate Ltd,0.0,1,3095712.0,0.0,
Godrej Industries Ltd,0.0,1,2875510.0,0.0,
SAMHI Hotels Ltd,0.0,1,11907432.0,0.0,
MM Forgings Ltd,0.0,1,1576286.0,0.0,
Kirloskar Ferrous Industries Ltd,1.0,1,3991937.0,0.5795002540982636,True
Shoppers Stop Ltd,0.0,1,4825779.0,0.0,
Kirloskar Pneumatic Co Ltd,0.0,1,3090522.0,0.0,
Gokaldas Exports Ltd,0.0,1,1503967.0,0.0,
Graphite India Ltd,0.0,1,3757727.0,0.0,
Ganesha Ecosphere Ltd,0.0,1,578704.0,0.0,
Wonderla Holidays Ltd,0.0,1,4300000.0,0.0,
PCBL Chemical Ltd,1.0,1,4332988.0,20.360777777777777,True
Cello World Ltd,0.0,1,1692675.0,0.0,
Usha Martin Ltd,1.0,1,10966342.0,4.128955597117638,True
CIE Automotive India Ltd,0.0,1,3232701.0,0.0,
Sudarshan Chemical Industries Ltd,0.0,1,4691125.0,0.0,
Carborundum Universal Ltd,0.0,1,2389281.0,0.0,
