,trend_score,appearances,current_shares,share_change,has_changes
JK Cement Ltd,0.0,1,41960.0,0.0,
International Gemmological Institute (India) Ltd,0.0,1,684863.0,0.0,
KEI Industries Ltd,-1.0,1,57500.0,-14.814814814814813,True
Blue Star Ltd,0.0,1,208329.0,0.0,
Gillette India Ltd,0.0,1,23422.0,0.0,
Sagility Ltd,0.0,1,9163724.0,0.0,
Sharda Motor Industries Ltd,0.0,1,200384.0,0.0,
Neuland Laboratories Ltd,1.0,1,12369.0,25.3318471982977,True
Urban Co Ltd,1.0,1,789235.0,0.0,True
Blue Jet Healthcare Ltd,1.0,1,118519.0,0.0,True
Radico Khaitan Ltd,0.0,1,128877.0,0.0,
Eureka Forbes Ltd,-1.0,1,498735.0,-15.800305238349283,True
Triveni Turbine Ltd,0.0,1,487731.0,0.0,
Timken India Ltd,0.0,1,65790.0,0.0,
Solar Industries India Ltd,0.0,1,32376.0,0.0,
Sumitomo Chemical India Ltd Ordinary Shares,0.0,1,630408.0,0.0,
Aster DM Healthcare Ltd Ordinary Shares,1.0,1,271011.0,0.0,True
360 One Wam Ltd Ordinary Shares,0.0,1,146853.0,0.0,
CreditAccess Grameen Ltd Ordinary Shares,0.0,1,92184.0,0.0,
CCL Products (India) Ltd,0.0,1,475850.0,0.0,
Crompton Greaves Consumer Electricals Ltd,0.0,0,0.0,0.0,
Ratnamani Metals & Tubes Ltd,0.0,1,46556.0,0.0,
Tega Industries Ltd,-1.0,1,75699.0,-39.777563862878786,True
Greenply Industries Ltd,0.0,1,504527.0,0.0,
Krishna Institute of Medical Sciences Ltd,0.0,1,677329.0,0.0,
Gabriel India Ltd,-1.0,1,269101.0,-15.66902015349372,True
Dixon Technologies (India) Ltd,-1.0,1,19011.0,-9.518823473418687,True
Sansera Engineering Ltd,0.0,1,149242.0,0.0,
Innova Captab Ltd,0.0,1,46227.0,0.0,
Metro Brands Ltd,0.0,0,0.0,0.0,
MTAR Technologies Ltd,1.0,1,69239.0,0.0,True
Cholamandalam Financial Holdings Ltd,0.0,1,101128.0,0.0,
Karur Vysya Bank Ltd,0.0,1,1230585.0,0.0,
Bikaji Foods International Ltd,0.0,1,287657.0,0.0,
Akzo Nobel India Ltd,0.0,1,50317.0,0.0,
Brigade Enterprises Ltd,0.0,1,136172.0,0.0,
Global Health Ltd,-1.0,1,175412.0,-20.173658199160833,True
Technocraft Industries (India) Ltd,-1.0,1,1310.0,-93.94359685621822,True
Affle 3i Ltd,0.0,1,219887.0,0.0,
Blackbuck Ltd,0.0,1,273210.0,0.0,
JK Lakshmi Cement Ltd,0.0,1,276123.0,0.0,
Bluestone Jewellery And Lifestyle Ltd,0.0,1,338361.0,0.0,
Navin Fluorine International Ltd,0.0,1,70355.0,0.0,
Sai Life Sciences Ltd,0.0,1,302242.0,0.0,
Shivalik Bimetal Controls Ltd,0.0,1,168306.0,0.0,
Eternal Ltd,1.0,1,530000.0,0.0,True
Safari Industries (India) Ltd,0.0,1,96075.0,0.0,
Le Travenues Technology Ltd,0.0,1,894257.0,0.0,
Awfis Space Solutions Ltd,0.0,1,605067.0,0.0,
Ather Energy Ltd,0.0,1,340038.0,0.0,
Home First Finance Co India Ltd ---,0.0,1,191318.0,0.0,
Rainbow Childrens Medicare Ltd,-1.0,1,111521.0,-26.33334654459461,True
DOMS Industries Ltd,0.0,1,145883.0,0.0,
Max Financial Services Ltd,0.0,1,110000.0,0.0,
Vishal Mega Mart Ltd,0.0,1,2236441.0,0.0,
Hexaware Technologies Ltd Ordinary Shares,0.0,1,275287.0,0.0,
Concord Enviro Systems Ltd,-1.0,1,0.0,-100.0,True
Anthem Biosciences Ltd,0.0,1,124000.0,0.0,
Schneider Electric Infrastructure Ltd,0.0,1,209802.0,0.0,
Multi Commodity Exchange of India Ltd,0.0,1,72331.0,0.0,
Mrs Bectors Food Specialities Ltd Ordinary Shares,0.0,1,228058.0,0.0,
Kirloskar Pneumatic Co Ltd,0.0,1,155095.0,0.0,
Ganesha Ecosphere Ltd,0.0,1,102775.0,0.0,
P N Gadgil Jewellers Ltd,0.0,0,0.0,0.0,
Dr Agarwal’s Health Care Ltd,0.0,1,537755.0,0.0,
Bharat Rasayan Ltd,0.0,1,25978.0,0.0,
Kaynes Technology India Ltd,-1.0,1,23590.0,-18.906840838776212,True
PB Fintech Ltd,0.0,1,88300.0,0.0,
Data Patterns (India) Ltd,0.0,1,88500.0,0.0,
J.B. Chemicals & Pharmaceuticals Ltd,0.0,1,205663.0,0.0,
