,trend_score,appearances,current_shares,share_change,has_changes
PNC Infratech Ltd,0.0,1,3805180.0,0.0,
Time Technoplast Ltd,1.0,1,1490446.0,0.0,True
Sharda Motor Industries Ltd,0.0,1,516620.0,0.0,
Atlanta Electricals Ltd,1.0,1,229387.0,0.0,True
Jupiter Life Line Hospitals Ltd,0.0,0,0.0,0.0,
Timken India Ltd,0.0,1,328425.0,0.0,
PNB Housing Finance Ltd,0.0,1,966457.0,0.0,
Inventurus Knowledge Solutions Ltd,0.0,1,849601.0,0.0,
Craftsman Automation Ltd,0.0,1,448509.0,0.0,
HDFC Bank Ltd,-1.0,1,3067560.0,-24.58476334706802,True
Crompton Greaves Consumer Electricals Ltd,0.0,1,7011705.0,0.0,
Vijaya Diagnostic Centre Ltd,0.0,1,1967924.0,0.0,
Container Corporation of India Ltd,0.0,1,840528.0,0.0,
TeamLease Services Ltd,0.0,1,271086.0,0.0,
Union Bank of India,1.0,1,10743897.0,4.275886125447889,True
Jyoti CNC Automation Ltd,0.0,1,460992.0,0.0,
KNR Constructions Ltd,0.0,1,3873356.0,0.0,
EPL Ltd Ordinary Shares,0.0,1,1586570.0,0.0,
Computer Age Management Services Ltd Ordinary Shares,0.0,1,531022.0,0.0,
Rolex Rings Ltd,0.0,1,981290.0,0.0,
SBFC Finance Ltd,0.0,1,6390734.0,0.0,
Sai Life Sciences Ltd,0.0,1,3771187.0,0.0,
Navin Fluorine International Ltd,0.0,1,522648.0,0.0,
Deepak Fertilisers & Petrochemicals Corp Ltd,0.0,1,1078851.0,0.0,
City Union Bank Ltd,0.0,1,19699201.0,0.0,
Whirlpool of India Ltd,0.0,1,694567.0,0.0,
Jain Resource Recycling Ltd,1.0,1,2456262.0,0.0,True
VST Industries Ltd,-1.0,1,1887964.0,-0.49794140650528196,True
Prudent Corporate Advisory Services Ltd,0.0,1,125000.0,0.0,
VA Tech Wabag Ltd,0.0,1,225.0,0.0,
BSE Ltd,0.0,1,659598.0,0.0,
Alicon Castalloy Ltd,0.0,1,1011361.0,0.0,
Multi Commodity Exchange of India Ltd,0.0,1,660372.0,0.0,
Minda Corp Ltd,0.0,1,5769277.0,0.0,
Gland Pharma Ltd,0.0,1,458035.0,0.0,
RHI Magnesita India Ltd,0.0,1,4353959.0,0.0,
Tech Mahindra Ltd,0.0,1,868319.0,0.0,
PB Fintech Ltd,0.0,1,2391676.0,0.0,
CIE Automotive India Ltd,0.0,1,3505127.0,0.0,
CreditAccess Grameen Ltd Ordinary Shares,0.0,1,1532673.0,0.0,
Azad Engineering Ltd,1.0,1,264476.0,0.0,True
Engineers India Ltd,0.0,1,2035883.0,0.0,
Devyani International Ltd,0.0,1,11311741.0,0.0,
HealthCare Global Enterprises Ltd,1.0,1,1690271.0,21.42751436781609,True
Suprajit Engineering Ltd,0.0,1,1126315.0,0.0,
PDS Ltd,0.0,1,1399254.0,0.0,
R R Kabel Ltd,0.0,1,941352.0,0.0,
CCL Products (India) Ltd,0.0,1,6944251.0,0.0,
Amber Enterprises India Ltd Ordinary Shares,0.0,1,172996.0,0.0,
L&T Finance Ltd,0.0,1,6720084.0,0.0,
Aadhar Housing Finance Ltd,1.0,1,1121827.0,88.65840163865504,True
Rategain Travel Technologies Ltd,0.0,1,2090422.0,0.0,
Ellenbarrie Industrial Gases Ltd,0.0,1,2344809.0,0.0,
Karur Vysya Bank Ltd,0.0,1,12132840.0,0.0,
Tata Consultancy Services Ltd,0.0,1,237254.0,0.0,
Niva Bupa Health Insurance Co Ltd,0.0,1,13847059.0,0.0,
OneSource Specialty Pharma Ltd,0.0,1,1066196.0,0.0,
TBO Tek Ltd,0.0,1,978007.0,0.0,
Titagarh Rail Systems Ltd,0.0,1,932832.0,0.0,
Grindwell Norton Ltd,0.0,1,895775.0,0.0,
Chalet Hotels Ltd,0.0,1,1533836.0,0.0,
JM Financial Ltd,0.0,1,4765585.0,0.0,
Fortis Healthcare Ltd,-1.0,1,645944.0,-23.60158676466066,True
Firstsource Solutions Ltd,0.0,1,2205999.0,0.0,
Anthem Biosciences Ltd,-1.0,1,185749.0,-55.262764932562625,True
Mrs Bectors Food Specialities Ltd Ordinary Shares,0.0,1,2022118.0,0.0,
Havells India Ltd,0.0,1,635613.0,0.0,
Kaynes Technology India Ltd,0.0,1,812899.0,0.0,
Sudarshan Chemical Industries Ltd,0.0,1,1945414.0,0.0,
Kalpataru Projects International Ltd,0.0,1,1774516.0,0.0,
Strides Pharma Science Ltd,0.0,1,735028.0,0.0,
KEI Industries Ltd,0.0,1,129909.0,0.0,
Anant Raj Ltd,0.0,1,2538132.0,0.0,
Gujarat Fluorochemicals Ltd Ordinary Shares,1.0,1,464211.0,114.39834101552758,True
Narayana Hrudayalaya Ltd,-1.0,1,1975949.0,-19.9233822059165,True
Aditya Infotech Ltd,0.0,1,75204.0,0.0,
Sagility Ltd,1.0,1,17433080.0,134.53373298820947,True
Ajax Engineering Ltd,0.0,1,507104.0,0.0,
Welspun Corp Ltd,0.0,1,1618639.0,0.0,
Radico Khaitan Ltd,0.0,1,554354.0,0.0,
Aditya Vision Ltd,1.0,1,2210874.0,0.0,True
Phoenix Mills Ltd,0.0,1,1681118.0,0.0,
Krishna Institute of Medical Sciences Ltd,0.0,1,10645743.0,0.0,
Neogen Chemicals Ltd,0.0,1,1217809.0,0.0,
Aether Industries Ltd,-1.0,1,0.0,-100.0,True
MTAR Technologies Ltd,-1.0,1,0.0,-100.0,True
Cholamandalam Financial Holdings Ltd,0.0,1,2863484.0,0.0,
India Shelter Finance Corporation Ltd,0.0,1,2391697.0,0.0,
Cohance Lifesciences Ltd,1.0,1,2540619.0,25.37295535194816,True
Brigade Enterprises Ltd,0.0,1,6154986.0,0.0,
Galaxy Surfactants Ltd,0.0,1,1406032.0,0.0,
JK Lakshmi Cement Ltd,0.0,1,4300757.0,0.0,
UNO Minda Ltd,0.0,1,976563.0,0.0,
Coforge Ltd,0.0,1,1129938.0,0.0,
Rainbow Childrens Medicare Ltd,0.0,1,853305.0,0.0,
Persistent Systems Ltd,-1.0,1,95510.0,-36.26335493256635,True
GE Vernova T&D India Ltd,0.0,1,500000.0,0.0,
Ahluwalia Contracts (India) Ltd,0.0,1,3220147.0,0.0,
Gokaldas Exports Ltd,1.0,1,1912404.0,52.409384585836094,True
Jubilant Ingrevia Ltd Ordinary Shares,0.0,1,2578209.0,0.0,
Premier Energies Ltd,0.0,1,1322455.0,0.0,
Tata Consumer Products Ltd,0.0,1,1102866.0,0.0,
Carborundum Universal Ltd,0.0,1,1560588.0,0.0,
Delhivery Ltd,0.0,1,1495630.0,0.0,
Apar Industries Ltd,0.0,1,194983.0,0.0,
MAS Financial Services Ltd Ordinary Shares,0.0,0,0.0,0.0,
Blue Star Ltd,0.0,1,2603151.0,0.0,
Happy Forgings Ltd,0.0,1,275287.0,0.0,
Jyothy Labs Ltd,0.0,1,2803873.0,0.0,
