,trend_score,appearances,current_shares,share_change,has_changes
PNC Infratech Ltd,0.0,1,2529383.0,0.0,
Time Technoplast Ltd,0.0,1,6810500.0,0.0,
Sharda Motor Industries Ltd,1.0,1,1113424.0,100.0,True
Neuland Laboratories Ltd,-1.0,1,166718.0,-27.86205702912033,True
Motilal Oswal Financial Services Ltd,1.0,1,3021718.0,36.99376262051543,True
PNB Housing Finance Ltd,0.0,1,2566200.0,0.0,
Sumitomo Chemical India Ltd Ordinary Shares,0.0,1,4672221.0,0.0,
Nippon Life India Asset Management Ltd Ordinary Shares,0.0,1,4446300.0,0.0,
Concord Biotech Ltd,0.0,1,853962.0,0.0,
Supreme Industries Ltd,0.0,1,217043.0,0.0,
Vijaya Diagnostic Centre Ltd,0.0,1,1481600.0,0.0,
Dixon Technologies (India) Ltd,0.0,1,132400.0,0.0,
Jyoti CNC Automation Ltd,0.0,1,2317401.0,0.0,
Rolex Rings Ltd,0.0,1,386877.0,0.0,
NCC Ltd,-1.0,1,0.0,-100.0,True
Lemon Tree Hotels Ltd,1.0,1,16424446.0,45.138436251811534,True
Sai Life Sciences Ltd,1.0,1,1829024.0,87.2566795700422,True
Supreme Petrochem Ltd,0.0,1,3565768.0,0.0,
Indo Count Industries Ltd,0.0,1,2471400.0,0.0,
Nitin Spinners Ltd,-1.0,1,1282450.0,-1.735649780630173,True
Prudent Corporate Advisory Services Ltd,0.0,1,449520.0,0.0,
BSE Ltd,-1.0,1,0.0,-100.0,True
Multi Commodity Exchange of India Ltd,0.0,1,479200.0,0.0,
H.G. Infra Engineering Ltd Ordinary Shares,-1.0,1,1064657.0,-27.102603446658545,True
Sterling Tools Ltd,-1.0,1,0.0,-100.0,True
K.P.R. Mill Ltd,-1.0,1,2573250.0,-13.42417360585415,True
Vinati Organics Ltd,1.0,1,622492.0,5.829989799387963,True
Century Plyboards (India) Ltd,0.0,1,989226.0,0.0,
Oberoi Realty Ltd,0.0,1,911600.0,0.0,
Engineers India Ltd,1.0,1,11718600.0,10.19107082408696,True
Maharashtra Seamless Ltd,0.0,1,1105842.0,0.0,
JK Tyre & Industries Ltd,0.0,1,1808682.0,0.0,
Finolex Cables Ltd,0.0,1,1903645.0,0.0,
Devyani International Ltd,0.0,1,9588600.0,0.0,
HDB Financial Services Ltd,1.0,1,1378485.0,0.0,True
Jindal Saw Ltd,1.0,1,5787300.0,14.2745325541137,True
Sobha Ltd,1.0,1,1875628.0,22.756629256428983,True
Welspun Living Ltd,-1.0,1,8736950.0,-6.707857673624269,True
CCL Products (India) Ltd,0.0,1,2056100.0,0.0,
Swiggy Ltd,1.0,1,1714100.0,0.0,True
Amber Enterprises India Ltd Ordinary Shares,-1.0,1,302598.0,-15.033498250678107,True
Karur Vysya Bank Ltd,1.0,1,14294880.0,20.0,True
Wockhardt Ltd,0.0,1,1325150.0,0.0,
Techno Electric & Engineering Co Ltd,-1.0,1,2308490.0,-4.374715214779836,True
Titagarh Rail Systems Ltd,0.0,1,1630400.0,0.0,
Grindwell Norton Ltd,-1.0,1,540461.0,-22.103796074497495,True
Nesco Ltd,1.0,1,442335.0,0.0,True
Exide Industries Ltd,-1.0,1,0.0,-100.0,True
Trent Ltd,-1.0,1,0.0,-100.0,True
Kajaria Ceramics Ltd,1.0,1,1845200.0,22.466317116877946,True
IIFL Capital Services Ltd Ordinary Shares,0.0,1,569083.0,0.0,
The Federal Bank Ltd,-1.0,1,11540200.0,-25.757848687596503,True
Aegis Logistics Ltd,0.0,1,1816302.0,0.0,
Sundaram Finance Ltd,-1.0,1,60299.0,-70.99489636395995,True
Firstsource Solutions Ltd,0.0,1,4407721.0,0.0,
Housing & Urban Development Corp Ltd,0.0,1,8043000.0,0.0,
EIH Ltd,1.0,1,6037900.0,45.8220728716701,True
Kaynes Technology India Ltd,1.0,1,397427.0,23.424534161490683,True
Motherson Sumi Wiring India Ltd,1.0,1,20583300.0,50.0,True
KEI Industries Ltd,0.0,1,537700.0,0.0,
Tube Investments of India Ltd Ordinary Shares,-1.0,1,344049.0,-35.57725976455344,True
Carraro India Ltd,0.0,1,1587136.0,0.0,
Alkyl Amines Chemicals Ltd,1.0,1,460300.0,19.602865479905525,True
Apollo Pipes Ltd,0.0,1,1374292.0,0.0,
KPIT Technologies Ltd,1.0,1,1457100.0,9.113374269881684,True
Radico Khaitan Ltd,0.0,1,913103.0,0.0,
Polycab India Ltd,0.0,1,272724.0,0.0,
Hi-Tech Pipes Ltd,0.0,1,4082217.0,0.0,
