,trend_score,appearances,current_shares,share_change,has_changes
SMS Pharmaceuticals Ltd,0.0,1,1859681.0,0.0,
Juniper Hotels Ltd,0.0,1,5979730.0,0.0,
RBL Bank Ltd,0.0,1,37914176.0,0.0,
Reliance Industries Ltd,0.0,1,19555849.0,0.0,
Sun TV Network Ltd,0.0,1,10312446.0,0.0,
Bata India Ltd,1.0,1,2648400.0,10.098379328908722,True
Digitide Solutions Ltd,0.0,1,1685302.0,0.0,
Adani Enterprises Ltd,0.0,1,2468292.0,0.0,
Piramal Finance Ltd,1.0,1,4335570.0,0.0,True
EPL Ltd Ordinary Shares,0.0,1,7899233.0,0.0,
Afcons Infrastructure Ltd,0.0,1,6641314.0,0.0,
Stanley Lifestyles Ltd,0.0,1,672534.0,0.0,
Vardhman Textiles Ltd,0.0,1,865732.0,0.0,
NCC Ltd,0.0,1,15652969.0,0.0,
Oil & Natural Gas Corp Ltd,0.0,1,18387225.0,0.0,
Oswal Pumps Ltd,0.0,1,1465799.0,0.0,
Himadri Speciality Chemical Ltd,-1.0,1,674478.0,-77.39684986595175,True
Nitin Spinners Ltd,0.0,1,2730499.0,0.0,
Vishnu Prakash R Punglia Ltd,0.0,1,5087689.0,0.0,
Castrol India Ltd,0.0,1,3100714.0,0.0,
Om Infra Ltd,0.0,1,140571.0,0.0,
Minda Corp Ltd,0.0,1,7303592.0,0.0,
Gland Pharma Ltd,0.0,1,1376279.0,0.0,
K.P.R. Mill Ltd,0.0,1,1315790.0,0.0,
Vinati Organics Ltd,0.0,1,362211.0,0.0,
Ventive Hospitality Ltd,0.0,1,8315686.0,0.0,
Usha Martin Ltd,1.0,1,10716104.0,14.740867610710588,True
Maharashtra Seamless Ltd,0.0,1,1300497.0,0.0,
Piramal Enterprises Ltd,-1.0,1,0.0,-100.0,True
Poly Medicure Ltd,0.0,1,3298837.0,0.0,
Welspun Living Ltd,0.0,1,12121807.0,0.0,
Exicom Tele-Systems Ltd,0.0,1,4343422.0,0.0,
BASF India Ltd,0.0,1,170585.0,0.0,
Orchid Pharma Ltd,0.0,1,3465947.0,0.0,
Zydus Wellness Ltd,1.0,1,9033845.0,400.0,True
Oriental Hotels Ltd,0.0,1,3516804.0,0.0,
Sula Vineyards Ltd,0.0,1,4193748.0,0.0,
Intellect Design Arena Ltd,1.0,1,503950.0,0.0,True
Thyrocare Technologies Ltd,0.0,1,1040157.0,0.0,
Karnataka Bank Ltd,0.0,1,14754512.0,0.0,
Man Infraconstruction Ltd,0.0,1,6030000.0,0.0,
State Bank Of India 28/10/2025,1.0,1,2504250.0,0.0,True
OneSource Specialty Pharma Ltd,-1.0,1,380829.0,-63.10250579628283,True
The Orissa Minerals Development Co Ltd,0.0,1,107059.0,0.0,
Jio Financial Services Ltd,0.0,1,60489693.0,0.0,
Marathon Nextgen Realty Ltd,0.0,1,5484914.0,0.0,
JM Financial Ltd,0.0,1,16714161.0,0.0,
Suven Life Sciences Ltd,0.0,1,4701490.0,0.0,
Capri Global Capital Ltd,0.0,1,28450736.0,0.0,
Ncc Ltd 30/09/2025,-1.0,1,0.0,-100.0,True
Aegis Logistics Ltd,0.0,1,13184087.0,0.0,
Anthem Biosciences Ltd,0.0,1,3682926.0,0.0,
Embassy Developments Ltd,0.0,1,7962774.0,0.0,
Pfizer Ltd,0.0,1,875027.0,0.0,
Indoco Remedies Ltd,0.0,1,4199230.0,0.0,
Indian Hume Pipe Co Ltd,0.0,1,769177.0,0.0,
Strides Pharma Science Ltd,0.0,1,3340936.0,0.0,
NBCC India Ltd,0.0,1,41286749.0,0.0,
Sai Silks (Kalamandir) Ltd,0.0,1,2095455.0,0.0,
Aditya Birla Lifestyle Brands Ltd,0.0,1,32212218.0,0.0,
Welspun Corp Ltd,0.0,1,4319413.0,0.0,
Prime Securities Ltd,0.0,1,1649942.0,0.0,
Rishabh Instruments Ltd,0.0,1,1897034.0,0.0,
Anupam Rasayan India Ltd,-1.0,1,1079612.0,-35.04292017214999,True
Alivus Life Sciences Ltd,0.0,1,1248114.0,0.0,
India Shelter Finance Corporation Ltd,-1.0,1,1035166.0,-30.095837756510512,True
Jana Small Finance Bank Ltd,-1.0,1,1611528.0,-27.81276708588138,True
Welspun Enterprises Ltd,0.0,1,6712318.0,0.0,
Ethos Ltd,0.0,1,87898.0,0.0,
Indraprastha Medical Corp Ltd,0.0,1,2396081.0,0.0,
Siemens Energy India Ltd,0.0,0,0.0,0.0,
Ncc Ltd 28/10/2025,1.0,1,1652400.0,0.0,True
Jubilant Pharmova Ltd,0.0,1,2947185.0,0.0,
Sequent Scientific Ltd,0.0,1,22502050.0,0.0,
Just Dial Ltd,0.0,1,3767715.0,0.0,
Laxmi Dental Ltd,-1.0,1,0.0,-100.0,True
E I D Parry India Ltd,0.0,1,2737754.0,0.0,
Sanofi India Ltd,0.0,1,63911.0,0.0,
Adani Power Ltd,1.0,1,60430545.0,434.5537259686299,True
Delhivery Ltd,0.0,1,3328886.0,0.0,
Aditya Birla Fashion and Retail Ltd,0.0,1,18082269.0,0.0,
Arvind Ltd,0.0,1,14133985.0,0.0,
Best Agrolife Ltd,0.0,1,500000.0,0.0,
Primo Chemicals Ltd Shs Dematerialised,0.0,1,4556962.0,0.0,
HP Adhesives Ltd,-1.0,1,0.0,-100.0,True
TVS Srichakra Ltd,0.0,1,377551.0,0.0,
Aster DM Healthcare Ltd Ordinary Shares,1.0,1,11305160.0,3.8700772321207486,True
Balrampur Chini Mills Ltd,0.0,1,1900591.0,0.0,
Taj GVK Hotels & Resorts Ltd,-1.0,1,0.0,-100.0,True
Gujarat State Fertilizers & Chemicals Ltd,0.0,1,7662294.0,0.0,
Bikaji Foods International Ltd,-1.0,1,9172820.0,-10.384827197981513,True
Mahindra Holidays & Resorts India Ltd,0.0,1,999412.0,0.0,
Aarti Industries Ltd,0.0,1,3636288.0,0.0,
Keystone Realtors Ltd,0.0,1,6219091.0,0.0,
Apeejay Surrendra Park Hotels Ltd,0.0,1,10610336.0,0.0,
Bayer CropScience Ltd,0.0,1,986394.0,0.0,
Newgen Software Technologies Ltd,0.0,1,503579.0,0.0,
PG Electroplast Ltd,0.0,0,0.0,0.0,
Aptus Value Housing Finance India Ltd,1.0,1,3649318.0,0.0,True
HFCL Ltd,0.0,1,75584924.0,0.0,
Samvardhana Motherson International Ltd,0.0,1,22736842.0,0.0,
Anand Rathi Wealth Ltd,0.0,1,2575324.0,0.0,
Life Insurance Corporation of India,0.0,1,735993.0,0.0,
Capacit'e Infraprojects Ltd,0.0,1,2026624.0,0.0,
