,security_name,isin,sector,total_weight_pct,num_funds_holding,avg_weight_pct,coverage_pct
371,Multi Commodity Exchange of India Ltd,INE745G01035,Financial Services,14.98833,7,1.5,70.0
327,Krishna Institute of Medical Sciences Ltd,INE967H01025,Healthcare,13.63633,6,1.36,60.0
317,Karur Vysya Bank Ltd,INE036D01028,Financial Services,12.09926,6,1.21,60.0
458,Reliance Industries Ltd,INE002A01018,Energy,10.016259999999999,2,1.0,20.0
516,Sudarshan Chemical Industries Ltd,INE659A01023,Basic Materials,9.91036,4,0.99,40.0
119,Cholamandalam Financial Holdings Ltd,INE149A01033,Financial Services,9.86092,6,0.99,60.0
98,CCL Products (India) Ltd,INE421D01022,Consumer Defensive,9.746879999999999,4,0.97,40.0
622,eClerx Services Ltd,INE738I01010,Technology,9.65385,5,0.97,50.0
473,Sai Life Sciences Ltd,INE570L01029,Healthcare,9.59069,6,0.96,60.0
42,Apar Industries Ltd,INE372A01015,Industrials,8.839459999999999,7,0.88,70.0
318,Kaynes Technology India Ltd,INE918Z01012,Industrials,7.8854,6,0.79,60.0
55,Aster DM Healthcare Ltd Ordinary Shares,INE914M01019,Healthcare,7.83265,5,0.78,50.0
196,Gabriel India Ltd,INE524A01029,Consumer Cyclical,7.28495,3,0.73,30.0
325,Kirloskar Pneumatic Co Ltd,INE811A01020,Industrials,7.0578,5,0.71,50.0
12,Aditya Birla Real Estate Ltd,INE055A01016,Basic Materials,7.0905000000000005,6,0.71,60.0
288,JK Lakshmi Cement Ltd,INE786A01032,Basic Materials,6.98487,5,0.7,50.0
94,Brigade Enterprises Ltd,INE791I01019,Real Estate,6.888590000000001,5,0.69,50.0
150,Dr Agarwal’s Health Care Ltd,INE943P01029,Healthcare,6.72855,3,0.67,30.0
298,Jio Financial Services Ltd,INE758E01017,Financial Services,6.5563,1,0.66,10.0
187,Firstsource Solutions Ltd,INE684F01012,Technology,6.60372,3,0.66,30.0
444,Radico Khaitan Ltd,INE944F01028,Consumer Defensive,6.454359999999999,6,0.65,60.0
89,Blue Star Ltd,INE472A01039,Industrials,6.2343,5,0.62,50.0
309,KEI Industries Ltd,INE878B01027,Industrials,5.8692,5,0.59,50.0
602,Vishal Mega Mart Ltd,INE01EA01019,Consumer Cyclical,5.89991,4,0.59,40.0
