,trend_score,appearances,current_shares,share_change,funds,funds_entered,funds_exited
Power Mech Projects Ltd,0.0,2,2571145.0,0.0,"INF179KA1RZ8,INF194KB1AL4",,
Juniper Hotels Ltd,0.0,2,8507359.0,0.0,"INF194KB1AL4,INF966L01689",,
Heritage Foods Ltd,0.0,1,452302.0,0.0,INF194KB1AL4,,
EPACK Durable Ltd,0.0,1,52475.0,0.0,INF194KB1AL4,,
Steel Strips Wheels Ltd,0.0,1,1138043.0,0.0,INF194KB1AL4,,
Stove Kraft Ltd Ordinary Shares,0.0,1,1108248.0,0.0,INF194KB1AL4,,
Filatex India Ltd,0.0,1,3301688.0,0.0,INF194KB1AL4,,
Butterfly Gandhimathi Appliances Ltd,0.0,1,51013.0,0.0,INF194KB1AL4,,
Star Health and Allied Insurance Co Ltd,0.0,1,933877.0,0.0,INF194KB1AL4,,
Neuland Laboratories Ltd,0.0,3,240649.0,-27.86205702912033,"INF194KB1AL4,INF663L01W06,INF917K01QA1",INF663L01W06,
Motilal Oswal Financial Services Ltd,1.0,2,4497876.0,36.99376262051543,"INF194KB1AL4,INF917K01QA1",INF917K01QA1,
Gujarat State Petronet Ltd,0.0,1,277028.0,0.0,INF194KB1AL4,,
Prestige Estates Projects Ltd,0.0,1,822793.0,0.0,INF194KB1AL4,,
EFC (I) Ltd,0.0,1,1629863.0,0.0,INF194KB1AL4,,
PNB Housing Finance Ltd,0.0,4,10237401.0,0.0,"INF194KB1AL4,INF204K01K15,INF846K01K35,INF917K01QA1",,
IndusInd Bank Ltd,0.0,1,1245156.0,0.0,INF194KB1AL4,,
Senco Gold Ltd,0.0,1,2681961.0,0.0,INF194KB1AL4,,
Crompton Greaves Consumer Electricals Ltd,0.0,3,21857143.0,0.0,"INF194KB1AL4,INF204K01K15,INF846K01K35",,
Emami Ltd,0.0,3,14321454.0,0.0,"INF179KA1RZ8,INF194KB1AL4,INF204K01K15",,
INOX Green Energy Services Ltd,0.0,1,1700166.0,0.0,INF194KB1AL4,,
Greenply Industries Ltd,0.0,3,8614388.0,0.0,"INF194KB1AL4,INF277K011O1,INF663L01W06",,
Shilpa Medicare Ltd,0.0,1,1102941.0,0.0,INF194KB1AL4,,
Signatureglobal (India) Ltd,0.0,1,693323.0,0.0,INF194KB1AL4,,
Innova Captab Ltd,0.0,3,938109.0,0.0,"INF194KB1AL4,INF205K013T3,INF663L01W06",,
Digitide Solutions Ltd,0.0,3,7378205.0,0.0,"INF194KB1AL4,INF277K011O1,INF966L01689",,
Aegis Vopak Terminals Ltd,1.0,2,3803819.0,62.05921424589509,"INF194KB1AL4,INF247L01BY3",INF247L01BY3,
Jyoti CNC Automation Ltd,0.0,4,4122141.0,0.0,"INF194KB1AL4,INF205K013T3,INF846K01K35,INF917K01QA1",,
Computer Age Management Services Ltd Ordinary Shares,0.0,2,673971.0,0.0,"INF194KB1AL4,INF846K01K35",,
Ramco Cements Ltd,0.0,2,4285971.0,0.0,"INF194KB1AL4,INF204K01K15",,
GMM Pfaudler Ltd,0.0,2,2194460.0,0.0,"INF179KA1RZ8,INF194KB1AL4",,
Ecos (India) Mobility & Hospitality Ltd,0.0,1,1198482.0,0.0,INF194KB1AL4,,
NCC Ltd,-1.0,2,19300958.0,-100.0,"INF194KB1AL4,INF966L01689",,INF917K01QA1
Sunteck Realty Ltd,0.0,1,1391157.0,0.0,INF194KB1AL4,,
Shaily Engineering Plastics Ltd,-1.0,2,1504525.0,-14.44226877482324,"INF194KB1AL4,INF247L01BY3",,
Sai Life Sciences Ltd,1.0,6,17145117.0,87.2566795700422,"INF194KB1AL4,INF204K01K15,INF205K013T3,INF663L01W06,INF846K01K35,INF917K01QA1",INF917K01QA1,
Deepak Fertilisers & Petrochemicals Corp Ltd,1.0,3,2210708.0,11.629450412856256,"INF194KB1AL4,INF247L01BY3,INF846K01K35",INF247L01BY3,
Vintage Coffee & Beverages Ltd,0.0,1,1671993.0,0.0,INF194KB1AL4,,
Triveni Engineering & Industries Ltd,0.0,1,991376.0,0.0,INF194KB1AL4,,
Oswal Pumps Ltd,0.0,2,1656270.0,0.0,"INF194KB1AL4,INF966L01689",,
Quess Corp Ltd,1.0,2,6277393.0,6.5,"INF194KB1AL4,INF277K011O1",INF277K011O1,
Nitin Spinners Ltd,-1.0,3,7089217.0,-1.735649780630173,"INF194KB1AL4,INF917K01QA1,INF966L01689",,
Bluspring Enterprises Ltd,1.0,2,9248880.0,74.01192607084877,"INF194KB1AL4,INF277K011O1",INF277K011O1,
TVS Holdings Ltd,0.0,1,120757.0,0.0,INF194KB1AL4,,
Tata Communications Ltd,0.0,1,520000.0,0.0,INF194KB1AL4,,
Bharat Forge Ltd,0.0,1,22281.0,0.0,INF194KB1AL4,,
FDC Ltd,0.0,2,4721619.0,0.0,"INF194KB1AL4,INF204K01K15",,
Alicon Castalloy Ltd,0.0,2,1330410.0,0.0,"INF194KB1AL4,INF846K01K35",,
Multi Commodity Exchange of India Ltd,0.0,7,3565867.0,13.02117836678664,"INF194KB1AL4,INF204K01K15,INF205K013T3,INF247L01BY3,INF663L01W06,INF846K01K35,INF917K01QA1",INF247L01BY3,
Minda Corp Ltd,0.0,3,13121397.0,0.0,"INF194KB1AL4,INF846K01K35,INF966L01689",,
PCBL Chemical Ltd,1.0,2,9812416.0,20.360777777777777,"INF194KB1AL4,INF277K011O1",INF277K011O1,
RHI Magnesita India Ltd,0.0,3,7052274.0,0.0,"INF194KB1AL4,INF204K01K15,INF846K01K35",,
Amara Raja Energy & Mobility Ltd,0.0,1,883565.0,0.0,INF194KB1AL4,,
Kolte-Patil Developers Ltd,0.0,1,2144741.0,0.0,INF194KB1AL4,,
Repco Home Finance Ltd,0.0,2,3996788.0,0.0,"INF179KA1RZ8,INF194KB1AL4",,
JK Tyre & Industries Ltd,0.0,3,4578569.0,0.0,"INF194KB1AL4,INF204K01K15,INF917K01QA1",,
MOIL Ltd,0.0,1,277970.0,0.0,INF194KB1AL4,,
Updater Services Ltd,0.0,1,2960080.0,0.0,INF194KB1AL4,,
Aditya Birla Sun Life AMC Ltd,0.0,2,3098053.0,0.0,"INF194KB1AL4,INF204K01K15",,
Manappuram Finance Ltd,0.0,1,4779496.0,0.0,INF194KB1AL4,,
Flair Writing Industries Ltd,0.0,1,372544.0,0.0,INF194KB1AL4,,
Jindal Saw Ltd,1.0,3,13917528.0,14.2745325541137,"INF194KB1AL4,INF204K01K15,INF917K01QA1",INF917K01QA1,
Sobha Ltd,1.0,2,5163570.0,22.756629256428983,"INF194KB1AL4,INF917K01QA1",INF917K01QA1,
CESC Ltd,0.0,2,14071922.0,0.0,"INF194KB1AL4,INF204K01K15",,
Aditya Infotech,0.0,0,0.0,0.0,,,
NLC India Ltd,0.0,2,29012362.0,0.0,"INF194KB1AL4,INF204K01K15",,
Bombay Burmah Trading Corp Ltd,0.0,1,196754.0,0.0,INF194KB1AL4,,
Orchid Pharma Ltd,0.0,3,4176082.0,0.0,"INF194KB1AL4,INF205K013T3,INF966L01689",,
Rashi Peripherals Ltd,0.0,1,3847091.0,0.0,INF194KB1AL4,,
NTPC Green Energy Ltd,0.0,2,22935479.0,0.0,"INF194KB1AL4,INF204K01K15",,
Artemis Medicare Services Ltd Ordinary Shares,0.0,1,566503.0,0.0,INF194KB1AL4,,
Ellenbarrie Industrial Gases Ltd,0.0,2,2700381.0,0.0,"INF194KB1AL4,INF846K01K35",,
All Time Plastics Ltd,0.0,1,508734.0,0.0,INF194KB1AL4,,
Godavari Biorefineries Ltd,0.0,1,351261.0,0.0,INF194KB1AL4,,
M&B Engnrg Lt,0.0,0,0.0,0.0,,,
Wockhardt Ltd,0.0,4,4566238.0,0.0,"INF194KB1AL4,INF205K013T3,INF277K011O1,INF917K01QA1",,
Karnataka Bank Ltd,0.0,2,24320044.0,0.0,"INF194KB1AL4,INF966L01689",,
OneSource Specialty Pharma Ltd,-1.0,3,1686520.0,-63.10250579628283,"INF194KB1AL4,INF846K01K35,INF966L01689",,
