date,fund_id,stock,action,shares_change
2025-10-11,INF966L01689,Himadri Speciality Chemical Ltd,decrease,2309522.0
2025-10-11,INF966L01689,Piramal Enterprises Ltd,exit,4335570.0
2025-10-11,INF966L01689,OneSource Specialty Pharma Ltd,decrease,651298.0
2025-10-11,INF966L01689,Ncc Ltd 30/09/2025,exit,1652400.0
2025-10-11,INF966L01689,Anupam Rasayan India Ltd,decrease,582427.0
2025-10-11,INF966L01689,India Shelter Finance Corporation Ltd,decrease,445670.0
2025-10-11,INF966L01689,Jana Small Finance Bank Ltd,decrease,620900.0
2025-10-11,INF966L01689,Laxmi Dental Ltd,exit,139893.0
2025-10-11,INF966L01689,HP Adhesives Ltd,exit,282579.0
2025-10-11,INF966L01689,Taj GVK Hotels & Resorts Ltd,exit,562008.0
2025-10-11,INF966L01689,Bikaji Foods International Ltd,decrease,1062969.0
2025-10-11,INF247L01BY3,Carraro India Ltd,exit,1176990.0
2025-10-11,INF247L01BY3,Triveni Turbine Ltd,decrease,524678.0
2025-10-11,INF247L01BY3,Gufic Biosciences Ltd,exit,1420453.0
2025-10-11,INF247L01BY3,Sagility India Ltd,exit,14381746.0
2025-10-11,INF247L01BY3,Rossari Biotech Ltd Ordinary Shares,decrease,253456.0
2025-10-11,INF247L01BY3,Godrej Agrovet Ltd Ordinary Shares,exit,706728.0
2025-10-11,INF247L01BY3,Shaily Engineering Plastics Ltd,decrease,114470.0
2025-10-11,INF247L01BY3,Inox Wind Ltd,exit,962.0
2025-10-11,INF247L01BY3,Hitachi Energy India Ltd Ordinary Shares,exit,9197.0
2025-10-11,INF247L01BY3,V-Guard Industries Ltd,exit,2745173.0
2025-10-11,INF247L01BY3,Pitti Engineering Ltd,exit,993888.0
2025-10-11,INF247L01BY3,Indus Towers Ltd Ordinary Shares,exit,3010536.0
2025-10-11,INF247L01BY3,Gokaldas Exports Ltd,decrease,26078.0
2025-10-11,INF247L01BY3,GE Vernova T&D India Ltd,decrease,37076.0
2025-10-11,INF247L01BY3,Inox Wind Ltd - Rights,exit,53336.0
2025-10-11,INF663L01W06,KEI Industries Ltd,decrease,10000.0
2025-10-11,INF663L01W06,Eureka Forbes Ltd,decrease,93589.0
2025-10-11,INF663L01W06,Tega Industries Ltd,decrease,50000.0
2025-10-11,INF663L01W06,Gabriel India Ltd,decrease,50000.0
2025-10-11,INF663L01W06,Dixon Technologies (India) Ltd,decrease,2000.0
2025-10-11,INF663L01W06,Global Health Ltd,decrease,44330.0
2025-10-11,INF663L01W06,Technocraft Industries (India) Ltd,decrease,20320.0
2025-10-11,INF663L01W06,Rainbow Childrens Medicare Ltd,decrease,39865.0
2025-10-11,INF663L01W06,Concord Enviro Systems Ltd,exit,142758.0
2025-10-11,INF663L01W06,Kaynes Technology India Ltd,decrease,5500.0
2025-10-11,INF205K013T3,Cohance Lifesciences Ltd,exit,214041.0
2025-10-11,INF205K013T3,Entero Healthcare Solutions Ltd,decrease,261428.0
2025-10-11,INF205K013T3,Schloss Bangalore Ltd,exit,2759482.0
2025-10-11,INF205K013T3,Seamec Ltd,exit,107156.0
2025-10-11,INF205K013T3,Vishal Mega Mart Ltd,decrease,2646145.0
2025-10-11,INF205K013T3,Five-Star Business Finance Ltd,exit,1138199.0
2025-10-11,INF205K013T3,Multi Commodity Exchange of India Ltd,decrease,34953.0
2025-10-11,INF205K013T3,Laxmi Dental Ltd,exit,408904.0
2025-10-11,INF277K011O1,HealthCare Global Enterprises Ltd,decrease,491163.0
