fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF174K01LS2,INF174K01LS2,HDFC Bank Ltd,INE040A01034,36000000.0,4000000.0,6.34241,Financial Services
INF174K01LS2,INF174K01LS2,Bharat Electronics Ltd,INE263A01024,80000000.0,-1000000.0,6.08281,Industrials
INF174K01LS2,INF174K01LS2,ICICI Bank Ltd,INE090A01021,25000000.0,-1500000.0,6.00153,Financial Services
INF174K01LS2,INF174K01LS2,State Bank of India,INE062A01020,23800000.0,0.0,3.97942,Financial Services
INF174K01LS2,INF174K01LS2,Larsen & Toubro Ltd,INE018A01030,5300000.0,-100000.0,3.81225,Industrials
INF174K01LS2,INF174K01LS2,Jindal Steel Ltd,INE749A01030,19000000.0,0.0,3.61693,Basic Materials
INF174K01LS2,INF174K01LS2,Eternal Ltd,INE758T01015,63000000.0,3000000.0,3.57214,Consumer Cyclical
INF174K01LS2,INF174K01LS2,Axis Bank Ltd,INE238A01034,16000000.0,0.0,3.51978,Financial Services
INF174K01LS2,INF174K01LS2,SRF Ltd,INE647A01010,6250000.0,0.0,3.26832,Industrials
INF174K01LS2,INF174K01LS2,Infosys Ltd,INE009A01021,11500000.0,0.0,3.04184,Technology
INF174K01LS2,INF174K01LS2,Bharti Airtel Ltd,INE397D01024,8271429.0,0.0,3.03242,Communication Services
INF174K01LS2,INF174K01LS2,UltraTech Cement Ltd,INE481G01011,1375000.0,0.0,2.93133,Basic Materials
INF174K01LS2,INF174K01LS2,InterGlobe Aviation Ltd,INE646L01027,2700000.0,50000.0,2.71012,Industrials
INF174K01LS2,INF174K01LS2,Reliance Industries Ltd,INE002A01018,10000000.0,0.0,2.6524,Energy
INF174K01LS2,INF174K01LS2,Solar Industries India Ltd,INE343H01029,1000000.0,0.0,2.47645,Basic Materials
INF174K01LS2,INF174K01LS2,Maruti Suzuki India Ltd,INE585B01010,800000.0,0.0,2.31064,Consumer Cyclical
INF174K01LS2,INF174K01LS2,Hero MotoCorp Ltd,INE158A01026,2000000.0,0.0,1.97859,Consumer Cyclical
INF174K01LS2,INF174K01LS2,Zydus Lifesciences Ltd,INE010B01027,10500000.0,0.0,1.82579,Healthcare
INF174K01LS2,INF174K01LS2,Bajaj Finance Ltd,INE296A01032,9000000.0,0.0,1.67474,Financial Services
INF174K01LS2,INF174K01LS2,Bharat Forge Ltd,INE465A01025,6600000.0,0.0,1.56014,Consumer Cyclical
INF174K01LS2,INF174K01LS2,Tata Consultancy Services Ltd,INE467B01029,2700000.0,-200000.0,1.47334,Technology
INF174K01LS2,INF174K01LS2,Ramco Cements Ltd,INE331A01037,7700000.0,0.0,1.4351,Basic Materials
INF174K01LS2,INF174K01LS2,AU Small Finance Bank Ltd,INE949L01017,8900000.0,0.0,1.39416,Financial Services
INF174K01LS2,INF174K01LS2,Kotak Mahindra Bank Ltd,INE237A01028,3700000.0,0.0,1.38797,Financial Services
INF174K01LS2,INF174K01LS2,Petronet LNG Ltd,INE347G01014,26000000.0,0.0,1.30487,Energy
INF174K01LS2,INF174K01LS2,Thermax Ltd,INE152A01029,2200000.0,0.0,1.26363,Industrials
INF174K01LS2,INF174K01LS2,Bharat Petroleum Corp Ltd,INE029A01011,19000000.0,0.0,1.20971,Energy
INF174K01LS2,INF174K01LS2,Tech Mahindra Ltd,INE669C01036,4700000.0,0.0,1.19463,Technology
INF174K01LS2,INF174K01LS2,Hindustan Unilever Ltd,INE030A01027,2600000.0,0.0,1.14388,Consumer Defensive
INF174K01LS2,INF174K01LS2,Hindalco Industries Ltd,INE038A01020,7500000.0,1500000.0,1.13471,Basic Materials
INF174K01LS2,INF174K01LS2,HCL Technologies Ltd,INE860A01027,3900000.0,0.0,1.07278,Technology
INF174K01LS2,INF174K01LS2,MRF Ltd,INE883A01011,38000.0,0.0,1.06809,Consumer Cyclical
INF174K01LS2,INF174K01LS2,BSE Ltd,INE118H01025,2400000.0,0.0,1.06167,Financial Services
INF174K01LS2,INF174K01LS2,Power Grid Corp Of India Ltd,INE752E01010,20000000.0,0.0,1.02838,Utilities
INF174K01LS2,INF174K01LS2,Dalmia Bharat Ltd,INE00R701025,2600000.0,123573.0,0.97282,Basic Materials
INF174K01LS2,INF174K01LS2,NTPC Ltd,INE733E01010,16000000.0,0.0,0.96203,Utilities
INF174K01LS2,INF174K01LS2,Cipla Ltd,INE059A01026,3550000.0,0.0,0.95104,Healthcare
INF174K01LS2,INF174K01LS2,Indian Oil Corp Ltd,INE242A01010,30000000.0,0.0,0.88812,Energy
INF174K01LS2,INF174K01LS2,Ambuja Cements Ltd,INE079A01024,7800000.0,0.0,0.78696,Basic Materials
INF174K01LS2,INF174K01LS2,BEML Ltd,INE258A01024,950000.0,0.0,0.74586,Industrials
INF174K01LS2,INF174K01LS2,Max Financial Services Ltd,INE180A01020,2700000.0,0.0,0.7451,Financial Services
INF174K01LS2,INF174K01LS2,Balkrishna Industries Ltd,INE787D01026,1700000.0,0.0,0.69159,Consumer Cyclical
INF174K01LS2,INF174K01LS2,United Breweries Ltd,INE686F01025,2075000.0,0.0,0.66553,Consumer Defensive
INF174K01LS2,INF174K01LS2,KEC International Ltd,INE389H01022,4500000.0,0.0,0.65665,Industrials
INF174K01LS2,INF174K01LS2,Indraprastha Gas Ltd,INE203G01027,17000000.0,0.0,0.64293,Utilities
INF174K01LS2,INF174K01LS2,AIA Engineering Ltd,INE212H01026,1072487.0,0.0,0.62196,Industrials
INF174K01LS2,INF174K01LS2,360 One Wam Ltd Ordinary Shares,INE466L01038,3100000.0,0.0,0.59782,Financial Services
