fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF179K01UT0,INF179K01UT0,ICICI Bank Ltd,INE090A01021,54000000.0,1000000.0,9.21226,Financial Services
INF179K01UT0,INF179K01UT0,HDFC Bank Ltd,INE040A01034,72000000.0,0.0,8.36208,Financial Services
INF179K01UT0,INF179K01UT0,Axis Bank Ltd,INE238A01034,54000000.0,2000000.0,6.88843,Financial Services
INF179K01UT0,INF179K01UT0,Maruti Suzuki India Ltd,INE585B01010,2500000.0,0.0,4.513,Consumer Cyclical
INF179K01UT0,INF179K01UT0,SBI Life Insurance Co Ltd,INE123W01016,20000000.0,0.0,4.40712,Financial Services
INF179K01UT0,INF179K01UT0,State Bank of India,INE062A01020,43000000.0,0.0,4.21154,Financial Services
INF179K01UT0,INF179K01UT0,Kotak Mahindra Bank Ltd,INE237A01028,17500000.0,500000.0,4.18685,Financial Services
INF179K01UT0,INF179K01UT0,Cipla Ltd,INE059A01026,21000000.0,0.0,4.07361,Healthcare
INF179K01UT0,INF179K01UT0,HCL Technologies Ltd,INE860A01027,16500000.0,1300000.0,2.92964,Technology
INF179K01UT0,INF179K01UT0,Hyundai Motor India Ltd,INE0V6F01027,9000000.0,0.0,2.70256,Consumer Cyclical
INF179K01UT0,INF179K01UT0,Bharti Airtel Ltd,INE397D01024,11000000.0,0.0,2.53575,Communication Services
INF179K01UT0,INF179K01UT0,Eicher Motors Ltd,INE066A01021,3200000.0,200000.0,2.38353,Consumer Cyclical
INF179K01UT0,INF179K01UT0,Bajaj Auto Ltd,INE917I01010,2000000.0,0.0,2.1069,Consumer Cyclical
INF179K01UT0,INF179K01UT0,Power Grid Corp Of India Ltd,INE752E01010,60000000.0,2000000.0,2.01561,Utilities
INF179K01UT0,INF179K01UT0,Piramal Pharma Ltd,INE0DK501011,90000000.0,1000000.0,2.01495,Healthcare
INF179K01UT0,INF179K01UT0,Nexus Select Trust Reits,INE0NDH25011,110000000.0,0.0,1.99028,Real Estate
INF179K01UT0,INF179K01UT0,JSW Steel Ltd,INE019A01038,14200000.0,0.0,1.77917,Basic Materials
INF179K01UT0,INF179K01UT0,Bosch Ltd,INE323A01026,320650.0,-4350.0,1.56381,Consumer Cyclical
INF179K01UT0,INF179K01UT0,Tata Steel Ltd,INE081A01020,82000000.0,2000000.0,1.54601,Basic Materials
INF179K01UT0,INF179K01UT0,Infosys Ltd,INE009A01021,8000000.0,1400000.0,1.43488,Technology
INF179K01UT0,INF179K01UT0,Bank of Baroda,INE028A01039,50000000.0,1000000.0,1.42081,Financial Services
INF179K01UT0,INF179K01UT0,InterGlobe Aviation Ltd,INE646L01027,2000000.0,0.0,1.37816,Industrials
INF179K01UT0,INF179K01UT0,FSN E-Commerce Ventures Ltd,INE388Y01029,36206746.0,0.0,1.01702,Consumer Cyclical
INF179K01UT0,INF179K01UT0,Oil & Natural Gas Corp Ltd,INE213A01029,35000000.0,4000000.0,0.99833,Energy
INF179K01UT0,INF179K01UT0,Lupin Ltd,INE326A01037,4200000.0,700000.0,0.97132,Healthcare
INF179K01UT0,INF179K01UT0,Larsen & Toubro Ltd,INE018A01030,1945962.0,420962.0,0.85523,Industrials
INF179K01UT0,INF179K01UT0,Dr. Lal PathLabs Ltd,INE600L01024,2100000.0,0.0,0.84807,Healthcare
INF179K01UT0,INF179K01UT0,Havells India Ltd,INE176B01034,4500000.0,500000.0,0.83788,Industrials
INF179K01UT0,INF179K01UT0,Nuvoco Vista Corp Ltd,INE118D01016,15000000.0,0.0,0.83489,Basic Materials
INF179K01UT0,INF179K01UT0,Sapphire Foods India Ltd,INE806T01020,20000000.0,0.0,0.79831,Consumer Cyclical
INF179K01UT0,INF179K01UT0,Hindalco Industries Ltd,INE038A01020,8400000.0,200000.0,0.72169,Basic Materials
INF179K01UT0,INF179K01UT0,Apollo Hospitals Enterprise Ltd,INE437A01024,775000.0,-50000.0,0.7198,Healthcare
INF179K01UT0,INF179K01UT0,Cyient Ltd,INE136B01020,5000000.0,700000.0,0.71275,Industrials
INF179K01UT0,INF179K01UT0,United Spirits Ltd,INE854D01024,4250000.0,0.0,0.68002,Consumer Defensive
INF179K01UT0,INF179K01UT0,Embassy Office Parks REIT,INE041025011,14000000.0,0.0,0.66274,Real Estate
INF179K01UT0,INF179K01UT0,Swiggy Ltd,INE00H001014,12000000.0,999792.0,0.60011,Consumer Cyclical
INF179K01UT0,INF179K01UT0,Crompton Greaves Consumer Electricals Ltd,INE299U01018,14500000.0,0.0,0.584,Consumer Cyclical
INF179K01UT0,INF179K01UT0,Tata Consultancy Services Ltd,INE467B01029,1500000.0,0.0,0.56472,Technology
INF179K01UT0,INF179K01UT0,Escorts Kubota Ltd,INE042A01014,1285776.0,0.0,0.55988,Industrials
INF179K01UT0,INF179K01UT0,Varroc Engineering Ltd Ordinary Shares,INE665L01035,8000000.0,8410.0,0.52173,Consumer Cyclical
INF179K01UT0,INF179K01UT0,Kalpataru Projects International Ltd,INE220B01022,3300000.0,0.0,0.50304,Industrials
INF179K01UT0,INF179K01UT0,JK Lakshmi Cement Ltd,INE786A01032,4300000.0,0.0,0.48342,Basic Materials
INF179K01UT0,INF179K01UT0,CIE Automotive India Ltd,INE536H01010,10000000.0,0.0,0.46945,Consumer Cyclical
INF179K01UT0,INF179K01UT0,Ramco Cements Ltd,INE331A01037,3500000.0,0.0,0.44716,Basic Materials
INF179K01UT0,INF179K01UT0,Metropolis Healthcare Ltd,INE112L01020,1625000.0,0.0,0.43404,Healthcare
INF179K01UT0,INF179K01UT0,Mahindra & Mahindra Ltd,INE101A01026,875000.0,-25000.0,0.34168,Consumer Cyclical
INF179K01UT0,INF179K01UT0,Ashok Leyland Ltd,INE208A01029,22000000.0,0.0,0.34095,Industrials
INF179K01UT0,INF179K01UT0,Sundaram Fasteners Ltd,INE387A01021,2705000.0,0.0,0.33669,Consumer Cyclical
INF179K01UT0,INF179K01UT0,Restaurant Brands Asia Ltd Ordinary Shares,INE07T201019,31000000.0,0.0,0.30234,Consumer Cyclical
INF179K01UT0,INF179K01UT0,Zee Entertainment Enterprises Ltd,INE256A01028,13796542.0,0.0,0.19539,Communication Services
