fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF204KC1121,INF204KC1121,HDFC Bank Ltd,INE040A01034,6132400.0,0.0,6.32453,Financial Services
INF204KC1121,INF204KC1121,ICICI Bank Ltd,INE090A01021,2846502.0,-212347.0,4.00018,Financial Services
INF204KC1121,INF204KC1121,Reliance Industries Ltd,INE002A01018,2453624.0,329624.0,3.80971,Energy
INF204KC1121,INF204KC1121,Infosys Ltd,INE009A01021,2380000.0,0.0,3.6852,Technology
INF204KC1121,INF204KC1121,Larsen & Toubro Ltd,INE018A01030,831063.0,0.0,3.49933,Industrials
INF204KC1121,INF204KC1121,Axis Bank Ltd,INE238A01034,2535000.0,200000.0,3.26452,Financial Services
INF204KC1121,INF204KC1121,Bajaj Finance Ltd,INE296A01032,2566050.0,0.0,2.79521,Financial Services
INF204KC1121,INF204KC1121,Maruti Suzuki India Ltd,INE585B01010,153202.0,0.0,2.59032,Consumer Cyclical
INF204KC1121,INF204KC1121,Mahindra & Mahindra Ltd,INE101A01026,699700.0,0.0,2.54881,Consumer Cyclical
INF204KC1121,INF204KC1121,Bharti Airtel Ltd,INE397D01024,997073.0,200000.0,2.13984,Communication Services
INF204KC1121,INF204KC1121,Vedanta Ltd,INE205A01025,3791548.0,700000.0,1.95477,Basic Materials
INF204KC1121,INF204KC1121,SBI Life Insurance Co Ltd,INE123W01016,835000.0,0.0,1.70584,Financial Services
INF204KC1121,INF204KC1121,UltraTech Cement Ltd,INE481G01011,131000.0,0.0,1.63485,Basic Materials
INF204KC1121,INF204KC1121,NTPC Ltd,INE733E01010,4550000.0,0.0,1.60149,Utilities
INF204KC1121,INF204KC1121,ITC Ltd,INE154A01025,3642430.0,0.0,1.59938,Consumer Defensive
INF204KC1121,INF204KC1121,Eternal Ltd,INE758T01015,4564556.0,0.0,1.51507,Consumer Cyclical
INF204KC1121,INF204KC1121,Varun Beverages Ltd,INE200M01039,3058685.0,0.0,1.50057,Consumer Defensive
INF204KC1121,INF204KC1121,State Bank of India,INE062A01020,1520000.0,0.0,1.48776,Financial Services
INF204KC1121,INF204KC1121,Samvardhana Motherson International Ltd,INE775A01035,12867231.0,0.0,1.41655,Consumer Cyclical
INF204KC1121,INF204KC1121,Hindustan Aeronautics Ltd Ordinary Shares,INE066F01020,289760.0,0.0,1.41649,Industrials
INF204KC1121,INF204KC1121,Bharat Heavy Electricals Ltd,INE257A01026,4900000.0,0.0,1.35892,Industrials
INF204KC1121,INF204KC1121,InterGlobe Aviation Ltd,INE646L01027,228916.0,0.0,1.34508,Industrials
INF204KC1121,INF204KC1121,Radico Khaitan Ltd,INE944F01028,409005.0,0.0,1.33792,Consumer Defensive
INF204KC1121,INF204KC1121,Hindustan Unilever Ltd,INE030A01027,512960.0,0.0,1.3211,Consumer Defensive
INF204KC1121,INF204KC1121,Mankind Pharma Ltd,INE634S01028,528395.0,0.0,1.31587,Healthcare
INF204KC1121,INF204KC1121,Hindustan Petroleum Corp Ltd,INE094A01015,2563037.0,0.0,1.27441,Energy
INF204KC1121,INF204KC1121,Avenue Supermarts Ltd,INE192R01011,278478.0,0.0,1.20824,Consumer Defensive
