fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF843K01KK1,INF843K01KK1,HDFC Bank Ltd,INE040A01034,2190827.0,6251.0,6.94436,Financial Services
INF843K01KK1,INF843K01KK1,Reliance Industries Ltd,INE002A01018,683249.0,3977.0,3.43125,Energy
INF843K01KK1,INF843K01KK1,ICICI Bank Ltd,INE090A01021,751468.0,0.0,3.22713,Financial Services
INF843K01KK1,INF843K01KK1,Larsen & Toubro Ltd,INE018A01030,241612.0,1532.0,3.15511,Industrials
INF843K01KK1,INF843K01KK1,State Bank of India,INE062A01020,926234.0,6417.0,2.90927,Financial Services
INF843K01KK1,INF843K01KK1,Infosys Ltd,INE009A01021,532965.0,-46952.0,2.75323,Technology
INF843K01KK1,INF843K01KK1,Bharti Airtel Ltd,INE397D01024,375230.0,2945.0,2.5266,Communication Services
INF843K01KK1,INF843K01KK1,NTPC Ltd,INE733E01010,2209438.0,19134.0,2.32844,Utilities
INF843K01KK1,INF843K01KK1,Mahindra & Mahindra Ltd,INE101A01026,173883.0,1712.0,2.06253,Consumer Cyclical
INF843K01KK1,INF843K01KK1,Tata Steel Ltd,INE081A01020,3492787.0,36668.0,2.01141,Basic Materials
INF843K01KK1,INF843K01KK1,Bajaj Finance Ltd,INE296A01032,633716.0,6201.0,1.9998,Financial Services
INF843K01KK1,INF843K01KK1,Multi Commodity Exchange of India Ltd,INE745G01043,48179.0,561.0,1.71573,Financial Services
INF843K01KK1,INF843K01KK1,Shriram Finance Ltd,INE721A01047,519565.0,105931.0,1.6552,Financial Services
INF843K01KK1,INF843K01KK1,UltraTech Cement Ltd,INE481G01011,43648.0,526.0,1.64483,Basic Materials
INF843K01KK1,INF843K01KK1,Titan Co Ltd,INE280A01028,126676.0,26810.0,1.64124,Consumer Cyclical
INF843K01KK1,INF843K01KK1,Persistent Systems Ltd,INE262H01021,81124.0,984.0,1.62712,Technology
INF843K01KK1,INF843K01KK1,Divi's Laboratories Ltd,INE361B01024,66225.0,965.0,1.3538,Healthcare
