fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF879O01027,INF879O01027,HDFC Bank Ltd,INE040A01034,108738215.0,5252199.0,8.0851,Financial Services
INF879O01027,INF879O01027,Power Grid Corp Of India Ltd,INE752E01010,305419267.0,21265031.0,6.06217,Utilities
INF879O01027,INF879O01027,ICICI Bank Ltd,INE090A01021,49325234.0,4016636.0,4.96884,Financial Services
INF879O01027,INF879O01027,Coal India Ltd,INE522F01014,162039558.0,0.0,4.84993,Energy
INF879O01027,INF879O01027,Bajaj Holdings and Investment Ltd,INE118A01012,5318918.0,0.0,4.51979,Financial Services
INF879O01027,INF879O01027,ITC Ltd,INE154A01025,148665711.0,3928542.0,4.49425,Consumer Defensive
INF879O01027,INF879O01027,Kotak Mahindra Bank Ltd,INE237A01028,24621592.0,315048.0,4.06535,Financial Services
INF879O01027,INF879O01027,Alphabet Inc Class A,US02079K3059,1889757.0,0.0,3.98778,Communication Services
INF879O01027,INF879O01027,Mahindra & Mahindra Ltd,INE101A01026,13033470.0,597799.0,3.62645,Consumer Cyclical
INF879O01027,INF879O01027,Maruti Suzuki India Ltd,INE585B01010,2746670.0,0.0,3.44022,Consumer Cyclical
INF879O01027,INF879O01027,Bharti Airtel Ltd,INE397D01024,21167034.0,0.0,3.34332,Communication Services
INF879O01027,INF879O01027,Axis Bank Ltd,INE238A01034,33244875.0,0.0,3.16567,Financial Services
INF879O01027,INF879O01027,Meta Platforms Inc Class A,US30303M1027,591056.0,0.0,2.63035,Communication Services
INF879O01027,INF879O01027,HCL Technologies Ltd,INE860A01027,21315882.0,1484504.0,2.59564,Technology
INF879O01027,INF879O01027,Microsoft Corp,US5949181045,733019.0,0.0,2.39002,Technology
INF879O01027,INF879O01027,Amazon.com Inc,US0231351067,1382258.0,4580.0,2.15102,Consumer Cyclical
INF879O01027,INF879O01027,Infosys Ltd,INE009A01021,16417936.0,-1203804.0,1.98948,Technology
INF879O01027,INF879O01027,Dr Reddy's Laboratories Ltd,INE089A01031,13125545.0,0.0,1.25182,Healthcare
INF879O01027,INF879O01027,Cipla Ltd,INE059A01026,10989584.0,223718.0,1.24587,Healthcare
INF879O01027,INF879O01027,Zydus Lifesciences Ltd,INE010B01027,17903094.0,497945.0,1.22795,Healthcare
INF879O01027,INF879O01027,Tata Consultancy Services Ltd,INE467B01029,4654589.0,1843450.0,1.11947,Technology
INF879O01027,INF879O01027,Indian Energy Exchange Ltd,INE022Q01020,80755676.0,0.0,0.81308,Financial Services
INF879O01027,INF879O01027,Reliance Industries Ltd,INE002A01018,6601500.0,0.0,0.77767,Energy
INF879O01027,INF879O01027,Zydus Wellness Ltd,INE768C01028,22000000.0,0.0,0.75023,Consumer Defensive
INF879O01027,INF879O01027,Balkrishna Industries Ltd,INE787D01026,4189074.0,0.0,0.72894,Consumer Cyclical
INF879O01027,INF879O01027,Multi Commodity Exchange of India Ltd,INE745G01043,797719.0,0.0,0.66638,Financial Services
INF879O01027,INF879O01027,Embassy Office Parks REIT,INE041025011,19297532.0,2108516.0,0.63016,Real Estate
INF879O01027,INF879O01027,Brookfield India Real Estate Trust,INE0FDU25010,24851087.0,20495077.0,0.61816,Real Estate
INF879O01027,INF879O01027,E I D Parry India Ltd,INE126A01031,6180145.0,337315.0,0.47968,Basic Materials
INF879O01027,INF879O01027,Bajaj Finance Ltd,INE296A01032,4191750.0,0.0,0.31029,Financial Services
INF879O01027,INF879O01027,Narayana Hrudayalaya Ltd,INE410P01011,1995914.0,0.0,0.28327,Healthcare
INF879O01027,INF879O01027,Central Depository Services (India) Ltd,INE736A01011,2264603.0,0.0,0.24523,Financial Services
INF879O01027,INF879O01027,Great Eastern Shipping Co Ltd,INE017A01032,1657424.0,1657424.0,0.14037,Industrials
INF879O01027,INF879O01027,State Bank of India,INE062A01020,1876500.0,2250.0,0.13826,Financial Services
INF879O01027,INF879O01027,Eternal Ltd,INE758T01015,6455350.0,0.0,0.13464,Consumer Cyclical
INF879O01027,INF879O01027,Jio Financial Services Ltd,INE758E01017,6074750.0,0.0,0.13441,Financial Services
INF879O01027,INF879O01027,ICRA Ltd,INE725G01011,287393.0,0.0,0.13098,Financial Services
INF879O01027,INF879O01027,Hindalco Industries Ltd,INE038A01020,1861300.0,0.0,0.1238,Basic Materials
INF879O01027,INF879O01027,Larsen & Toubro Ltd,INE018A01030,354200.0,68600.0,0.1085,Industrials
INF879O01027,INF879O01027,Titan Co Ltd,INE280A01028,333025.0,0.0,0.10121,Consumer Cyclical
INF879O01027,INF879O01027,Sun Pharmaceuticals Industries Ltd,INE044A01036,730100.0,-59500.0,0.09418,Healthcare
INF879O01027,INF879O01027,Bharat Electronics Ltd,INE263A01024,3059475.0,0.0,0.09171,Industrials
INF879O01027,INF879O01027,Maharashtra Scooters Ltd,INE288A01013,80159.0,0.0,0.08552,Financial Services
INF879O01027,INF879O01027,Tata Steel Ltd,INE081A01020,6308500.0,0.0,0.08522,Basic Materials
INF879O01027,INF879O01027,IndusInd Bank Ltd,INE095A01012,1291500.0,0.0,0.08372,Financial Services
INF879O01027,INF879O01027,Punjab National Bank,INE160A01022,6864000.0,800000.0,0.06363,Financial Services
INF879O01027,INF879O01027,DLF Ltd,INE271C01023,1156650.0,0.0,0.05964,Real Estate
INF879O01027,INF879O01027,Vedanta Ltd,INE205A01025,1110900.0,0.0,0.05037,Basic Materials
INF879O01027,INF879O01027,Bajaj Finserv Ltd,INE918I01026,318500.0,0.0,0.04874,Financial Services
INF879O01027,INF879O01027,Hindustan Aeronautics Ltd Ordinary Shares,INE066F01020,127950.0,0.0,0.04212,Industrials
INF879O01027,INF879O01027,Varun Beverages Ltd,INE200M01039,1008000.0,425.0,0.03704,Consumer Defensive
INF879O01027,INF879O01027,Trent Ltd,INE849A01020,102000.0,0.0,0.03274,Consumer Cyclical
INF879O01027,INF879O01027,Mindspace Business Parks REIT Unit,INE0CCU25019,870684.0,0.0,0.03102,Real Estate
INF879O01027,INF879O01027,Lupin Ltd,INE326A01037,185725.0,0.0,0.02939,Healthcare
INF879O01027,INF879O01027,Nestle India Ltd,INE239A01024,282500.0,0.0,0.02729,Consumer Defensive
INF879O01027,INF879O01027,Bharti Airtel Ltd (Partly Paid Rs.1.25),IN9397D01014,199025.0,199025.0,0.02525,Communication Services
INF879O01027,INF879O01027,Grasim Industries Ltd,INE047A01021,117000.0,750.0,0.02483,Basic Materials
INF879O01027,INF879O01027,IDFC First Bank Ltd,INE092T01019,3728550.0,0.0,0.02394,Financial Services
INF879O01027,INF879O01027,LIC Housing Finance Ltd,INE115A01026,591000.0,0.0,0.02392,Financial Services
INF879O01027,INF879O01027,Indus Towers Ltd Ordinary Shares,INE121J01017,710855.0,0.0,0.02233,Communication Services
INF879O01027,INF879O01027,Bandhan Bank Ltd,INE545U01014,1850400.0,0.0,0.02024,Financial Services
INF879O01027,INF879O01027,GMR Airports Ltd,INE776C01039,2566800.0,0.0,0.0201,Industrials
INF879O01027,INF879O01027,Divi's Laboratories Ltd,INE361B01024,39600.0,0.0,0.01899,Healthcare
INF879O01027,INF879O01027,JSW Steel Ltd,INE019A01038,207900.0,0.0,0.01817,Basic Materials
INF879O01027,INF879O01027,Bank of Baroda,INE028A01039,807300.0,-204750.0,0.01792,Financial Services
INF879O01027,INF879O01027,Tech Mahindra Ltd,INE669C01036,133800.0,-114600.0,0.01597,Technology
INF879O01027,INF879O01027,Oil & Natural Gas Corp Ltd,INE213A01029,855000.0,-15750.0,0.01542,Energy
INF879O01027,INF879O01027,Biocon Ltd,INE376G01013,500000.0,500000.0,0.01477,Healthcare
INF879O01027,INF879O01027,Nesco Ltd,INE317F01035,151687.0,0.0,0.01394,Industrials
INF879O01027,INF879O01027,Tata Consumer Products Ltd,INE192A01025,155100.0,0.0,0.01387,Consumer Defensive
