fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF959L01DT9,INF959L01DT9,HDFC Bank Ltd,INE040A01034,158000.0,0.0,5.99599,Financial Services
INF959L01DT9,INF959L01DT9,ICICI Bank Ltd,INE090A01021,88000.0,0.0,4.60297,Financial Services
INF959L01DT9,INF959L01DT9,Axis Bank Ltd,INE238A01034,84500.0,0.0,4.07268,Financial Services
INF959L01DT9,INF959L01DT9,Sansera Engineering Ltd,INE953O01021,52000.0,0.0,3.42557,Consumer Cyclical
INF959L01DT9,INF959L01DT9,Usha Martin Ltd,INE228A01035,176000.0,0.0,2.83642,Basic Materials
INF959L01DT9,INF959L01DT9,Kotak Mahindra Bank Ltd,INE237A01028,35000.0,0.0,2.8004,Financial Services
INF959L01DT9,INF959L01DT9,BLS International Services Ltd,INE153T01027,217000.0,0.0,2.69501,Industrials
INF959L01DT9,INF959L01DT9,Reliance Industries Ltd,INE002A01018,43000.0,0.0,2.53858,Energy
INF959L01DT9,INF959L01DT9,Shriram Finance Ltd,INE721A01047,74500.0,-49000.0,2.38964,Financial Services
INF959L01DT9,INF959L01DT9,Varun Beverages Ltd,INE200M01039,129500.0,0.0,2.34869,Consumer Defensive
INF959L01DT9,INF959L01DT9,Bharti Airtel Ltd,INE397D01024,29500.0,-6500.0,2.335,Communication Services
INF959L01DT9,INF959L01DT9,Samvardhana Motherson International Ltd,INE775A01035,510750.0,0.0,2.23739,Consumer Cyclical
INF959L01DT9,INF959L01DT9,ITC Ltd,INE154A01025,133000.0,0.0,2.02496,Consumer Defensive
INF959L01DT9,INF959L01DT9,Astral Ltd,INE006I01046,36500.0,0.0,1.98067,Industrials
INF959L01DT9,INF959L01DT9,CreditAccess Grameen Ltd Ordinary Shares,INE741K01010,39000.0,0.0,1.96401,Financial Services
INF959L01DT9,INF959L01DT9,Apollo Hospitals Enterprise Ltd,INE437A01024,6500.0,0.0,1.7958,Healthcare
INF959L01DT9,INF959L01DT9,InterGlobe Aviation Ltd,INE646L01027,8000.0,0.0,1.77815,Industrials
INF959L01DT9,INF959L01DT9,Yash Highvoltage Ltd,INE00GK01023,92000.0,42000.0,1.72332,Industrials
INF959L01DT9,INF959L01DT9,Tata Motors Passenger Vehicles Ltd,INE155A01022,128000.0,32000.0,1.72009,Consumer Cyclical
INF959L01DT9,INF959L01DT9,Sky Gold and Diamonds Ltd,INE01IU01018,137500.0,0.0,1.71466,Consumer Cyclical
INF959L01DT9,INF959L01DT9,UPL Ltd,INE628A01036,60000.0,0.0,1.71438,Basic Materials
INF959L01DT9,INF959L01DT9,SJS Enterprises Ltd,INE284S01014,25500.0,0.0,1.62799,Consumer Cyclical
INF959L01DT9,INF959L01DT9,Tata Consultancy Services Ltd,INE467B01029,12500.0,0.0,1.4771,Technology
INF959L01DT9,INF959L01DT9,Suzlon Energy Ltd,INE040H01021,700000.0,0.0,1.42393,Industrials
