fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF966L01911,INF966L01911,Reliance Industries Ltd,INE002A01018,4810039.0,0.0,9.68095,Energy
INF966L01911,INF966L01911,Adani Power Ltd,INE814H01029,42802320.0,5257320.0,9.13568,Utilities
INF966L01911,INF966L01911,Adani Enterprises Ltd,INE423A01024,1809615.0,796786.0,6.69121,Energy
INF966L01911,INF966L01911,Samvardhana Motherson International Ltd,INE775A01035,41065737.0,0.0,6.40183,Consumer Cyclical
INF966L01911,INF966L01911,Aurobindo Pharma Ltd,INE406A01037,3030611.0,0.0,4.84702,Healthcare
INF966L01911,INF966L01911,Life Insurance Corporation of India,INE0J1Y01017,3607079.0,0.0,4.79206,Financial Services
INF966L01911,INF966L01911,Jio Financial Services Ltd,INE758E01017,11043932.0,0.0,4.77796,Financial Services
INF966L01911,INF966L01911,Britannia Industries Ltd,INE216A01030,430528.0,0.0,3.80589,Consumer Defensive
INF966L01911,INF966L01911,Tata Power Co Ltd,INE245A01021,5873750.0,0.0,3.36844,Utilities
INF966L01911,INF966L01911,Larsen & Toubro Ltd,INE018A01030,621150.0,0.0,3.35362,Industrials
INF966L01911,INF966L01911,Bajaj Auto Ltd,INE917I01010,239258.0,75894.0,3.06384,Consumer Cyclical
INF966L01911,INF966L01911,Future on Larsen & Toubro Ltd,,544250.0,544250.0,2.95562,
INF966L01911,INF966L01911,Swan Corp Ltd,INE665A01038,4217909.0,0.0,2.82994,Industrials
INF966L01911,INF966L01911,GMR Airports Ltd,INE776C01039,21327292.0,0.0,2.74415,Industrials
INF966L01911,INF966L01911,Future on Tata Power Co Ltd,,4383350.0,4383350.0,2.53055,
INF966L01911,INF966L01911,K.P.R. Mill Ltd,INE930H01031,1320925.0,0.0,2.07549,Consumer Cyclical
INF966L01911,INF966L01911,HDFC Life Insurance Co Ltd,INE795G01014,1825000.0,0.0,2.03703,Financial Services
INF966L01911,INF966L01911,DLF Ltd,INE271C01023,1849051.0,0.0,1.94533,Real Estate
INF966L01911,INF966L01911,JSW Infrastructure Ltd,INE880J01026,3992791.0,0.0,1.85732,Industrials
INF966L01911,INF966L01911,Lupin Ltd,INE326A01037,619821.0,0.0,1.74804,Healthcare
INF966L01911,INF966L01911,Bharat Petroleum Corp Ltd,INE029A01011,3155255.0,0.0,1.58132,Energy
INF966L01911,INF966L01911,Alivus Life Sciences Ltd,INE03Q201024,1088244.0,0.0,1.49199,Healthcare
INF966L01911,INF966L01911,Sun TV Network Ltd,INE424H01027,1901025.0,0.0,1.46831,Communication Services
INF966L01911,INF966L01911,Future on Aurobindo Pharma Ltd,,878350.0,878350.0,1.4114,
INF966L01911,INF966L01911,United Breweries Ltd,INE686F01025,487857.0,0.0,1.29632,Consumer Defensive
INF966L01911,INF966L01911,Infosys Ltd,INE009A01021,529377.0,0.0,1.12623,Technology
INF966L01911,INF966L01911,State Bank of India,INE062A01020,869033.0,0.0,1.11875,Financial Services
INF966L01911,INF966L01911,Tata Consultancy Services Ltd,INE467B01029,235828.0,0.0,1.0051,Technology
INF966L01911,INF966L01911,Wipro Ltd,INE075A01022,2617554.0,2617554.0,0.92453,Technology
INF966L01911,INF966L01911,Adani Energy Solutions Ltd,INE931S01010,699000.0,0.0,0.89965,Utilities
INF966L01911,INF966L01911,Aditya Birla Lifestyle Brands Ltd,INE14LE01019,3975000.0,0.0,0.77956,Consumer Cyclical
INF966L01911,INF966L01911,Adani Green Energy Ltd,INE364U01010,495546.0,0.0,0.75084,Utilities
INF966L01911,INF966L01911,Piramal Finance Ltd,INE202B01038,371720.0,371720.0,0.61662,
INF966L01911,INF966L01911,NBCC India Ltd,INE095N01031,3002684.0,3002684.0,0.47443,Industrials
INF966L01911,INF966L01911,Housing & Urban Development Corp Ltd,INE031A01017,1408966.0,1408966.0,0.46493,Financial Services
INF966L01911,INF966L01911,AWL Agri Business Ltd,INE699H01024,967990.0,0.0,0.37358,Consumer Defensive
INF966L01911,INF966L01911,Digitide Solutions Ltd,INE0U4701011,1425304.0,0.0,0.33433,Industrials
INF966L01911,INF966L01911,Future on State Bank of India,,243000.0,243000.0,0.31444,
INF966L01911,INF966L01911,Piramal Enterprises Ltd,INE140A01024,0.0,-371720.0,0.0,Financial Services
INF966L01911,INF966L01911,Marico Ltd,INE196A01026,0.0,-242230.0,0.0,Consumer Defensive
INF966L01911,INF966L01911,Laxmi Dental Ltd,INE0WO601020,0.0,-496758.0,0.0,Healthcare
INF966L01911,INF966L01911,Oil & Natural Gas Corp Ltd,INE213A01029,0.0,-6602849.0,0.0,Energy
INF966L01911,INF966L01911,Himadri Speciality Chemical Ltd,INE019C01026,0.0,-3248078.0,0.0,Basic Materials
