fund_id,fund_name,security_name,isin,number_of_shares,share_change,sector
INF0QA701BK8,INF0QA701BK8,Schaeffler India Ltd,INE513A01022,86550.0,49773.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,Devyani International Ltd,INE872J01023,1843247.0,0.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,Timken India Ltd,INE325A01013,100324.0,8568.0,Industrials
INF0QA701BK8,INF0QA701BK8,Affle 3i Ltd,INE00WC01027,150104.0,41847.0,Communication Services
INF0QA701BK8,INF0QA701BK8,Bayer CropScience Ltd,INE462A01022,50759.0,1598.0,Basic Materials
INF0QA701BK8,INF0QA701BK8,CreditAccess Grameen Ltd Ordinary Shares,INE741K01010,188867.0,57519.0,Financial Services
INF0QA701BK8,INF0QA701BK8,Amber Enterprises India Ltd Ordinary Shares,INE371P01015,36151.0,13991.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,Yes Bank Ltd,INE528G01035,13685544.0,6312212.0,Financial Services
INF0QA701BK8,INF0QA701BK8,Ujjivan Small Finance Bank Ltd Ordinary Shares,INE551W01018,5943839.0,564604.0,Financial Services
INF0QA701BK8,INF0QA701BK8,Neuland Laboratories Ltd,INE794A01010,18759.0,8094.0,Healthcare
INF0QA701BK8,INF0QA701BK8,Kajaria Ceramics Ltd,INE217B01036,206966.0,53135.0,Industrials
INF0QA701BK8,INF0QA701BK8,Whirlpool of India Ltd,INE716A01013,190384.0,19839.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,Welspun Corp Ltd,INE191B01025,287144.0,55198.0,Basic Materials
INF0QA701BK8,INF0QA701BK8,Tega Industries Ltd,INE011K01018,115253.0,49280.0,Industrials
INF0QA701BK8,INF0QA701BK8,Hari Baskar Industries,INE011K01018,49280.0,49280.0,Industrials
INF0QA701BK8,INF0QA701BK8,Zydus Wellness Ltd,INE768C01010,105272.0,45874.0,Consumer Defensive
INF0QA701BK8,INF0QA701BK8,Radico Khaitan Ltd,INE944F01028,74232.0,10394.0,Consumer Defensive
INF0QA701BK8,INF0QA701BK8,Kirloskar Oil Engines Ltd,INE146L01010,233044.0,57404.0,Industrials
INF0QA701BK8,INF0QA701BK8,Sobha Ltd,INE671H01015,141412.0,0.0,Real Estate
INF0QA701BK8,INF0QA701BK8,Schneider Electric Infrastructure Ltd,INE839M01018,234339.0,52230.0,Industrials
INF0QA701BK8,INF0QA701BK8,Safari Industries (India) Ltd,INE429E01023,89778.0,62755.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,HEG Ltd,INE545A01024,392354.0,111605.0,Industrials
INF0QA701BK8,INF0QA701BK8,Karur Vysya Bank Ltd,INE036D01028,803829.0,117356.0,Financial Services
INF0QA701BK8,INF0QA701BK8,Navin Fluorine International Ltd,INE048G01026,36052.0,12571.0,Basic Materials
INF0QA701BK8,INF0QA701BK8,Aditya Birla Sun Life AMC Ltd,INE404A01024,200761.0,0.0,Financial Services
INF0QA701BK8,INF0QA701BK8,Allied Blenders and Distillers Ltd,INE552Z01027,327497.0,28801.0,Consumer Defensive
INF0QA701BK8,INF0QA701BK8,Aptus Value Housing Finance India Ltd,INE852O01025,517670.0,0.0,Financial Services
INF0QA701BK8,INF0QA701BK8,SJS Enterprises Ltd,INE284S01014,122718.0,26820.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,Medi Assist Healthcare Services Ltd,INE456Z01021,311452.0,0.0,Healthcare
INF0QA701BK8,INF0QA701BK8,Ahluwalia Contracts (India) Ltd,INE758C01029,168464.0,29099.0,Industrials
INF0QA701BK8,INF0QA701BK8,ZF Commercial Vehicle Control Systems India Ltd,INE342J01019,10823.0,2308.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,Mrs Bectors Food Specialities Ltd Ordinary Shares,INE495P01012,108980.0,29036.0,Consumer Defensive
INF0QA701BK8,INF0QA701BK8,Time Technoplast Ltd,INE508G01029,327239.0,0.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,TD Power Systems Ltd,INE419M01027,291336.0,57536.0,Industrials
INF0QA701BK8,INF0QA701BK8,CESC Ltd,INE486A01021,947259.0,0.0,Utilities
INF0QA701BK8,INF0QA701BK8,Brigade Enterprises Ltd,INE791I01019,151160.0,33368.0,Real Estate
INF0QA701BK8,INF0QA701BK8,Greenpanel Industries Ltd Ordinary Shares,INE08ZM01014,515788.0,0.0,Basic Materials
INF0QA701BK8,INF0QA701BK8,VA Tech Wabag Ltd,INE956G01038,94006.0,42498.0,Industrials
INF0QA701BK8,INF0QA701BK8,Sanofi Consumer Healthcare India Ltd,INE0UOS01011,25939.0,18549.0,Healthcare
INF0QA701BK8,INF0QA701BK8,JK Lakshmi Cement Ltd,INE786A01032,142554.0,18529.0,Basic Materials
INF0QA701BK8,INF0QA701BK8,Aditya Birla Real Estate Ltd,INE055A01016,74439.0,15688.0,Basic Materials
INF0QA701BK8,INF0QA701BK8,Nesco Ltd,INE317F01035,92596.0,0.0,Industrials
INF0QA701BK8,INF0QA701BK8,TVS Holdings Ltd,INE105A01035,10910.0,6191.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,PNB Housing Finance Ltd,INE572E01012,166943.0,0.0,Financial Services
INF0QA701BK8,INF0QA701BK8,Elecon Engineering Co Ltd,INE205B01031,226058.0,124824.0,Industrials
INF0QA701BK8,INF0QA701BK8,Atul Ltd,INE100A01010,19868.0,0.0,Basic Materials
INF0QA701BK8,INF0QA701BK8,Century Plyboards (India) Ltd,INE348B01021,165721.0,8424.0,Basic Materials
INF0QA701BK8,INF0QA701BK8,V-Mart Retail Ltd,INE665J01013,161602.0,31447.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,City Union Bank Ltd,INE491A01021,611555.0,-232728.0,Financial Services
INF0QA701BK8,INF0QA701BK8,ICRA Ltd,INE725G01011,19170.0,1967.0,Financial Services
INF0QA701BK8,INF0QA701BK8,Ramco Cements Ltd,INE331A01037,105902.0,0.0,Basic Materials
INF0QA701BK8,INF0QA701BK8,Niva Bupa Health Insurance Co Ltd,INE995S01015,1357228.0,0.0,Financial Services
INF0QA701BK8,INF0QA701BK8,Jyoti CNC Automation Ltd,INE980O01024,120965.0,50454.0,Industrials
INF0QA701BK8,INF0QA701BK8,VIP Industries Ltd,INE054A01027,246289.0,0.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,Emami Ltd,INE548C01032,176169.0,110380.0,Consumer Defensive
INF0QA701BK8,INF0QA701BK8,IIFL Finance Ltd,INE530B01024,235944.0,0.0,Financial Services
INF0QA701BK8,INF0QA701BK8,Medplus Health Services Ltd,INE804L01022,118997.0,0.0,Healthcare
INF0QA701BK8,INF0QA701BK8,Piramal Enterprises Ltd,INE140A01024,87138.0,0.0,Financial Services
INF0QA701BK8,INF0QA701BK8,Awfis Space Solutions Ltd,INE108V01019,170511.0,170511.0,Industrials
INF0QA701BK8,INF0QA701BK8,CSB Bank Ltd Ordinary Shares,INE679A01013,265474.0,0.0,Financial Services
INF0QA701BK8,INF0QA701BK8,Wockhardt Ltd,INE049B01025,65972.0,0.0,Healthcare
INF0QA701BK8,INF0QA701BK8,Godawari Power & Ispat Ltd,INE177H01039,398648.0,152295.0,Basic Materials
INF0QA701BK8,INF0QA701BK8,Computer Age Management Services Ltd Ordinary Shares,INE596I01012,24031.0,6482.0,Technology
INF0QA701BK8,INF0QA701BK8,Prudent Corporate Advisory Services Ltd,INE00F201020,30994.0,2965.0,Financial Services
INF0QA701BK8,INF0QA701BK8,RHI Magnesita India Ltd,INE743M01012,182442.0,0.0,Industrials
INF0QA701BK8,INF0QA701BK8,La Opala RG Ltd,INE059D01020,355038.0,124944.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,Metro Brands Ltd,INE317I01021,72087.0,12514.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,Grindwell Norton Ltd,INE536A01023,47102.0,264.0,Industrials
INF0QA701BK8,INF0QA701BK8,eClerx Services Ltd,INE738I01010,16000.0,0.0,Technology
INF0QA701BK8,INF0QA701BK8,Garware Technical Fibres Ltd,INE276A01018,83604.0,4929.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,Cera Sanitaryware Ltd,INE739E01017,9950.0,0.0,Industrials
INF0QA701BK8,INF0QA701BK8,PVR INOX Ltd,INE191H01014,54867.0,54867.0,Communication Services
INF0QA701BK8,INF0QA701BK8,Brainbees Solutions Ltd,INE02RE01045,162125.0,0.0,Consumer Cyclical
INF0QA701BK8,INF0QA701BK8,Neogen Chemicals Ltd,INE136S01016,41021.0,8342.0,Basic Materials
INF0QA701BK8,INF0QA701BK8,Voltamp Transformers Ltd,INE540H01012,7317.0,1317.0,Industrials
INF0QA701BK8,INF0QA701BK8,Apar Industries Ltd,INE372A01015,7256.0,7256.0,Industrials
