fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF194KB1AL4,INF194KB1AL4,Sobha Ltd,INE671H01015,3287942.0,326745.0,3.22884,Real Estate
INF194KB1AL4,INF194KB1AL4,The South Indian Bank Ltd,INE683A01023,107453809.0,0.0,2.15989,Financial Services
INF194KB1AL4,INF194KB1AL4,REC Ltd,INE020B01018,8571745.0,900000.0,2.06027,Financial Services
INF194KB1AL4,INF194KB1AL4,LT Foods Ltd,INE818H01020,7116049.0,290516.0,2.05906,Consumer Defensive
INF194KB1AL4,INF194KB1AL4,Cholamandalam Financial Holdings Ltd,INE149A01033,1384592.0,74500.0,1.64087,Financial Services
INF194KB1AL4,INF194KB1AL4,Info Edge (India) Ltd,INE663F01032,1750000.0,400000.0,1.63214,Communication Services
INF194KB1AL4,INF194KB1AL4,PCBL Chemical Ltd,INE602A01031,5479428.0,0.0,1.3981,Basic Materials
INF194KB1AL4,INF194KB1AL4,Yatharth Hospital and Trauma Care Services Ltd,INE0JO301016,2899501.0,-297874.0,1.38397,Healthcare
INF194KB1AL4,INF194KB1AL4,Apar Industries Ltd,INE372A01015,254796.0,3600.0,1.35292,Industrials
INF194KB1AL4,INF194KB1AL4,Shaily Engineering Plastics Ltd,INE151G01028,826391.0,-47849.0,1.26668,Basic Materials
INF194KB1AL4,INF194KB1AL4,Arvind Ltd,INE034A01011,6418196.0,614989.0,1.23787,Consumer Cyclical
INF194KB1AL4,INF194KB1AL4,Inox Wind Ltd,INE066P01011,12994037.0,1377367.0,1.2325,Industrials
INF194KB1AL4,INF194KB1AL4,PNB Housing Finance Ltd,INE572E01012,2366507.0,910000.0,1.22472,Financial Services
INF194KB1AL4,INF194KB1AL4,State Bank of India,INE062A01020,2180624.0,240000.0,1.20175,Financial Services
INF194KB1AL4,INF194KB1AL4,Karnataka Bank Ltd,INE614B01018,9565532.0,470393.0,1.12736,Financial Services
INF194KB1AL4,INF194KB1AL4,Glenmark Pharmaceuticals Ltd,INE935A01035,850877.0,0.0,1.12418,Healthcare
INF194KB1AL4,INF194KB1AL4,Power Finance Corp Ltd,INE134E01011,4286755.0,0.0,1.11778,Financial Services
INF194KB1AL4,INF194KB1AL4,Jubilant Pharmova Ltd,INE700A01033,1535656.0,109089.0,1.07894,Healthcare
INF194KB1AL4,INF194KB1AL4,Axis Bank Ltd,INE238A01034,1500000.0,100000.0,1.07666,Financial Services
INF194KB1AL4,INF194KB1AL4,TARC Ltd Ordinary Shares,INE0EK901012,9823774.0,888433.0,1.03596,Real Estate
INF194KB1AL4,INF194KB1AL4,TVS Holdings Ltd,INE105A01035,120757.0,0.0,0.98452,Consumer Cyclical
INF194KB1AL4,INF194KB1AL4,Great Eastern Shipping Co Ltd,INE017A01032,1477024.0,22919.0,0.94063,Industrials
INF194KB1AL4,INF194KB1AL4,Sanathan Textiles Ltd,INE0JPD01013,2663411.0,52681.0,0.92111,Consumer Cyclical
INF194KB1AL4,INF194KB1AL4,eClerx Services Ltd,INE738I01010,309103.0,-1500.0,0.89606,Technology
