fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF205K013T3,INF205K013T3,Sai Life Sciences Ltd,INE570L01029,4942410.0,1072959.0,5.28132,Healthcare
INF205K013T3,INF205K013T3,Krishna Institute of Medical Sciences Ltd,INE967H01025,4835923.0,741056.0,4.53592,Healthcare
INF205K013T3,INF205K013T3,JK Lakshmi Cement Ltd,INE786A01032,2905698.0,570559.0,3.46808,Basic Materials
INF205K013T3,INF205K013T3,Multi Commodity Exchange of India Ltd,INE745G01035,344871.0,0.0,3.30224,Financial Services
INF205K013T3,INF205K013T3,Swiggy Ltd,INE00H001014,6083015.0,0.0,3.22958,Consumer Cyclical
INF205K013T3,INF205K013T3,InterGlobe Aviation Ltd,INE646L01027,406892.0,18224.0,2.97665,Industrials
INF205K013T3,INF205K013T3,Global Health Ltd,INE474Q01031,1578766.0,0.0,2.81068,Healthcare
INF205K013T3,INF205K013T3,Delhivery Ltd,INE148O01028,4616475.0,933981.0,2.79969,Industrials
INF205K013T3,INF205K013T3,Karur Vysya Bank Ltd,INE036D01028,9679612.0,-1.0,2.68461,Financial Services
INF205K013T3,INF205K013T3,Vishal Mega Mart Ltd,INE01EA01019,12949569.0,0.0,2.50693,Consumer Cyclical
INF205K013T3,INF205K013T3,BSE Ltd,INE118H01025,916044.0,0.0,2.48804,Financial Services
INF205K013T3,INF205K013T3,Cholamandalam Financial Holdings Ltd,INE149A01033,1083146.0,0.0,2.42192,Financial Services
INF205K013T3,INF205K013T3,Aditya Birla Real Estate Ltd,INE055A01016,1043423.0,0.0,2.36622,Basic Materials
INF205K013T3,INF205K013T3,Brigade Enterprises Ltd,INE791I01019,1812778.0,400000.0,2.16821,Real Estate
INF205K013T3,INF205K013T3,L&T Finance Ltd,INE498L01015,7445366.0,0.0,2.09495,Financial Services
INF205K013T3,INF205K013T3,Go Digit General Insurance Ltd,INE03JT01014,4384695.0,0.0,2.03191,Financial Services
INF205K013T3,INF205K013T3,Sonata Software Ltd,INE269A01021,4325452.0,519454.0,1.96635,Technology
INF205K013T3,INF205K013T3,Kaynes Technology India Ltd,INE918Z01012,243343.0,0.0,1.93059,Industrials
INF205K013T3,INF205K013T3,Aditya Infotech Ltd,INE819V01029,1151531.0,1151531.0,1.88595,Industrials
INF205K013T3,INF205K013T3,360 One Wam Ltd Ordinary Shares,INE466L01038,1282698.0,0.0,1.69209,Financial Services
INF205K013T3,INF205K013T3,Ather Energy Ltd,INE0LEZ01016,2689536.0,0.0,1.56871,Consumer Cyclical
INF205K013T3,INF205K013T3,Trent Ltd,INE849A01020,228422.0,0.0,1.56804,Consumer Cyclical
