fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF247L01BY3,INF247L01BY3,Dr Agarwal’s Health Care Ltd,INE943P01029,4429605.0,123212.0,3.82235,Healthcare
INF247L01BY3,INF247L01BY3,Karur Vysya Bank Ltd,INE036D01028,7642117.0,636635.0,3.80496,Financial Services
INF247L01BY3,INF247L01BY3,CCL Products (India) Ltd,INE421D01022,2226731.0,98223.0,3.58701,Consumer Defensive
INF247L01BY3,INF247L01BY3,VA Tech Wabag Ltd,INE956G01038,941274.0,135703.0,2.81922,Industrials
INF247L01BY3,INF247L01BY3,Campus Activewear Ltd,INE278Y01022,5427393.0,168385.0,2.74071,Consumer Cyclical
INF247L01BY3,INF247L01BY3,Styrenix Performance Materials Ltd,INE189B01011,492682.0,17640.0,2.70504,Basic Materials
INF247L01BY3,INF247L01BY3,Rainbow Childrens Medicare Ltd,INE961O01016,906206.0,57951.0,2.60926,Healthcare
INF247L01BY3,INF247L01BY3,Shaily Engineering Plastics Ltd,INE151G01028,792604.0,16069.0,2.37483,Basic Materials
INF247L01BY3,INF247L01BY3,Apar Industries Ltd,INE372A01015,138517.0,-7054.0,2.33051,Industrials
INF247L01BY3,INF247L01BY3,Vijaya Diagnostic Centre Ltd,INE043W01024,1144683.0,24434.0,2.32437,Healthcare
INF247L01BY3,INF247L01BY3,V-Mart Retail Ltd,INE665J01013,1477738.0,86478.0,2.20643,Consumer Cyclical
INF247L01BY3,INF247L01BY3,Transformers & Rectifiers (India) Ltd,INE763I01026,2271701.0,183807.0,2.19348,Industrials
INF247L01BY3,INF247L01BY3,Multi Commodity Exchange of India Ltd,INE745G01035,146423.0,18166.0,2.12763,Financial Services
INF247L01BY3,INF247L01BY3,V2 Retail Ltd,INE945H01013,598795.0,-22838.0,2.10143,Consumer Cyclical
INF247L01BY3,INF247L01BY3,Triveni Turbine Ltd,INE152M01016,1845741.0,-252565.0,2.08933,Industrials
INF247L01BY3,INF247L01BY3,Indus Towers Ltd Ordinary Shares,INE121J01017,3010536.0,216906.0,2.06415,Communication Services
INF247L01BY3,INF247L01BY3,Siemens Energy India Ltd,INE1NPP01017,331793.0,35402.0,2.02919,Utilities
INF247L01BY3,INF247L01BY3,eClerx Services Ltd,INE738I01010,285044.0,-358.0,2.02825,Technology
INF247L01BY3,INF247L01BY3,V-Guard Industries Ltd,INE951I01027,2745173.0,-420488.0,1.98099,Industrials
INF247L01BY3,INF247L01BY3,Five-Star Business Finance Ltd,INE128S01021,1634949.0,190228.0,1.83373,Financial Services
INF247L01BY3,INF247L01BY3,Gokaldas Exports Ltd,INE887G01027,1128614.0,0.0,1.81146,Consumer Cyclical
