fund_id,fund_name,security_name,isin,number_of_shares,share_change,sector
INF740K01QD1,INF740K01QD1,Lumax Auto Technologies Ltd,INE872H01027,6196634.0,46634.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Dodla Dairy Ltd,INE021O01019,3750000.0,0.0,Consumer Defensive
INF740K01QD1,INF740K01QD1,Jubilant Ingrevia Ltd Ordinary Shares,INE0BY001018,7000000.0,0.0,Basic Materials
INF740K01QD1,INF740K01QD1,eClerx Services Ltd,INE738I01010,1105918.0,-194082.0,Technology
INF740K01QD1,INF740K01QD1,Welspun Corp Ltd,INE191B01025,5500000.0,0.0,Basic Materials
INF740K01QD1,INF740K01QD1,LT Foods Ltd,INE818H01020,10000000.0,0.0,Consumer Defensive
INF740K01QD1,INF740K01QD1,Thangamayil Jewellery Ltd,INE085J01014,1677908.0,1216.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Techno Electric & Engineering Co Ltd,INE285K01026,2500000.0,0.0,Industrials
INF740K01QD1,INF740K01QD1,Kirloskar Oil Engines Ltd,INE146L01010,4000000.0,0.0,Industrials
INF740K01QD1,INF740K01QD1,Cyient Ltd,INE136B01020,3000000.0,0.0,Industrials
INF740K01QD1,INF740K01QD1,Dhanuka Agritech Ltd,INE435G01025,2120414.0,120414.0,Basic Materials
INF740K01QD1,INF740K01QD1,Triveni Engineering & Industries Ltd,INE256C01024,9200000.0,0.0,Consumer Defensive
INF740K01QD1,INF740K01QD1,Ipca Laboratories Ltd,INE571A01038,2320000.0,0.0,Healthcare
INF740K01QD1,INF740K01QD1,Aarti Drugs Ltd,INE767A01016,6387722.0,0.0,Healthcare
INF740K01QD1,INF740K01QD1,Archean Chemical Industries Ltd,INE128X01021,4500000.0,0.0,Basic Materials
INF740K01QD1,INF740K01QD1,Swaraj Engines Ltd,INE277A01016,731746.0,-3049.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Safari Industries (India) Ltd,INE429E01023,1300000.0,0.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Harsha Engineers International Ltd,INE0JUS01029,6991662.0,405112.0,Industrials
INF740K01QD1,INF740K01QD1,Shriram Pistons & Rings Ltd,INE526E01018,1081165.0,0.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Suprajit Engineering Ltd,INE399C01030,6000000.0,0.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,IFB Industries Ltd,INE559A01017,1750000.0,0.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Prudent Corporate Advisory Services Ltd,INE00F201020,911387.0,0.0,Financial Services
INF740K01QD1,INF740K01QD1,Atul Ltd,INE100A01010,403746.0,0.0,Basic Materials
INF740K01QD1,INF740K01QD1,Navin Fluorine International Ltd,INE048G01026,500000.0,0.0,Basic Materials
INF740K01QD1,INF740K01QD1,Rainbow Childrens Medicare Ltd,INE961O01016,1536915.0,0.0,Healthcare
INF740K01QD1,INF740K01QD1,Sansera Engineering Ltd,INE953O01021,1800000.0,0.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Eris Lifesciences Ltd Registered Shs,INE406M01024,1230000.0,0.0,Healthcare
INF740K01QD1,INF740K01QD1,Vardhman Textiles Ltd,INE825A01020,5000000.0,0.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,TCPL Packaging Ltd,INE822C01015,630807.0,1155.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Voltamp Transformers Ltd,INE540H01012,260000.0,0.0,Industrials
INF740K01QD1,INF740K01QD1,Westlife Foodworld Ltd,INE274F01020,2726563.0,0.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Campus Activewear Ltd,INE278Y01022,7100000.0,0.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Mold-tek Packaging Ltd,INE893J01029,2362889.0,262889.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Nilkamal Ltd,INE310A01015,1178358.0,0.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Greenlam Industries Ltd,INE544R01021,7382217.0,0.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Amber Enterprises India Ltd Ordinary Shares,INE371P01015,230000.0,0.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Sharda Cropchem Ltd,INE221J01015,1750000.0,0.0,Basic Materials
INF740K01QD1,INF740K01QD1,S.P. Apparels Ltd,INE212I01016,2230122.0,-19878.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,La Opala RG Ltd,INE059D01020,6577549.0,0.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,R R Kabel Ltd,INE777K01022,1296585.0,0.0,Industrials
INF740K01QD1,INF740K01QD1,Prince Pipes And Fittings Ltd Ordinary Shares,INE689W01016,4618486.0,0.0,Industrials
INF740K01QD1,INF740K01QD1,Ratnamani Metals & Tubes Ltd,INE703B01027,600000.0,0.0,Basic Materials
INF740K01QD1,INF740K01QD1,GHCL Ltd,INE539A01019,2600000.0,0.0,Basic Materials
INF740K01QD1,INF740K01QD1,Niva Bupa Health Insurance Co Ltd,INE995S01015,17525050.0,1870797.0,Financial Services
INF740K01QD1,INF740K01QD1,Kalyani Steels Ltd,INE907A01026,1700000.0,0.0,Basic Materials
INF740K01QD1,INF740K01QD1,Alembic Pharmaceuticals Ltd,INE901L01018,1500000.0,0.0,Healthcare
INF740K01QD1,INF740K01QD1,Borosil Ltd Ordinary Shares,INE02PY01013,4100000.0,0.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Max Financial Services Ltd,INE180A01020,837667.0,0.0,Financial Services
INF740K01QD1,INF740K01QD1,Narayana Hrudayalaya Ltd,INE410P01011,721175.0,-40000.0,Healthcare
INF740K01QD1,INF740K01QD1,HLE Glascoat Ltd,INE461D01028,2401016.0,0.0,Industrials
INF740K01QD1,INF740K01QD1,Just Dial Ltd,INE599M01018,1543718.0,0.0,Communication Services
INF740K01QD1,INF740K01QD1,PNB Housing Finance Ltd,INE572E01012,1561699.0,161699.0,Financial Services
INF740K01QD1,INF740K01QD1,Rolex Rings Ltd,INE645S01016,851772.0,0.0,Industrials
INF740K01QD1,INF740K01QD1,West Coast Paper Mills Ltd,INE976A01021,2300000.0,0.0,Basic Materials
INF740K01QD1,INF740K01QD1,Anand Rathi Wealth Ltd,INE463V01026,405216.0,0.0,Financial Services
INF740K01QD1,INF740K01QD1,Sandhar Technologies Ltd Ordinary Shares,INE278H01035,2600000.0,0.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Apar Industries Ltd,INE372A01015,137523.0,0.0,Industrials
INF740K01QD1,INF740K01QD1,Amrutanjan Health Care Ltd,INE098F01031,1466269.0,0.0,Healthcare
INF740K01QD1,INF740K01QD1,Sheela Foam Ltd,INE916U01025,1450000.0,0.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Sudarshan Chemical Industries Ltd,INE659A01023,640000.0,0.0,Basic Materials
INF740K01QD1,INF740K01QD1,R Systems International Ltd,INE411H01032,2054827.0,0.0,Technology
INF740K01QD1,INF740K01QD1,Manappuram Finance Ltd,INE522D01027,3331650.0,-1868350.0,Financial Services
INF740K01QD1,INF740K01QD1,Carysil Ltd,INE482D01024,1000000.0,0.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Equitas Small Finance Bank Ltd Ordinary Shares,INE063P01018,15000000.0,0.0,Financial Services
INF740K01QD1,INF740K01QD1,Kalpataru Projects International Ltd,INE220B01022,600000.0,0.0,Industrials
INF740K01QD1,INF740K01QD1,Stylam Industries Ltd,INE239C01020,436235.0,0.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Angel One Ltd Ordinary Shares,INE732I01013,314400.0,0.0,Financial Services
INF740K01QD1,INF740K01QD1,Happy Forgings Ltd,INE330T01021,711692.0,0.0,Industrials
INF740K01QD1,INF740K01QD1,Engineers India Ltd,INE510A01028,3000000.0,0.0,Industrials
INF740K01QD1,INF740K01QD1,Graphite India Ltd,INE371A01025,1120944.0,0.0,Industrials
INF740K01QD1,INF740K01QD1,CSB Bank Ltd Ordinary Shares,INE679A01013,1407449.0,130648.0,Financial Services
INF740K01QD1,INF740K01QD1,Shoppers Stop Ltd,INE498B01024,900000.0,0.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,JNK India Ltd,INE0OAF01028,1494918.0,0.0,Industrials
INF740K01QD1,INF740K01QD1,GHCL Textiles Ltd,INE0PA801013,4300000.0,0.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,Power Mech Projects Ltd,INE211R01019,90000.0,0.0,Industrials
INF740K01QD1,INF740K01QD1,Jamna Auto Industries Ltd,INE039C01032,2421876.0,1096429.0,Consumer Cyclical
INF740K01QD1,INF740K01QD1,IRM Energy Ltd,INE07U701015,807846.0,0.0,Utilities
INF740K01QD1,INF740K01QD1,Concord Biotech Ltd,INE338H01029,6464.0,6464.0,Healthcare
