fund_id,fund_name,security_name,isin,number_of_shares,share_change,sector
INF761K01EP7,INF761K01EP7,CreditAccess Grameen Ltd Ordinary Shares,INE741K01010,428000.0,35000.0,Financial Services
INF761K01EP7,INF761K01EP7,Quality Power Electrical Equipments Ltd,INE0SII01026,727000.0,-18000.0,Industrials
INF761K01EP7,INF761K01EP7,Lloyds Metals & Energy Ltd,INE281B01032,425000.0,0.0,Basic Materials
INF761K01EP7,INF761K01EP7,Acutaas Chemicals Ltd,INE00FF01025,375142.0,0.0,Basic Materials
INF761K01EP7,INF761K01EP7,Eris Lifesciences Ltd Registered Shs,INE406M01024,270100.0,0.0,Healthcare
INF761K01EP7,INF761K01EP7,Kaynes Technology India Ltd,INE918Z01012,75000.0,0.0,Industrials
INF761K01EP7,INF761K01EP7,Syrma SGS Technology Ltd,INE0DYJ01015,584209.0,0.0,Technology
INF761K01EP7,INF761K01EP7,Siemens Energy India Ltd,INE1NPP01017,126430.0,0.0,Utilities
INF761K01EP7,INF761K01EP7,Housing & Urban Development Corp Ltd,INE031A01017,2000000.0,0.0,Financial Services
INF761K01EP7,INF761K01EP7,Ambuja Cements Ltd,INE079A01024,717000.0,0.0,Basic Materials
INF761K01EP7,INF761K01EP7,Sky Gold and Diamonds Ltd,INE01IU01018,1340080.0,0.0,Consumer Cyclical
INF761K01EP7,INF761K01EP7,NTPC Green Energy Ltd,INE0ONG01011,3711496.0,0.0,Utilities
INF761K01EP7,INF761K01EP7,Vijaya Diagnostic Centre Ltd,INE043W01024,366187.0,0.0,Healthcare
INF761K01EP7,INF761K01EP7,Radico Khaitan Ltd,INE944F01028,124000.0,0.0,Consumer Defensive
INF761K01EP7,INF761K01EP7,Prudent Corporate Advisory Services Ltd,INE00F201020,122000.0,0.0,Financial Services
INF761K01EP7,INF761K01EP7,Shakti Pumps (India) Ltd,INE908D01010,422224.0,0.0,Industrials
INF761K01EP7,INF761K01EP7,TD Power Systems Ltd,INE419M01027,650000.0,0.0,Industrials
INF761K01EP7,INF761K01EP7,Wockhardt Ltd,INE049B01025,215000.0,50000.0,Healthcare
INF761K01EP7,INF761K01EP7,Hitachi Energy India Ltd Ordinary Shares,INE07Y701011,16000.0,0.0,Industrials
INF761K01EP7,INF761K01EP7,Cholamandalam Financial Holdings Ltd,INE149A01033,169802.0,0.0,Financial Services
INF761K01EP7,INF761K01EP7,Computer Age Management Services Ltd Ordinary Shares,INE596I01012,79000.0,0.0,Technology
INF761K01EP7,INF761K01EP7,Indian Bank,INE562A01011,433000.0,0.0,Financial Services
INF761K01EP7,INF761K01EP7,Zaggle Prepaid Ocean Services Ltd,INE07K301024,702001.0,0.0,Technology
INF761K01EP7,INF761K01EP7,Sanathan Textiles Ltd,INE0JPD01013,522642.0,110000.0,Consumer Cyclical
INF761K01EP7,INF761K01EP7,Apar Industries Ltd,INE372A01015,34000.0,0.0,Industrials
INF761K01EP7,INF761K01EP7,Central Depository Services (India) Ltd,INE736A01011,179000.0,0.0,Financial Services
INF761K01EP7,INF761K01EP7,Carraro India Ltd,INE0V7W01012,608763.0,0.0,Consumer Cyclical
INF761K01EP7,INF761K01EP7,CarTrade Tech Ltd,INE290S01011,102000.0,0.0,Consumer Cyclical
INF761K01EP7,INF761K01EP7,Vikran Engnrg,INE01R501028,2386500.0,2386500.0,
INF761K01EP7,INF761K01EP7,Arvind Ltd,INE034A01011,785000.0,0.0,Consumer Cyclical
INF761K01EP7,INF761K01EP7,Nuvama Wealth Management Ltd,INE531F01015,34000.0,0.0,Financial Services
INF761K01EP7,INF761K01EP7,Tips Music Ltd,INE716B01029,364000.0,0.0,Communication Services
INF761K01EP7,INF761K01EP7,Tinna Rubber & Infrastructure Ltd,INE015C01016,254000.0,0.0,Basic Materials
INF761K01EP7,INF761K01EP7,Ganesha Ecosphere Ltd,INE845D01014,152000.0,0.0,Consumer Cyclical
INF761K01EP7,INF761K01EP7,Schneider Electric Infrastructure Ltd,INE839M01018,235000.0,0.0,Industrials
INF761K01EP7,INF761K01EP7,Aditya Birla Real Estate Ltd,INE055A01016,115029.0,0.0,Basic Materials
INF761K01EP7,INF761K01EP7,Clean Science and Technology Ltd,INE227W01023,171000.0,171000.0,Basic Materials
INF761K01EP7,INF761K01EP7,HEG Ltd,INE545A01024,420580.0,0.0,Industrials
INF761K01EP7,INF761K01EP7,Balrampur Chini Mills Ltd,INE119A01028,361100.0,0.0,Consumer Defensive
INF761K01EP7,INF761K01EP7,CMS Info Systems Ltd,INE925R01014,466000.0,0.0,Industrials
INF761K01EP7,INF761K01EP7,Steel Authority Of India Ltd,INE114A01011,1600000.0,0.0,Basic Materials
INF761K01EP7,INF761K01EP7,Krishna Institute of Medical Sciences Ltd,INE967H01025,262000.0,0.0,Healthcare
INF761K01EP7,INF761K01EP7,Manorama Industries Ltd,INE00VM01036,136300.0,0.0,Consumer Defensive
INF761K01EP7,INF761K01EP7,Latent View Analytics Ltd,INE0I7C01011,442000.0,0.0,Industrials
INF761K01EP7,INF761K01EP7,Unicommerce eSolutions Ltd,INE00U401027,1402666.0,0.0,Technology
INF761K01EP7,INF761K01EP7,PG Electroplast Ltd,INE457L01029,340000.0,-100000.0,Technology
INF761K01EP7,INF761K01EP7,Shreeji Shipping Global Ltd,INE1B6101010,714328.0,714328.0,Industrials
INF761K01EP7,INF761K01EP7,Senco Gold Ltd,INE602W01027,441480.0,0.0,Consumer Cyclical
INF761K01EP7,INF761K01EP7,Godavari Biorefineries Ltd,INE497S01012,647000.0,0.0,Basic Materials
INF761K01EP7,INF761K01EP7,E I D Parry India Ltd,INE126A01031,140000.0,-17713.0,Basic Materials
INF761K01EP7,INF761K01EP7,Galaxy Surfactants Ltd,INE600K01018,68539.0,-72.0,Basic Materials
INF761K01EP7,INF761K01EP7,Laxmi Dental Ltd,INE0WO601020,452690.0,0.0,Healthcare
INF761K01EP7,INF761K01EP7,Castrol India Ltd,INE172A01027,762500.0,-109469.0,Energy
INF761K01EP7,INF761K01EP7,Poly Medicure Ltd,INE205C01021,70000.0,-26500.0,Healthcare
INF761K01EP7,INF761K01EP7,Vinati Organics Ltd,INE410B01037,83023.0,0.0,Basic Materials
INF761K01EP7,INF761K01EP7,KSB Ltd,INE999A01023,170000.0,0.0,Industrials
INF761K01EP7,INF761K01EP7,Gufic Biosciences Ltd,INE742B01025,348463.0,0.0,Healthcare
INF761K01EP7,INF761K01EP7,Mrs Bectors Food Specialities Ltd Ordinary Shares,INE495P01012,92655.0,0.0,Consumer Defensive
INF761K01EP7,INF761K01EP7,Advanced Enzyme Technologies Ltd,INE837H01020,360000.0,0.0,Basic Materials
INF761K01EP7,INF761K01EP7,Ethos Ltd,INE04TZ01018,51240.0,0.0,Consumer Cyclical
INF761K01EP7,INF761K01EP7,Titagarh Rail Systems Ltd,INE615H01020,140000.0,0.0,Industrials
INF761K01EP7,INF761K01EP7,Cohance Lifesciences Ltd,INE03QK01018,121000.0,61000.0,Healthcare
INF761K01EP7,INF761K01EP7,Capri Global Capital Ltd,INE180C01042,525398.0,-74602.0,Financial Services
INF761K01EP7,INF761K01EP7,Rane Holdings Ltd,INE384A01010,58098.0,0.0,Consumer Cyclical
INF761K01EP7,INF761K01EP7,Sanstar Ltd,INE08NE01025,1068006.0,-30994.0,Basic Materials
INF761K01EP7,INF761K01EP7,Sterling and Wilson Renewable Energy Ltd,INE00M201021,325000.0,0.0,Technology
INF761K01EP7,INF761K01EP7,FIEM Industries Ltd,INE737H01014,40214.0,35884.0,Consumer Cyclical
INF761K01EP7,INF761K01EP7,Kernex Microsystems (India) Ltd,INE202H01019,79502.0,-94822.0,Technology
INF761K01EP7,INF761K01EP7,Stylam Industries Ltd,INE239C01020,47741.0,0.0,Consumer Cyclical
INF761K01EP7,INF761K01EP7,Jupiter Wagons Ltd,INE209L01016,253000.0,0.0,Industrials
INF761K01EP7,INF761K01EP7,TeamLease Services Ltd,INE985S01024,44000.0,0.0,Industrials
INF761K01EP7,INF761K01EP7,Hi-Tech Pipes Ltd,INE106T01025,900000.0,-219434.0,Basic Materials
INF761K01EP7,INF761K01EP7,PCBL Chemical Ltd,INE602A01031,200000.0,0.0,Basic Materials
INF761K01EP7,INF761K01EP7,PNB Housing Finance Ltd,INE572E01012,96728.0,-274272.0,Financial Services
INF761K01EP7,INF761K01EP7,Steelcast Ltd,INE124E01038,200000.0,0.0,Basic Materials
