fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF917K01QA1,INF917K01QA1,Aditya Birla Real Estate Ltd,INE055A01016,1595574.0,0.0,2.1639,Basic Materials
INF917K01QA1,INF917K01QA1,Techno Electric & Engineering Co Ltd,INE285K01026,2414100.0,129138.0,2.11902,Industrials
INF917K01QA1,INF917K01QA1,K.P.R. Mill Ltd,INE930H01031,2972250.0,-545950.0,2.08467,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Nippon Life India Asset Management Ltd Ordinary Shares,INE298J01013,4446300.0,0.0,2.05121,Financial Services
INF917K01QA1,INF917K01QA1,Multi Commodity Exchange of India Ltd,INE745G01035,479200.0,24050.0,1.96976,Financial Services
INF917K01QA1,INF917K01QA1,The Federal Bank Ltd,INE171A01029,15544000.0,0.0,1.95553,Financial Services
INF917K01QA1,INF917K01QA1,Jyoti CNC Automation Ltd,INE980O01024,2317401.0,0.0,1.86936,Industrials
INF917K01QA1,INF917K01QA1,PNB Housing Finance Ltd,INE572E01012,2566200.0,0.0,1.6695,Financial Services
INF917K01QA1,INF917K01QA1,Neuland Laboratories Ltd,INE794A01010,231110.0,-30267.0,1.6552,Healthcare
INF917K01QA1,INF917K01QA1,Karur Vysya Bank Ltd,INE036D01028,11912400.0,0.0,1.64425,Financial Services
INF917K01QA1,INF917K01QA1,KFin Technologies Ltd,INE138Y01010,2429736.0,0.0,1.63185,Technology
INF917K01QA1,INF917K01QA1,Kirloskar Pneumatic Co Ltd,INE811A01020,2086992.0,0.0,1.62919,Industrials
INF917K01QA1,INF917K01QA1,Time Technoplast Ltd,INE508G01029,6810500.0,0.0,1.60264,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Supreme Petrochem Ltd,INE663A01033,3565768.0,0.0,1.58638,Basic Materials
INF917K01QA1,INF917K01QA1,GE Vernova T&D India Ltd,INE200A01026,1112500.0,0.0,1.55253,Industrials
INF917K01QA1,INF917K01QA1,Engineers India Ltd,INE510A01028,10634800.0,0.0,1.51948,Industrials
INF917K01QA1,INF917K01QA1,Ratnamani Metals & Tubes Ltd,INE703B01027,842458.0,0.0,1.48914,Basic Materials
INF917K01QA1,INF917K01QA1,Sumitomo Chemical India Ltd Ordinary Shares,INE258G01013,4672221.0,0.0,1.47414,Basic Materials
INF917K01QA1,INF917K01QA1,Radico Khaitan Ltd,INE944F01028,913103.0,0.0,1.43993,Consumer Defensive
INF917K01QA1,INF917K01QA1,Amber Enterprises India Ltd Ordinary Shares,INE371P01015,356138.0,0.0,1.43941,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Brigade Enterprises Ltd,INE791I01019,2099622.0,-400000.0,1.43067,Real Estate
INF917K01QA1,INF917K01QA1,Gokaldas Exports Ltd,INE887G01027,2276000.0,0.0,1.40411,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Sobha Ltd,INE671H01015,1527924.0,0.0,1.36323,Real Estate
INF917K01QA1,INF917K01QA1,E I D Parry India Ltd,INE126A01031,2259450.0,0.0,1.33665,Basic Materials
INF917K01QA1,INF917K01QA1,Apar Industries Ltd,INE372A01015,244800.0,-38750.0,1.23671,Industrials
INF917K01QA1,INF917K01QA1,Dixon Technologies (India) Ltd,INE935N01020,132400.0,0.0,1.21113,Technology
INF917K01QA1,INF917K01QA1,Wockhardt Ltd,INE049B01025,1325150.0,0.0,1.20896,Healthcare
INF917K01QA1,INF917K01QA1,KEI Industries Ltd,INE878B01027,537700.0,-45515.0,1.20863,Industrials
INF917K01QA1,INF917K01QA1,Housing & Urban Development Corp Ltd,INE031A01017,8043000.0,0.0,1.20806,Financial Services
INF917K01QA1,INF917K01QA1,Kaynes Technology India Ltd,INE918Z01012,322000.0,127989.0,1.19889,Industrials
INF917K01QA1,INF917K01QA1,eClerx Services Ltd,INE738I01010,543267.0,78627.0,1.19811,Technology
INF917K01QA1,INF917K01QA1,Balrampur Chini Mills Ltd,INE119A01028,3164500.0,0.0,1.16305,Consumer Defensive
INF917K01QA1,INF917K01QA1,Finolex Cables Ltd,INE235A01022,1903645.0,0.0,1.15419,Industrials
INF917K01QA1,INF917K01QA1,Trent Ltd,INE849A01020,325600.0,0.0,1.14408,Consumer Cyclical
INF917K01QA1,INF917K01QA1,KEC International Ltd,INE389H01022,2200957.0,0.0,1.14068,Industrials
INF917K01QA1,INF917K01QA1,Cohance Lifesciences Ltd,INE03QK01018,1747867.0,-550218.0,1.14016,Healthcare
INF917K01QA1,INF917K01QA1,CCL Products (India) Ltd,INE421D01022,2056100.0,598520.0,1.13186,Consumer Defensive
INF917K01QA1,INF917K01QA1,Cholamandalam Financial Holdings Ltd,INE149A01033,961643.0,0.0,1.11736,Financial Services
INF917K01QA1,INF917K01QA1,KPIT Technologies Ltd,INE04I401011,1335400.0,0.0,1.11231,Technology
INF917K01QA1,INF917K01QA1,Motilal Oswal Financial Services Ltd,INE338I01027,2205734.0,2205734.0,1.11226,Financial Services
INF917K01QA1,INF917K01QA1,Firstsource Solutions Ltd,INE684F01012,4407721.0,0.0,1.01938,Technology
INF917K01QA1,INF917K01QA1,H.G. Infra Engineering Ltd Ordinary Shares,INE926X01010,1460487.0,-110069.0,1.01826,Industrials
INF917K01QA1,INF917K01QA1,Tube Investments of India Ltd Ordinary Shares,INE974X01010,534049.0,0.0,1.01817,Industrials
INF917K01QA1,INF917K01QA1,Polycab India Ltd,INE455K01017,272724.0,0.0,1.01729,Industrials
INF917K01QA1,INF917K01QA1,Devyani International Ltd,INE872J01023,9588600.0,4948328.0,1.00052,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Persistent Systems Ltd,INE262H01021,284600.0,0.0,0.99904,Technology
INF917K01QA1,INF917K01QA1,Oberoi Realty Ltd,INE093I01010,911600.0,0.0,0.99116,Real Estate
INF917K01QA1,INF917K01QA1,Cera Sanitaryware Ltd,INE739E01017,248600.0,49968.0,0.98473,Industrials
INF917K01QA1,INF917K01QA1,Lemon Tree Hotels Ltd,INE970X01018,11316400.0,0.0,0.98169,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Kajaria Ceramics Ltd,INE217B01036,1506700.0,0.0,0.97539,Industrials
INF917K01QA1,INF917K01QA1,EIH Ltd,INE230A01023,4140594.0,0.0,0.95283,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Concord Biotech Ltd,INE338H01029,853962.0,0.0,0.92966,Healthcare
INF917K01QA1,INF917K01QA1,BSE Ltd,INE118H01025,558000.0,-164100.0,0.929,Financial Services
INF917K01QA1,INF917K01QA1,Blue Star Ltd,INE472A01039,971901.0,0.0,0.92723,Industrials
INF917K01QA1,INF917K01QA1,IIFL Finance Ltd,INE530B01024,3399982.0,0.0,0.92265,Financial Services
INF917K01QA1,INF917K01QA1,Titagarh Rail Systems Ltd,INE615H01020,1630400.0,812500.0,0.90508,Industrials
INF917K01QA1,INF917K01QA1,Suzlon Energy Ltd,INE040H01021,20324400.0,0.0,0.90453,Industrials
INF917K01QA1,INF917K01QA1,Aegis Logistics Ltd,INE208C01025,1816302.0,0.0,0.90118,Energy
INF917K01QA1,INF917K01QA1,Vijaya Diagnostic Centre Ltd,INE043W01024,1481600.0,0.0,0.88216,Healthcare
INF917K01QA1,INF917K01QA1,PG Electroplast Ltd,INE457L01029,1739400.0,211700.0,0.83547,Technology
INF917K01QA1,INF917K01QA1,Prudent Corporate Advisory Services Ltd,INE00F201020,449520.0,0.0,0.8264,Financial Services
INF917K01QA1,INF917K01QA1,Finolex Industries Ltd,INE183A01024,5984579.0,0.0,0.81289,Industrials
INF917K01QA1,INF917K01QA1,Grindwell Norton Ltd,INE536A01023,693822.0,0.0,0.77611,Industrials
INF917K01QA1,INF917K01QA1,Welspun Living Ltd,INE192B01031,9365151.0,0.0,0.77353,Consumer Cyclical
INF917K01QA1,INF917K01QA1,PTC Industries Ltd,INE596F01018,80656.0,0.0,0.76828,Industrials
INF917K01QA1,INF917K01QA1,Vinati Organics Ltd,INE410B01037,588200.0,289603.0,0.6751,Basic Materials
INF917K01QA1,INF917K01QA1,Jindal Saw Ltd,INE324A01032,5064383.0,0.0,0.66816,Basic Materials
INF917K01QA1,INF917K01QA1,Sundaram Finance Ltd,INE660A01013,207891.0,0.0,0.66485,Financial Services
INF917K01QA1,INF917K01QA1,Sharda Motor Industries Ltd,INE597I01028,556712.0,0.0,0.65975,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Sonata Software Ltd,INE269A01021,2533800.0,-1450918.0,0.64531,Technology
INF917K01QA1,INF917K01QA1,Carborundum Universal Ltd,INE120A01034,951600.0,0.0,0.58762,Industrials
INF917K01QA1,INF917K01QA1,Bikaji Foods International Ltd,INE00E101023,1200426.0,0.0,0.57207,Consumer Defensive
INF917K01QA1,INF917K01QA1,Supreme Industries Ltd,INE195A01028,217043.0,0.0,0.5603,Industrials
INF917K01QA1,INF917K01QA1,Exide Industries Ltd,INE302A01020,2299800.0,0.0,0.55393,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Ipca Laboratories Ltd,INE571A01038,606800.0,0.0,0.5383,Healthcare
INF917K01QA1,INF917K01QA1,Motherson Sumi Wiring India Ltd,INE0FS801015,13722200.0,0.0,0.49451,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Century Plyboards (India) Ltd,INE348B01021,989226.0,0.0,0.47912,Basic Materials
INF917K01QA1,INF917K01QA1,Maharashtra Seamless Ltd,INE271B01025,1105842.0,0.0,0.47607,Basic Materials
INF917K01QA1,INF917K01QA1,Alkyl Amines Chemicals Ltd,INE150B01039,384857.0,0.0,0.46649,Basic Materials
INF917K01QA1,INF917K01QA1,Sai Life Sciences Ltd,INE570L01029,976747.0,0.0,0.46033,Healthcare
INF917K01QA1,INF917K01QA1,PNC Infratech Ltd,INE195J01029,2529383.0,0.0,0.45977,Industrials
INF917K01QA1,INF917K01QA1,Carraro India Ltd,INE0V7W01012,1587136.0,0.0,0.4516,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Indo Count Industries Ltd,INE483B01026,2471400.0,0.0,0.449,Consumer Cyclical
INF917K01QA1,INF917K01QA1,JK Tyre & Industries Ltd,INE573A01042,1808682.0,0.0,0.42032,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Somany Ceramics Ltd,INE355A01028,1367863.0,0.0,0.40735,Industrials
INF917K01QA1,INF917K01QA1,NCC Ltd,INE868B01028,2747600.0,-3387448.0,0.3955,Industrials
INF917K01QA1,INF917K01QA1,Apollo Pipes Ltd,INE126J01016,1374292.0,0.0,0.39138,Industrials
INF917K01QA1,INF917K01QA1,Rolex Rings Ltd,INE645S01016,386877.0,0.0,0.3861,Industrials
INF917K01QA1,INF917K01QA1,UNO Minda Ltd,INE405E01023,597118.0,0.0,0.37425,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Aster DM Healthcare Ltd Ordinary Shares,INE914M01019,1044400.0,1044400.0,0.36369,Healthcare
INF917K01QA1,INF917K01QA1,Safari Industries (India) Ltd,INE429E01023,238115.0,0.0,0.34213,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Nitin Spinners Ltd,INE229H01012,1305102.0,0.0,0.31662,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Hindustan Foods Ltd,INE254N01026,777029.0,183225.0,0.2649,Industrials
INF917K01QA1,INF917K01QA1,Delhivery Ltd,INE148O01028,1110000.0,1110000.0,0.24742,Industrials
INF917K01QA1,INF917K01QA1,Hi-Tech Pipes Ltd,INE106T01025,4082217.0,0.0,0.24235,Basic Materials
INF917K01QA1,INF917K01QA1,Happy Forgings Ltd,INE330T01021,385125.0,0.0,0.23325,Industrials
