fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF966L01689,INF966L01689,Reliance Industries Ltd,INE002A01018,19555849.0,0.0,9.22914,Energy
INF966L01689,INF966L01689,Jio Financial Services Ltd,INE758E01017,60489693.0,0.0,6.5563,Financial Services
INF966L01689,INF966L01689,RBL Bank Ltd,INE976G01028,37914176.0,0.0,3.44165,Financial Services
INF966L01689,INF966L01689,Aegis Logistics Ltd,INE208C01025,13184087.0,0.0,3.08146,Energy
INF966L01689,INF966L01689,Bikaji Foods International Ltd,INE00E101023,10235789.0,-1018033.0,2.8129,Consumer Defensive
INF966L01689,INF966L01689,Anand Rathi Wealth Ltd,INE463V01026,2575324.0,0.0,2.50198,Financial Services
INF966L01689,INF966L01689,Poly Medicure Ltd,INE205C01021,3298837.0,0.0,2.39217,Healthcare
INF966L01689,INF966L01689,Adani Power Ltd,INE814H01011,11304859.0,0.0,2.36117,Utilities
INF966L01689,INF966L01689,Aster DM Healthcare Ltd Ordinary Shares,INE914M01019,10883943.0,251953.0,2.27477,Healthcare
INF966L01689,INF966L01689,Ventive Hospitality Ltd,INE781S01027,8315686.0,0.0,2.04914,Consumer Cyclical
INF966L01689,INF966L01689,Sun TV Network Ltd,INE424H01027,10312446.0,0.0,1.94896,Communication Services
INF966L01689,INF966L01689,Adani Enterprises Ltd,INE423A01024,2468292.0,0.0,1.92662,Energy
INF966L01689,INF966L01689,HFCL Ltd,INE548A01028,75584924.0,0.0,1.84586,Technology
INF966L01689,INF966L01689,Capri Global Capital Ltd,INE180C01042,28450736.0,0.0,1.83379,Financial Services
INF966L01689,INF966L01689,Bayer CropScience Ltd,INE462A01022,986394.0,0.0,1.79439,Basic Materials
INF966L01689,INF966L01689,Piramal Enterprises Ltd,INE140A01024,4335570.0,0.0,1.68882,Financial Services
INF966L01689,INF966L01689,Pfizer Ltd,INE182A01018,875027.0,0.0,1.56883,Healthcare
