,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes
PVR INOX Ltd,0.0,1,4101954.0,0.0,False,False,
Vardhman Textiles Ltd,0.0,1,9392211.0,0.0,False,False,
Ion Exchange (India) Ltd,0.0,1,3805736.0,0.0,False,False,
Sudarshan Chemical Industries Ltd,1.0,1,5789852.0,0.39312107477137875,False,False,True
City Union Bank Ltd,1.0,1,20005638.0,1.0098134682659554,False,False,True
Home First Finance Co India Ltd ---,0.0,1,4751657.0,0.0,False,False,
Delta Corp Ltd,-1.0,1,2000000.0,-33.33333333333333,False,False,True
Insecticides (India) Ltd,0.0,1,2636351.0,0.0,False,False,
Chalet Hotels Ltd,1.0,1,5945956.0,2.6269128557125003,False,False,True
Blue Dart Express Ltd,0.0,1,657595.0,0.0,False,False,
Bajaj Electricals Ltd,0.0,1,6635036.0,0.0,False,False,
Vishal Mega Mart Ltd,0.0,1,19136949.0,0.0,False,False,
Repco Home Finance Ltd,-1.0,1,0.0,-100.0,False,True,True
Indigo Paints Ltd Ordinary Shares,1.0,1,2199907.0,6.331897147574613,False,False,True
Pearl Global Industries Ltd,1.0,1,2654481.0,7.547938079170759,False,False,True
Goodyear India Ltd,1.0,1,1253916.0,18.976844454396748,False,False,True
Gujarat Pipavav Port Ltd,0.0,1,8800000.0,0.0,False,False,
Equitas Small Finance Bank Ltd Ordinary Shares,0.0,1,66023564.0,0.0,False,False,
Dodla Dairy Ltd,1.0,1,2259678.0,8.88387758937219,False,False,True
Sonata Software Ltd,1.0,1,19154113.0,0.9999324526729731,False,False,True
Bajel Projects Ltd,-1.0,1,0.0,-100.0,False,True,True
La Opala RG Ltd,0.0,1,9444822.0,0.0,False,False,
Aster DM Healthcare Ltd Ordinary Shares,0.0,1,24127134.0,0.0,False,False,
Bank of Baroda,0.0,1,46828792.0,0.0,False,False,
KEI Industries Ltd,0.0,1,1007856.0,0.0,False,False,
Tata Steel Ltd,0.0,1,15443425.0,0.0,False,False,
Lumax Industries Ltd,1.0,1,432935.0,3.9469766816488034,False,False,True
IFGL Refractories Ltd,0.0,1,6549367.0,0.0,False,False,
Aditya Vision Ltd,1.0,1,8994037.0,1.1243488193269267,False,False,True
Akzo Nobel India Ltd,0.0,1,203045.0,0.0,False,False,
CIE Automotive India Ltd,0.0,1,9578101.0,0.0,False,False,
Timken India Ltd,1.0,1,1365997.0,15.888363459283731,False,False,True
Firstsource Solutions Ltd,1.0,1,54911834.0,0.5493314873842179,False,False,True
JK Tyre & Industries Ltd,1.0,1,2973016.0,0.0,True,False,True
Shoppers Stop Ltd,1.0,1,5599871.0,2.6018410858749554,False,False,True
Emami Ltd,0.0,1,3365892.0,0.0,False,False,
Voltamp Transformers Ltd,0.0,1,385000.0,0.0,False,False,
TCPL Packaging Ltd,0.0,1,47201.0,0.0,False,False,
L.G.Balakrishnan & Bros Ltd,0.0,1,2836501.0,0.0,False,False,
The Anup Engineering Ltd,0.0,1,1221503.0,0.0,False,False,
Godrej Consumer Products Ltd,1.0,1,2058752.0,0.0,True,False,True
Redington Ltd,0.0,1,13566331.0,0.0,False,False,
G R Infraprojects Ltd,0.0,1,1497051.0,0.0,False,False,
D B Corp Ltd,0.0,1,4922150.0,0.0,False,False,
VRL Logistics Ltd,1.0,1,14295612.0,0.2488336710582121,False,False,True
Power Mech Projects Ltd,-1.0,1,2367936.0,-1.0447416897067034,False,False,True
Zensar Technologies Ltd,1.0,1,5243552.0,3.9350013775933936,False,False,True
Awfis Space Solutions Ltd,1.0,1,6314340.0,26.49034826843356,False,False,True
Sharda Cropchem Ltd,0.0,1,5406610.0,0.0,False,False,
Apar Industries Ltd,0.0,1,505371.0,0.0,False,False,
SKF India Ltd,0.0,1,1108471.0,0.0,False,False,
FIEM Industries Ltd,1.0,1,1663173.0,14.910247366424686,False,False,True
Great Eastern Shipping Co Ltd,0.0,1,5229582.0,0.0,False,False,
The Federal Bank Ltd,0.0,1,20759451.0,0.0,False,False,
Aadhar Housing Finance Ltd,0.0,1,4733174.0,0.0,False,False,
KEC International Ltd,0.0,1,4959256.0,0.0,False,False,
Kalpataru Projects International Ltd,0.0,1,4636042.0,0.0,False,False,
GNA Axles Ltd,0.0,1,3277102.0,0.0,False,False,
Chambal Fertilisers & Chemicals Ltd,0.0,1,8577755.0,0.0,False,False,
eClerx Services Ltd,-1.0,1,3683761.0,-2.2637336455578185,False,False,True
Carborundum Universal Ltd,0.0,1,652537.0,0.0,False,False,
Krishna Institute of Medical Sciences Ltd,0.0,1,11127166.0,0.0,False,False,
Kirloskar Ferrous Industries Ltd,0.0,1,7899475.0,0.0,False,False,
Jagran Prakashan Ltd,0.0,1,2348332.0,0.0,False,False,
TCI Express Ltd,0.0,1,1140052.0,0.0,False,False,
BEML Ltd,0.0,1,203239.0,0.0,False,False,
Vesuvius India Ltd,0.0,1,3935770.0,0.0,False,False,
PNC Infratech Ltd,0.0,1,13086529.0,0.0,False,False,
Sula Vineyards Ltd,0.0,1,6005600.0,0.0,False,False,
Transport Corp of India Ltd,1.0,1,4681334.0,0.8888620694857211,False,False,True
Suprajit Engineering Ltd,1.0,1,11840566.0,3.49633051371759,False,False,True
T.V. Today Network Ltd,-1.0,1,4670754.0,-3.3375248136184754,False,False,True
Fortis Healthcare Ltd,0.0,1,10073132.0,0.0,False,False,
Indian Bank,0.0,1,9688128.0,0.0,False,False,
Bajaj Consumer Care Ltd,-1.0,1,8026417.0,-7.949784892828313,False,False,True
NRB Bearings Ltd,0.0,1,8748982.0,0.0,False,False,
Unichem Laboratories Ltd,0.0,1,5458645.0,0.0,False,False,
Greenlam Industries Ltd,0.0,1,3555042.0,0.0,False,False,
UTI Asset Management Co Ltd,0.0,1,1672559.0,0.0,False,False,
Eris Lifesciences Ltd Registered Shs,1.0,1,6336543.0,4.255054850965561,False,False,True
Gateway Distriparks Ltd,0.0,1,33756481.0,0.0,False,False,
GMM Pfaudler Ltd,0.0,1,1924361.0,0.0,False,False,
Redtape Ltd,0.0,1,22396179.0,0.0,False,False,
Gabriel India Ltd,-1.0,1,9875000.0,-9.736485380966876,False,False,True
