,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes
Lumax Auto Technologies Ltd,-2.0,1,301040.0,-2.1113181349643777,False,False,True
Aditya Infotech Ltd,-1.0,1,0.0,0.0,False,True,True
Sagility Ltd,1.0,1,8537703.0,0.0,False,False,True
Cholamandalam Financial Holdings Ltd,1.0,1,1414592.0,0.4259572679668776,False,False,True
Triveni Engineering & Industries Ltd,0.0,1,1020656.0,0.0,False,False,
Usha Martin Ltd,2.0,1,1230714.0,99.90546546078278,True,False,True
Signatureglobal (India) Ltd,0.0,1,728063.0,0.0,False,False,
Grasim Industries Ltd,1.0,1,300598.0,0.0,False,False,True
Apeejay Surrendra Park Hotels Ltd,2.0,1,3673980.0,2.083923778403881,False,False,True
Max Estates Ltd,2.0,1,1237863.0,293.5395776770329,False,False,True
Pennar Industries Ltd,2.0,1,1776136.0,64.33500308104537,False,False,True
Finolex Cables Ltd,1.0,1,17.0,0.0,True,False,True
Bajel Projects Ltd,2.0,1,140481.0,21.648582883764426,True,False,True
Metropolis Healthcare Ltd,2.0,1,142995.0,12.280632876604766,False,False,True
Keystone Realtors Ltd,1.0,1,600616.0,0.0,False,False,True
Redington Ltd,0.0,1,785488.0,178.22119897281502,False,False,True
Radico Khaitan Ltd,-1.0,1,0.0,0.0,False,True,True
Nuvama Wealth Management Ltd,0.0,1,552455.0,400.0,False,False,True
Jindal Saw Ltd,1.0,1,1157896.0,24.379496808595203,False,False,True
Eternal Ltd,2.0,1,2190528.0,4.28463700555289,False,False,True
LIC Housing Finance Ltd,1.0,1,750202.0,0.0,True,False,True
JK Tyre & Industries Ltd,-1.0,1,449667.0,-32.25753966998549,False,False,True
Electronics Mart India Ltd,2.0,1,4913832.0,18.404705892558393,False,False,True
Skipper Ltd,1.0,1,490241.0,0.0,True,False,True
Satin Creditcare Network Ltd,0.0,1,1543801.0,0.0,False,False,
JSW Energy Ltd,0.0,0,0.0,0.0,False,False,
Saatvik Green Energy Ltd,2.0,1,3457056.0,51.40353666275572,False,False,True
Ramco Cements Ltd,0.0,1,284448.0,-3.4493058619870336,False,False,True
Juniper Hotels Ltd,2.0,1,2987237.0,9.133297555162377,False,False,True
Vikram Solar Ltd,2.0,1,2372829.0,120.34293514597726,False,False,True
P N Gadgil Jewellers Ltd,2.0,1,1963830.0,12.9362280635166,False,False,True
Blackbuck Ltd,1.0,1,250703.0,0.0,False,False,True
Dam Capital Advisors Ltd,0.0,1,172927.0,0.0,False,False,
JK Lakshmi Cement Ltd,0.0,1,340322.0,0.0,False,False,
Tata Communications Ltd,0.0,1,590136.0,0.0,False,False,
Jubilant Ingrevia Ltd Ordinary Shares,0.0,1,1391916.0,0.0,False,False,
NLC India Ltd,0.0,1,1821422.0,0.0,False,False,
E2E Networks Ltd Ordinary Shares,2.0,1,316000.0,0.9584664536741214,False,False,True
Medplus Health Services Ltd,1.0,1,424694.0,0.0,False,False,True
Vintage Coffee & Beverages Ltd,0.0,1,6026993.0,0.0,False,False,
Digitide Solutions Ltd,0.0,1,888303.0,0.0,False,False,
Finbud Financial Services Ltd,1.0,1,435000.0,0.0,True,False,True
REC Ltd,2.0,1,18136186.0,26.17841260891786,False,False,True
MOIL Ltd,0.0,1,277970.0,0.0,False,False,
GMM Pfaudler Ltd,2.0,1,324176.0,4.851605557999327,False,False,True
Samvardhana Motherson International Ltd,1.0,1,4319150.0,0.0,False,False,True
Arvind Fashions Ltd,2.0,1,262234.0,9.596609716138955,False,False,True
Amber Enterprises India Limited January 2026 Future,2.0,1,12000.0,33.33333333333333,True,False,True
Jyoti CNC Automation Ltd,0.0,1,121424.0,0.0,False,False,
Spicejet Ltd,0.0,1,15028063.0,0.0,False,False,
Piramal Pharma Ltd,2.0,1,9776924.0,23.649719892064603,False,False,True
Vidya Wires Ltd,1.0,1,7208987.0,0.0,True,False,True
Power Finance Corp Ltd,2.0,1,4516755.0,0.6686346814122902,False,False,True
Orient Electric Ltd Ordinary Shares,2.0,1,214025.0,9.334770525971638,False,False,True
