,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes
Karur Vysya Bank Ltd,0.0,1,9679612.0,0.0,False,False,
Anand Rathi Wealth Ltd,0.0,1,398771.0,0.0,False,False,
Hexaware Technologies Ltd Ordinary Shares,0.0,1,1169011.0,0.0,False,False,
Aditya Infotech Ltd,1.0,1,1670579.0,0.0,False,False,True
360 One Wam Ltd Ordinary Shares,-2.0,1,0.0,-100.0,False,True,True
InterGlobe Aviation Ltd,1.0,1,729805.0,79.36086234184992,False,False,True
Cholamandalam Financial Holdings Ltd,0.0,1,1083146.0,0.0,False,False,
Wework India Management Ltd,1.0,1,3084419.0,0.0,True,False,True
Ratnamani Metals & Tubes Ltd,-1.0,1,0.0,0.0,False,True,True
Entero Healthcare Solutions Ltd,-1.0,1,0.0,0.0,False,True,True
Swiggy Ltd,2.0,1,12041777.0,16.59924951762243,False,False,True
Mrs Bectors Food Specialities Ltd Ordinary Shares,1.0,1,4049895.0,400.0,False,False,True
Timken India Ltd,1.0,1,199703.0,0.0,True,False,True
Corona Remedies Ltd,1.0,1,1255187.0,0.0,True,False,True
Max Estates Ltd,0.0,1,649828.0,0.0,False,False,
Orchid Pharma Ltd,0.0,1,455183.0,0.0,False,False,
Innova Captab Ltd,0.0,1,630001.0,0.0,False,False,
Delhivery Ltd,0.0,1,4616475.0,0.0,False,False,
Central Depository Services (India) Ltd,0.0,1,613999.0,0.0,False,False,
Aether Industries Ltd,0.0,1,303495.0,0.0,False,False,
Triveni Turbine Ltd,0.0,1,1795430.0,0.0,False,False,
Afcons Infrastructure Ltd,0.0,1,1819587.0,0.0,False,False,
Cohance Lifesciences Ltd,0.0,0,0.0,0.0,False,False,
Trualt Bioenergy Ltd,1.0,1,749030.0,0.0,False,False,True
Eternal Ltd,1.0,1,7197907.0,0.0,False,False,True
SBFC Finance Ltd,1.0,1,11095450.0,0.0,False,False,True
L&T Finance Ltd,0.0,1,7445366.0,0.0,False,False,
Sai Life Sciences Ltd,0.0,1,4942410.0,0.0,False,False,
Phoenix Mills Ltd,0.0,1,406953.0,0.0,False,False,
AU Small Finance Bank Ltd,2.0,1,1819482.0,11.129352914769449,True,False,True
Apollo Hospitals Enterprise Ltd,0.0,1,151411.0,0.0,False,False,
Krishna Institute of Medical Sciences Ltd,1.0,1,6323046.0,0.0,False,False,True
Seamec Ltd,0.0,0,0.0,0.0,False,False,
Nippon Life India Asset Management Ltd Ordinary Shares,0.0,1,155710.0,0.0,False,False,
CreditAccess Grameen Ltd Ordinary Shares,0.0,1,646256.0,0.0,False,False,
Laxmi Dental Ltd,0.0,0,0.0,0.0,False,False,
Dr Agarwal’s Health Care Ltd,0.0,1,2523382.0,0.0,False,False,
Rolex Rings Ltd,-1.0,1,0.0,0.0,False,True,True
JK Lakshmi Cement Ltd,0.0,1,2905698.0,0.0,False,False,
Concord Biotech Ltd,-1.0,1,128144.0,-61.19118212681675,False,False,True
Amber Enterprises India Ltd Ordinary Shares,2.0,1,598510.0,32.431003161917154,False,False,True
Ather Energy Ltd,0.0,1,2689536.0,0.0,False,False,
Angel One Ltd Ordinary Shares,0.0,1,408233.0,0.0,False,False,
Ethos Ltd,0.0,1,377591.0,0.0,False,False,
The Federal Bank Ltd,2.0,1,8442053.0,12.554268562504891,False,False,True
Global Health Ltd,1.0,1,1738766.0,0.0,False,False,True
Home First Finance Co India Ltd ---,0.0,1,672339.0,0.0,False,False,
J.B. Chemicals & Pharmaceuticals Ltd,-1.0,1,0.0,0.0,False,True,True
Five-Star Business Finance Ltd,0.0,0,0.0,0.0,False,False,
Aditya Birla Real Estate Ltd,0.0,1,1043423.0,0.0,False,False,
Leela Palaces Hotels and Resorts Ltd,0.0,1,2759482.0,0.0,False,False,
Safari Industries (India) Ltd,0.0,1,430728.0,0.0,False,False,
BEML Ltd,1.0,1,609984.0,0.0,False,False,True
Birlasoft Ltd,-1.0,1,0.0,0.0,False,True,True
Jyoti CNC Automation Ltd,0.0,1,1222324.0,0.0,False,False,
Vishal Mega Mart Ltd,-1.0,1,47017.0,0.0,False,False,True
KSB Ltd,0.0,1,7953.0,0.0,False,False,
BSE Ltd,0.0,1,916044.0,0.0,False,False,
Carborundum Universal Ltd,0.0,1,764221.0,0.0,False,False,
Brainbees Solutions Ltd,0.0,1,104542.0,0.0,False,False,
Awfis Space Solutions Ltd,-1.0,1,0.0,0.0,False,True,True
Trent Ltd,1.0,1,377747.0,0.0,False,False,True
Craftsman Automation Ltd,1.0,1,196702.0,0.0,False,False,True
Sonata Software Ltd,0.0,1,4325452.0,0.0,False,False,
Ingersoll-Rand (India) Ltd,0.0,1,95565.0,0.0,False,False,
Multi Commodity Exchange of India Ltd,-1.0,1,265938.0,0.0,False,False,True
Brigade Enterprises Ltd,0.0,1,1812778.0,0.0,False,False,
ZF Commercial Vehicle Control Systems India Ltd,1.0,1,96851.0,0.0,False,False,True
Kirloskar Oil Engines Ltd,0.0,1,770676.0,0.0,False,False,
Wockhardt Ltd,-1.0,1,575064.0,0.0,False,False,True
Kaynes Technology India Ltd,-1.0,1,0.0,0.0,False,True,True
Birla Corp Ltd,0.0,1,261679.0,0.0,False,False,
Apar Industries Ltd,0.0,1,117822.0,0.0,False,False,
Zensar Technologies Ltd,1.0,1,1672012.0,0.0,False,False,True
Go Digit General Insurance Ltd,0.0,1,4384695.0,0.0,False,False,
Neogen Chemicals Ltd,0.0,1,222523.0,0.0,False,False,
