,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes
Karur Vysya Bank Ltd,-1.0,1,9069423.0,-0.6701304732104426,False,False,True
Aegis Vopak Terminals Ltd,2.0,1,4063679.0,8.101869586498967,False,False,True
Aditya Infotech Ltd,2.0,1,63341.0,3.4392096023515966,True,False,True
Sagility Ltd,-1.0,1,10435828.0,-0.028968702688763098,False,False,True
Cholamandalam Financial Holdings Ltd,0.0,1,471111.0,0.0,False,False,
Wework India Management Ltd,0.0,1,1003076.0,0.0,False,False,
MTAR Technologies Ltd,2.0,1,177751.0,8.607268550200411,True,False,True
Chalet Hotels Ltd,1.0,1,1040638.0,13.3266685833268,False,False,True
Sky Gold and Diamonds Ltd,2.0,1,3451218.0,3.673866403437994,False,False,True
V2 Retail Ltd,2.0,1,717283.0,5.057619750656168,False,False,True
CCL Products (India) Ltd,2.0,1,2521084.0,9.44746284401977,False,False,True
KEI Industries Ltd,0.0,1,245992.0,0.0,False,False,
Styrenix Performance Materials Ltd,0.0,1,560458.0,0.0,False,False,
Varroc Engineering Ltd Ordinary Shares,2.0,1,1777664.0,1.521975266902492,False,False,True
Siemens Energy India Ltd,-1.0,1,0.0,-100.0,False,True,True
Central Depository Services (India) Ltd,1.0,1,567768.0,1.3366554877123717,False,False,True
Cholafin_25/11/2025,-1.0,1,0.0,0.0,False,True,True
Triveni Turbine Ltd,0.0,1,1321063.0,0.0,False,False,
Cholamandalam Investment and Finance Co Ltd,2.0,1,471970.0,6.3584778954105206,False,False,True
Rubicon Research Limited,0.0,1,728864.0,0.0,True,True,True
City Union Bank Ltd,2.0,1,3348738.0,11.414694715156646,True,False,True
Thirumalai Chemicals Ltd,0.0,1,3068592.0,247.1454267775327,False,False,True
Bharat Dynamics Ltd Ordinary Shares,1.0,1,766100.0,2.459372672061799,False,False,True
Rossari Biotech Ltd Ordinary Shares,1.0,1,855648.0,0.0,False,False,True
Glenmark Pharmaceuticals Ltd,-1.0,1,0.0,0.0,False,True,True
PG Electroplast Ltd,2.0,1,1450025.0,11.49398596430255,False,False,True
Transformers & Rectifiers (India) Ltd,-1.0,1,2010890.0,0.0,False,False,True
Campus Activewear Ltd,2.0,1,6863705.0,5.385031949281581,False,False,True
KEC International Ltd,0.0,1,1014068.0,0.0,False,False,
Thirumalai Chemicals Limited,0.0,1,1083586.0,0.0,True,True,True
V-Mart Retail Ltd,2.0,1,1895240.0,4.625691711823911,False,False,True
Dr Agarwal’s Health Care Ltd,2.0,1,4912361.0,2.8627756041330543,False,False,True
Gokaldas Exports Ltd,0.0,1,1102536.0,0.0,False,False,
JM Financial Ltd,2.0,1,8047061.0,2.5500448581361446,False,False,True
P N Gadgil Jewellers Ltd,0.0,1,923699.0,0.0,False,False,
Asahi India Glass Ltd,1.0,1,1385305.0,2.18932065333654,False,False,True
Gabriel India Ltd,2.0,1,1003776.0,25.266406510314948,False,False,True
Jain Resource Recycling Ltd,0.0,1,1118047.0,0.0,False,False,
Five-Star Business Finance Ltd,2.0,1,2264561.0,6.950837943973344,False,False,True
Rainbow Childrens Medicare Ltd,0.0,1,841526.0,-22.33606633024102,False,False,True
Aditya Birla Real Estate Ltd,0.0,1,455325.0,0.0,False,False,
GE Vernova T&D India Ltd,0.0,1,283041.0,-4.127021763062071,False,False,True
Shaily Engineering Plastics Ltd,0.0,1,649979.0,0.8347838497792424,False,False,True
Deepak Fertilisers & Petrochemicals Corp Ltd,2.0,1,616790.0,7.349972152603732,False,False,True
eClerx Services Ltd,0.0,1,263336.0,1.3606568104048868,False,False,True
Birlasoft Ltd,2.0,1,1701919.0,4.2313703586660685,False,False,True
Vijaya Diagnostic Centre Ltd,2.0,1,1358368.0,1.2498509242695288,False,False,True
Rubicon Research Limited- Locked In,0.0,1,0.0,-100.0,True,True,True
Pricol Ltd,-1.0,1,2260234.0,-3.0588209055599016,False,False,True
Sonata Software Ltd,2.0,1,2306284.0,14.729880717505745,False,False,True
Premier Energies Ltd,-1.0,1,764460.0,-2.2203348856960496,False,False,True
Aditya Birla Capital Ltd,0.0,0,0.0,0.0,False,False,
Ola Electric Mobility Ltd,-2.0,1,0.0,-100.0,False,True,True
Suzlon Energy Ltd,0.0,0,0.0,0.0,False,False,
Multi Commodity Exchange of India Ltd,-2.0,1,144161.0,-6.708816525160488,False,False,True
Kaynes Technology India Ltd,-1.0,1,0.0,0.0,False,True,True
Aditya Vision Ltd,2.0,1,2152106.0,18.436951389309282,False,False,True
VA Tech Wabag Ltd,2.0,1,1166598.0,5.598753016530496,False,False,True
Apar Industries Ltd,0.0,1,138378.0,0.0,False,False,
Syrma SGS Technology Ltd,2.0,1,968912.0,7.052636231051398,False,False,True
DCB Bank Ltd,2.0,1,4454471.0,24.609824224732744,True,False,True
Rubicon Research Ltd,0.0,1,1639976.0,93.93517976516944,False,False,True
Thirumalai Chemicals Limited - Locked In,0.0,1,0.0,-100.0,True,True,True
