,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes
Kirloskar Ferrous Industries Ltd,1.0,1,4158187.0,0.0,False,False,True
Anant Raj Ltd,0.0,1,3639258.0,0.0,False,False,
Sundaram Clayton Ltd,1.0,1,1507381.0,0.0,False,False,True
Natco Pharma Ltd,0.0,1,549064.0,0.0,False,False,
Rallis India Ltd,0.0,1,540349.0,0.0,False,False,
HealthCare Global Enterprises Ltd,-1.0,1,0.0,0.0,False,True,True
Tega Industries Ltd,1.0,1,2550000.0,0.0,False,False,True
Shoppers Stop Ltd,1.0,1,5272484.0,0.0,False,False,True
Usha Martin Ltd,2.0,1,11003695.0,0.20065272463361644,False,False,True
ACME Solar Holdings Ltd,2.0,1,5911077.0,3.6986480405666775,False,False,True
R R Kabel Ltd,-1.0,1,515772.0,-4.358790827736344,False,False,True
Cello World Ltd,0.0,1,1692675.0,0.0,False,False,
Automotive Axles Ltd,0.0,1,143392.0,0.0,False,False,
Akzo Nobel India Ltd,0.0,1,287484.0,0.0,False,False,
Finolex Cables Ltd,0.0,1,900700.0,0.0,False,False,
Network People Services Technologies Ltd,0.0,1,1532500.0,0.0,False,False,
CarTrade Tech Ltd,2.0,1,723809.0,0.5002735328503234,False,False,True
VIP Industries Ltd,0.0,1,4692204.0,0.0,False,False,
Redington Ltd,0.0,1,6466218.0,0.0,False,False,
Keystone Realtors Ltd,0.0,1,2734324.0,0.0,False,False,
Allcargo Logistics Ltd,0.0,1,17112968.0,0.0,False,False,
Kirloskar Pneumatic Co Ltd,2.0,1,4054767.0,15.797086714869199,False,False,True
PCBL Chemical Ltd,0.0,1,4332988.0,0.0,False,False,
Sundrop Brands Ltd,0.0,1,1782421.0,0.0,False,False,
Radico Khaitan Ltd,0.0,0,0.0,0.0,False,False,
Transport Corp of India Ltd,0.0,1,782332.0,0.0,False,False,
Hikal Ltd,0.0,1,3300000.0,0.0,False,False,
Sri Lotus Developers And Realty Ltd,0.0,1,2777562.0,0.0,False,False,
Alivus Life Sciences Ltd,0.0,1,806867.0,0.0,False,False,
Graphite India Ltd,0.0,1,3757727.0,0.0,False,False,
Cohance Lifesciences Ltd,0.0,0,0.0,0.0,False,False,
CIE Automotive India Ltd,0.0,1,3232701.0,0.0,False,False,
Honda India Power Products Ltd,0.0,1,521006.0,0.0,False,False,
Godrej Industries Ltd,2.0,1,3930913.0,8.671130824027937,False,False,True
Vardhman Special Steels Ltd,0.0,1,2378601.0,0.0,False,False,
ELANTAS Beck India Ltd,0.0,1,209256.0,0.0,False,False,
Wonderla Holidays Ltd,0.0,1,4300000.0,0.0,False,False,
Gokaldas Exports Ltd,0.0,1,1503967.0,0.0,False,False,
Ramco Industries Ltd,0.0,1,2281581.0,0.0,False,False,
Eveready Industries India Ltd,0.0,1,1772916.0,0.0,False,False,
IDFC First Bank Ltd,1.0,1,59774540.0,0.0,False,False,True
Digitide Solutions Ltd,0.0,1,4804600.0,0.0,False,False,
Krsnaa Diagnostics Ltd,0.0,1,2572211.0,0.0,False,False,
ASK Automotive Ltd,0.0,1,3158073.0,0.0,False,False,
Allcargo Global Ltd.,1.0,1,17112968.0,0.0,True,False,True
MM Forgings Ltd,0.0,1,1576286.0,0.0,False,False,
Smartworks Coworking Spaces Ltd,0.0,1,2168435.0,0.0,False,False,
Transindia Real Estate Ltd,0.0,1,3095712.0,0.0,False,False,
Time Technoplast Ltd,0.0,1,14203058.0,0.0,False,False,
Ganesha Ecosphere Ltd,0.0,1,578704.0,0.0,False,False,
Bluspring Enterprises Ltd,0.0,1,8360577.0,0.0,False,False,
Greenply Industries Ltd,0.0,1,7000830.0,0.0,False,False,
KSB Ltd,1.0,1,2207604.0,0.0,False,False,True
Carborundum Universal Ltd,0.0,1,2389281.0,0.0,False,False,
Balrampur Chini Mills Ltd,1.0,1,2000000.0,0.0,False,False,True
BASF India Ltd,0.0,1,763051.0,0.0,False,False,
Gujarat Pipavav Port Ltd,0.0,1,10859605.0,0.0,False,False,
CE Info Systems Ltd,0.0,1,1850822.0,0.0,False,False,
Quess Corp Ltd,1.0,1,9215000.0,0.0,False,False,True
Wockhardt Ltd,1.0,1,2020053.0,4.699863945578231,False,False,True
Sudarshan Chemical Industries Ltd,1.0,1,4757212.0,1.408766553865011,False,False,True
POWERGRID Infrastructure Investment Trust Units,0.0,1,1043500.0,0.0,False,False,
DCB Bank Ltd,0.0,1,11340118.0,0.0,False,False,
Eureka Forbes Ltd,0.0,1,1121339.0,0.0,False,False,
SAMHI Hotels Ltd,0.0,1,11907432.0,0.0,False,False,
