,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes
Karur Vysya Bank Ltd,0.0,1,1230585.0,0.0,False,False,
360 One Wam Ltd Ordinary Shares,0.0,1,146853.0,0.0,False,False,
Ratnamani Metals & Tubes Ltd,-2.0,1,0.0,-100.0,False,True,True
Hexaware Technologies Ltd Ordinary Shares,-1.0,1,0.0,0.0,False,True,True
Sagility Ltd,-1.0,1,6163724.0,0.0,False,False,True
Cholamandalam Financial Holdings Ltd,0.0,1,101128.0,0.0,False,False,
MTAR Technologies Ltd,0.0,1,69239.0,0.0,False,False,
Affle 3i Ltd,0.0,1,219887.0,0.0,False,False,
Tega Industries Ltd,0.0,1,75699.0,0.0,False,False,
Concord Enviro Systems Ltd,0.0,0,0.0,0.0,False,False,
International Gemmological Institute (India) Ltd,0.0,1,684863.0,0.0,False,False,
Bharat Rasayan Ltd,1.0,1,103912.0,300.0,False,False,True
Mrs Bectors Food Specialities Ltd Ordinary Shares,2.0,1,1281925.0,400.0,False,False,True
CCL Products (India) Ltd,0.0,1,475850.0,0.0,False,False,
KEI Industries Ltd,0.0,1,57500.0,0.0,False,False,
Timken India Ltd,0.0,1,65790.0,0.0,False,False,
Gillette India Ltd,0.0,1,23422.0,0.0,False,False,
TBO Tek Ltd,2.0,1,166036.0,24.901078730798744,True,False,True
Akzo Nobel India Ltd,0.0,1,50317.0,0.0,False,False,
Innova Captab Ltd,-2.0,1,0.0,-100.0,False,True,True
Bluestone Jewellery And Lifestyle Ltd,-1.0,1,143304.0,-57.64760123063828,False,False,True
Radico Khaitan Ltd,-1.0,1,101377.0,0.0,False,False,True
Triveni Turbine Ltd,0.0,1,487731.0,0.0,False,False,
Kirloskar Pneumatic Co Ltd,0.0,1,155095.0,0.0,False,False,
Anthem Biosciences Ltd,0.0,1,124000.0,0.0,False,False,
Solar Industries India Ltd,0.0,1,32376.0,0.0,False,False,
City Union Bank Ltd,1.0,1,594000.0,0.0,True,False,True
Schneider Electric Infrastructure Ltd,1.0,1,234802.0,11.915996987635962,False,False,True
Eternal Ltd,0.0,1,530000.0,0.0,False,False,
Sai Life Sciences Ltd,0.0,1,302242.0,0.0,False,False,
Neuland Laboratories Ltd,0.0,1,12369.0,0.0,False,False,
Le Travenues Technology Ltd,0.0,1,894257.0,0.0,False,False,
Krishna Institute of Medical Sciences Ltd,0.0,1,677329.0,0.0,False,False,
Sansera Engineering Ltd,0.0,1,149242.0,0.0,False,False,
Blue Jet Healthcare Ltd,-1.0,1,0.0,0.0,False,True,True
CreditAccess Grameen Ltd Ordinary Shares,0.0,1,92184.0,0.0,False,False,
LG Electronics India Ltd,1.0,1,67000.0,0.0,True,False,True
Dr Agarwal’s Health Care Ltd,0.0,1,537755.0,0.0,False,False,
Capillary Technologies India Ltd,1.0,1,314549.0,0.0,True,False,True
Dixon Technologies (India) Ltd,-1.0,1,17111.0,0.0,False,False,True
Blackbuck Ltd,0.0,1,273210.0,0.0,False,False,
JK Lakshmi Cement Ltd,0.0,1,276123.0,0.0,False,False,
PB Fintech Ltd,0.0,1,88300.0,0.0,False,False,
Ather Energy Ltd,-1.0,1,299033.0,-12.058946353054658,False,False,True
Inventurus Knowledge Solutions Ltd,1.0,1,125000.0,0.0,True,False,True
Gabriel India Ltd,-1.0,1,228613.0,-15.045652004266055,False,False,True
Navin Fluorine International Ltd,0.0,1,70355.0,0.0,False,False,
Home First Finance Co India Ltd ---,0.0,1,191318.0,0.0,False,False,
J.B. Chemicals & Pharmaceuticals Ltd,0.0,1,205663.0,0.0,False,False,
Global Health Ltd,0.0,1,175412.0,0.0,False,False,
Sumitomo Chemical India Ltd Ordinary Shares,-1.0,1,457811.0,-27.378618291646045,False,False,True
Rainbow Childrens Medicare Ltd,-1.0,1,0.0,0.0,False,True,True
Aster DM Healthcare Ltd Ordinary Shares,0.0,1,271011.0,0.0,False,False,
Safari Industries (India) Ltd,1.0,1,106768.0,0.0,False,False,True
Data Patterns (India) Ltd,0.0,1,88500.0,0.0,False,False,
Ganesha Ecosphere Ltd,-1.0,1,0.0,0.0,False,True,True
Vishal Mega Mart Ltd,0.0,1,2236441.0,0.0,False,False,
Sharda Motor Industries Ltd,-1.0,1,174868.0,-12.733551580964548,False,False,True
Awfis Space Solutions Ltd,0.0,1,605067.0,0.0,False,False,
Pine Labs Ltd,1.0,1,701946.0,0.0,True,False,True
Urban Co Ltd,0.0,1,789235.0,0.0,False,False,
DOMS Industries Ltd,1.0,1,156737.0,0.0,False,False,True
Sundaram Finance Ltd,1.0,1,34855.0,0.0,True,False,True
Greenply Industries Ltd,-1.0,1,123037.0,-75.61339630981098,False,False,True
Technocraft Industries (India) Ltd,-1.0,1,0.0,0.0,False,True,True
Bikaji Foods International Ltd,1.0,1,343308.0,0.0,False,False,True
Max Financial Services Ltd,0.0,1,110000.0,0.0,False,False,
JK Cement Ltd,-1.0,1,35960.0,0.0,False,False,True
Multi Commodity Exchange of India Ltd,-1.0,1,64331.0,0.0,False,False,True
Brigade Enterprises Ltd,0.0,1,136172.0,0.0,False,False,
Kaynes Technology India Ltd,-1.0,1,17440.0,0.0,False,False,True
Shivalik Bimetal Controls Ltd,-1.0,1,0.0,0.0,False,True,True
Blue Star Ltd,-1.0,1,188329.0,0.0,False,False,True
Eureka Forbes Ltd,-1.0,1,448735.0,0.0,False,False,True
