,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes
Anant Raj Ltd,0.0,1,2538132.0,0.0,False,False,
Tata Consumer Products Ltd,0.0,1,1102866.0,0.0,False,False,
Aditya Infotech Ltd,0.0,1,75204.0,0.0,False,False,
Sagility Ltd,1.0,1,38441484.0,0.0,False,False,True
Cholamandalam Financial Holdings Ltd,-1.0,1,2768484.0,0.0,False,False,True
Rategain Travel Technologies Ltd,0.0,1,2090422.0,0.0,False,False,
Tech Mahindra Ltd,0.0,1,868319.0,0.0,False,False,
Chalet Hotels Ltd,0.0,1,1533836.0,0.0,False,False,
HeidelbergCement India Ltd,0.0,1,5040690.0,0.0,False,False,
Aether Industries Ltd,0.0,0,0.0,0.0,False,False,
Fortis Healthcare Ltd,0.0,1,645944.0,0.0,False,False,
Radico Khaitan Ltd,0.0,1,554354.0,0.0,False,False,
TeamLease Services Ltd,0.0,1,271086.0,0.0,False,False,
Electronics Mart India Ltd,1.0,1,2580746.0,0.0,False,False,True
Laurus Labs Ltd,0.0,1,2117487.0,0.0,False,False,
JM Financial Ltd,0.0,1,4765585.0,0.0,False,False,
Mahanagar Gas Ltd,0.0,1,1157462.0,0.0,False,False,
JK Lakshmi Cement Ltd,0.0,1,4300757.0,0.0,False,False,
PB Fintech Ltd,-1.0,1,2276818.0,0.0,False,False,True
Jubilant Ingrevia Ltd Ordinary Shares,0.0,1,2578209.0,0.0,False,False,
Navin Fluorine International Ltd,0.0,1,522648.0,0.0,False,False,
Ajax Engineering Ltd,-1.0,1,0.0,0.0,False,True,True
Data Patterns (India) Ltd,0.0,1,705963.0,0.0,False,False,
Aadhar Housing Finance Ltd,1.0,1,1246827.0,0.0,False,False,True
Arvind Fashions Ltd,0.0,1,2914727.0,0.0,False,False,
Jyoti CNC Automation Ltd,1.0,1,1106869.0,0.0,False,False,True
Fine Organic Industries Ltd Ordinary Shares,0.0,1,633550.0,0.0,False,False,
DOMS Industries Ltd,0.0,1,890292.0,0.0,False,False,
L&T Technology Services Ltd,0.0,0,0.0,0.0,False,False,
Orient Electric Ltd Ordinary Shares,0.0,1,6742466.0,0.0,False,False,
CG Power & Industrial Solutions Ltd,0.0,1,859225.0,0.0,False,False,
Brigade Enterprises Ltd,0.0,1,6154986.0,0.0,False,False,
Havells India Ltd,0.0,1,635613.0,0.0,False,False,
Kaynes Technology India Ltd,-1.0,1,803894.0,-1.107763695120796,False,False,True
Reliance Industries Ltd,1.0,1,1608236.0,0.0,True,False,True
Aditya Vision Ltd,0.0,1,2210874.0,0.0,False,False,
Blue Star Ltd,0.0,1,2603151.0,0.0,False,False,
Neogen Chemicals Ltd,0.0,1,1217809.0,0.0,False,False,
Atlanta Electricals Ltd,0.0,1,229387.0,0.0,False,False,
MTAR Technologies Ltd,0.0,0,0.0,0.0,False,False,
Mrs Bectors Food Specialities Ltd Ordinary Shares,1.0,1,10110590.0,400.0,False,False,True
CCL Products (India) Ltd,-2.0,1,6890846.0,-0.0399790994606303,False,False,True
Timken India Ltd,0.0,1,328425.0,0.0,False,False,
VST Industries Ltd,-1.0,1,0.0,0.0,False,True,True
TBO Tek Ltd,0.0,1,978007.0,0.0,False,False,
Devyani International Ltd,0.0,1,11311741.0,0.0,False,False,
Central Depository Services (India) Ltd,0.0,1,1309794.0,0.0,False,False,
Suprajit Engineering Ltd,0.0,1,1126315.0,0.0,False,False,
SBFC Finance Ltd,0.0,1,6390734.0,0.0,False,False,
Bharat Dynamics Ltd Ordinary Shares,0.0,1,1040464.0,0.0,False,False,
Persistent Systems Ltd,-1.0,1,0.0,0.0,False,True,True
Phoenix Mills Ltd,0.0,1,1681118.0,0.0,False,False,
Sudeep Pharma Ltd,2.0,1,1111713.0,253.2062055796841,True,False,True
Strides Pharma Science Ltd,0.0,1,735028.0,0.0,False,False,
CESC Ltd,1.0,1,5982262.0,0.0,True,False,True
Minda Corp Ltd,0.0,1,5769277.0,0.0,False,False,
Firstsource Solutions Ltd,0.0,1,2205999.0,0.0,False,False,
Inventurus Knowledge Solutions Ltd,0.0,1,849601.0,0.0,False,False,
Grindwell Norton Ltd,0.0,1,895775.0,0.0,False,False,
Amber Enterprises India Ltd Ordinary Shares,0.0,1,172996.0,0.0,False,False,
RHI Magnesita India Ltd,0.0,1,4353959.0,0.0,False,False,
Gujarat Fluorochemicals Ltd Ordinary Shares,0.0,1,464211.0,0.0,False,False,
Aptus Value Housing Finance India Ltd,0.0,1,5603959.0,0.0,False,False,
Aditya Birla Real Estate Ltd,0.0,1,231613.0,0.0,False,False,
Mahindra Lifespace Developers Ltd,1.0,1,3229761.0,0.0,False,False,True
OneSource Specialty Pharma Ltd,0.0,1,1066196.0,0.0,False,False,
