,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes
Maharashtra Seamless Ltd,-1.0,1,775000.0,-29.91765550594027,False,False,True
Electronics Mart India Ltd,0.0,0,0.0,0.0,False,False,
Indo Count Industries Ltd,1.0,1,3157898.0,27.77769685198673,False,False,True
Devyani International Ltd,0.0,1,9588600.0,0.0,False,False,
PTC Industries Ltd,0.0,1,80656.0,0.0,False,False,
ZF Commercial Vehicle Control Systems India Ltd,1.0,1,32223.0,0.0,True,False,True
Blue Star Ltd,-1.0,1,556271.0,0.0,False,False,True
Motherson Sumi Wiring India Ltd,1.0,1,20583300.0,0.0,False,False,True
Finolex Industries Ltd,0.0,1,5984579.0,0.0,False,False,
Jyothy Labs Ltd,0.0,0,0.0,0.0,False,False,
E I D Parry India Ltd,1.0,1,2410118.0,0.0,False,False,True
Welspun Living Ltd,-1.0,1,8736950.0,0.0,False,False,True
Century Plyboards (India) Ltd,0.0,1,989226.0,0.0,False,False,
Polycab India Ltd,0.0,1,272724.0,0.0,False,False,
Mahindra Lifespace Developers Ltd,0.0,0,0.0,0.0,False,False,
IIFL Finance Ltd,0.0,1,3399982.0,0.0,False,False,
GE Vernova T&D India Ltd,0.0,1,1112500.0,0.0,False,False,
Cholamandalam Financial Holdings Ltd,0.0,1,961643.0,0.0,False,False,
Supreme Petrochem Ltd,0.0,1,3565768.0,0.0,False,False,
Ipca Laboratories Ltd,0.0,1,606800.0,0.0,False,False,
K.P.R. Mill Ltd,-1.0,1,2573250.0,0.0,False,False,True
Sumitomo Chemical India Ltd Ordinary Shares,0.0,1,4672221.0,0.0,False,False,
Sterling Tools Ltd,-1.0,1,0.0,0.0,False,True,True
Rolex Rings Ltd,0.0,1,386877.0,0.0,False,False,
Engineers India Ltd,1.0,1,11718600.0,0.0,False,False,True
Kaynes Technology India Ltd,2.0,1,462300.0,16.323249301129515,False,False,True
Radico Khaitan Ltd,0.0,1,913103.0,0.0,False,False,
Sonata Software Ltd,-2.0,1,0.0,-100.0,False,True,True
Persistent Systems Ltd,-1.0,1,207600.0,-27.055516514406186,False,False,True
Prudent Corporate Advisory Services Ltd,0.0,1,449520.0,0.0,False,False,
Aster DM Healthcare Ltd Ordinary Shares,1.0,1,2942620.0,0.0,False,False,True
KEI Industries Ltd,0.0,1,537700.0,0.0,False,False,
Nesco Ltd,2.0,1,657066.0,48.544881142120786,True,False,True
Motilal Oswal Financial Services Ltd,1.0,1,3021718.0,0.0,False,False,True
Tube Investments of India Ltd Ordinary Shares,-1.0,1,344049.0,0.0,False,False,True
Cera Sanitaryware Ltd,1.0,1,338650.0,0.0,False,False,True
Exide Industries Ltd,-1.0,1,0.0,0.0,False,True,True
Firstsource Solutions Ltd,0.0,1,4407721.0,0.0,False,False,
JK Tyre & Industries Ltd,0.0,1,1808682.0,0.0,False,False,
LMW Ltd,-1.0,1,0.0,0.0,False,True,True
Nitin Spinners Ltd,-2.0,1,1127473.0,-12.08444773675387,False,False,True
CCL Products (India) Ltd,1.0,1,2071654.0,0.7564807159184864,False,False,True
Happy Forgings Ltd,0.0,1,385125.0,0.0,False,False,
Dixon Technologies (India) Ltd,0.0,1,132400.0,0.0,False,False,
HDB Financial Services Ltd,1.0,1,1378485.0,0.0,True,False,True
Kajaria Ceramics Ltd,1.0,1,1845200.0,0.0,False,False,True
Vijaya Diagnostic Centre Ltd,0.0,1,1481600.0,0.0,False,False,
Supreme Industries Ltd,1.0,1,228824.0,5.427956672180167,False,False,True
Somany Ceramics Ltd,0.0,1,1367863.0,0.0,False,False,
MTAR Technologies Ltd,1.0,1,380706.0,0.0,True,False,True
Apar Industries Ltd,0.0,1,249630.0,-12.060310358797317,False,False,True
PG Electroplast Ltd,0.0,1,1261200.0,-45.37895192724123,False,False,True
Titagarh Rail Systems Ltd,0.0,1,1630400.0,0.0,False,False,
The Federal Bank Ltd,-2.0,1,7267800.0,-37.02188870210222,False,False,True
Alkyl Amines Chemicals Ltd,1.0,1,460300.0,0.0,False,False,True
PNB Housing Finance Ltd,0.0,1,2566200.0,0.0,False,False,
Sundaram Finance Ltd,-2.0,1,0.0,-100.0,False,True,True
Housing & Urban Development Corp Ltd,0.0,1,8043000.0,0.0,False,False,
Lemon Tree Hotels Ltd,1.0,1,16424446.0,0.0,False,False,True
Time Technoplast Ltd,1.0,1,13621000.0,100.0,False,False,True
KFin Technologies Ltd,-2.0,1,2004200.0,-12.154669495202738,False,False,True
Hindustan Foods Ltd,1.0,1,1124431.0,0.0,False,False,True
EIH Ltd,2.0,1,6697900.0,10.93095281472035,False,False,True
KEC International Ltd,0.0,1,2200957.0,0.0,False,False,
Cohance Lifesciences Ltd,-1.0,1,827867.0,0.0,False,False,True
H.G. Infra Engineering Ltd Ordinary Shares,-2.0,1,925634.0,-13.058008353864203,False,False,True
Jindal Saw Ltd,0.0,1,5355734.0,-7.457121628393206,False,False,True
CARE Ratings Ltd,2.0,1,65984.0,39.57187579321432,True,False,True
eClerx Services Ltd,1.0,1,668511.0,0.0,False,False,True
Gokaldas Exports Ltd,-1.0,1,2063023.0,0.0,False,False,True
Carborundum Universal Ltd,0.0,1,951600.0,0.0,False,False,
Suzlon Energy Ltd,0.0,1,20324400.0,0.0,False,False,
Seshaasai Technologies Ltd,1.0,1,307300.0,0.0,True,False,True
Carraro India Ltd,0.0,1,1587136.0,0.0,False,False,
Vinati Organics Ltd,1.0,1,622492.0,0.0,False,False,True
Apollo Pipes Ltd,-1.0,1,839829.0,-38.89006120969925,False,False,True
PNC Infratech Ltd,0.0,1,2529383.0,0.0,False,False,
Concord Biotech Ltd,0.0,1,853962.0,0.0,False,False,
Wim Plast Ltd,0.0,1,457523.0,0.0,False,False,
Neuland Laboratories Ltd,-1.0,1,166718.0,0.0,False,False,True
Hi-Tech Pipes Ltd,0.0,1,4082217.0,0.0,False,False,
NIIT Learning Systems Ltd,0.0,0,0.0,0.0,False,False,
Amber Enterprises India Ltd Ordinary Shares,-1.0,1,302598.0,0.0,False,False,True
Brigade Enterprises Ltd,-2.0,1,1741399.0,-2.7911146539659786,False,False,True
Oberoi Realty Ltd,0.0,1,911600.0,0.0,False,False,
IIFL Capital Services Ltd Ordinary Shares,0.0,1,569083.0,0.0,False,False,
Nippon Life India Asset Management Ltd Ordinary Shares,0.0,1,4446300.0,0.0,False,False,
Balrampur Chini Mills Ltd,-1.0,1,1759600.0,-44.39563912150419,False,False,True
Multi Commodity Exchange of India Ltd,0.0,1,479200.0,0.0,False,False,
Grindwell Norton Ltd,-2.0,1,520461.0,-3.7005445351283446,False,False,True
Aegis Logistics Ltd,0.0,1,1816302.0,0.0,False,False,
Ratnamani Metals & Tubes Ltd,0.0,1,842458.0,0.0,False,False,
Wockhardt Ltd,0.0,1,1325150.0,0.0,False,False,
KPIT Technologies Ltd,1.0,1,1457100.0,0.0,False,False,True
Metro Brands Ltd,1.0,1,375876.0,0.0,True,False,True
Sai Life Sciences Ltd,2.0,1,2310256.0,26.310863061392304,False,False,True
NCC Ltd,-1.0,1,0.0,0.0,False,True,True
Sobha Ltd,1.0,1,1875628.0,0.0,False,False,True
BSE Ltd,-1.0,1,0.0,0.0,False,True,True
Trent Ltd,-1.0,1,0.0,0.0,False,True,True
Techno Electric & Engineering Co Ltd,-2.0,1,2001316.0,-13.306273798023815,False,False,True
Finolex Cables Ltd,0.0,1,1903645.0,0.0,False,False,
Delhivery Ltd,1.0,1,4606700.0,0.0,False,False,True
Karur Vysya Bank Ltd,1.0,1,14294880.0,0.0,False,False,True
Kirloskar Pneumatic Co Ltd,0.0,1,2086992.0,0.0,False,False,
Eris Lifesciences Ltd Registered Shs,2.0,1,357400.0,136.21943159286187,True,False,True
Aditya Birla Real Estate Ltd,-1.0,1,1276862.0,0.0,False,False,True
UNO Minda Ltd,0.0,1,597118.0,0.0,False,False,
Bikaji Foods International Ltd,2.0,1,2944415.0,16.035464645895413,False,False,True
Safari Industries (India) Ltd,0.0,1,238115.0,0.0,False,False,
Swiggy Ltd,2.0,1,3241900.0,89.131322559944,True,False,True
Jyoti CNC Automation Ltd,0.0,1,2317401.0,0.0,False,False,
Sharda Motor Industries Ltd,1.0,1,1113424.0,0.0,False,False,True
