,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes
Vardhman Textiles Ltd,0.0,1,865732.0,0.0,False,False,
Maharashtra Seamless Ltd,0.0,1,1300497.0,0.0,False,False,
HP Adhesives Ltd,-1.0,1,0.0,0.0,False,True,True
Welspun Enterprises Ltd,0.0,1,6712318.0,0.0,False,False,
Apeejay Surrendra Park Hotels Ltd,0.0,1,10610336.0,0.0,False,False,
Newgen Software Technologies Ltd,0.0,1,503579.0,0.0,False,False,
Piramal Enterprises Ltd,-1.0,1,0.0,0.0,False,True,True
JM Financial Ltd,0.0,1,16714161.0,0.0,False,False,
Juniper Hotels Ltd,0.0,1,5979730.0,0.0,False,False,
NBCC India Ltd,1.0,1,42954543.0,4.039538206314089,False,False,True
Primo Chemicals Ltd Shs Dematerialised,0.0,1,4556962.0,0.0,False,False,
EPL Ltd Ordinary Shares,0.0,1,7899233.0,0.0,False,False,
Vishnu Prakash R Punglia Ltd,0.0,1,5087689.0,0.0,False,False,
Oil & Natural Gas Corp Ltd,0.0,1,18387225.0,0.0,False,False,
Jana Small Finance Bank Ltd,-2.0,1,0.0,-100.0,False,True,True
E I D Parry India Ltd,0.0,1,2737754.0,0.0,False,False,
Sanofi India Ltd,0.0,1,63911.0,0.0,False,False,
Anupam Rasayan India Ltd,-2.0,1,437155.0,-59.50813810887615,False,False,True
Welspun Living Ltd,0.0,1,12121807.0,0.0,False,False,
Marathon Nextgen Realty Ltd,0.0,1,5484914.0,0.0,False,False,
Oriental Hotels Ltd,-1.0,1,3270338.0,-7.008238161694538,False,False,True
Orchid Pharma Ltd,0.0,1,3465947.0,0.0,False,False,
Rishabh Instruments Ltd,0.0,1,1897034.0,0.0,False,False,
Piramal Finance Ltd,1.0,1,4335570.0,0.0,True,False,True
Siemens Energy India Ltd,0.0,0,0.0,0.0,False,False,
K.P.R. Mill Ltd,0.0,1,1315790.0,0.0,False,False,
RBL Bank Ltd,-1.0,1,37909419.0,-0.012546758236286079,False,False,True
Ncc Ltd 25/11/2025,1.0,1,1652400.0,0.0,True,False,True
Adani Power Ltd,1.0,1,60430545.0,0.0,False,False,True
Oswal Pumps Ltd,0.0,1,1465799.0,0.0,False,False,
Laxmi Dental Ltd,-1.0,1,0.0,0.0,False,True,True
SMS Pharmaceuticals Ltd,0.0,1,1859681.0,0.0,False,False,
Jio Financial Services Ltd,0.0,1,60489693.0,0.0,False,False,
Man Infraconstruction Ltd,0.0,1,6030000.0,0.0,False,False,
Aditya Birla Lifestyle Brands Ltd,0.0,1,32212218.0,0.0,False,False,
Afcons Infrastructure Ltd,0.0,1,6641314.0,0.0,False,False,
Poly Medicure Ltd,1.0,1,3300349.0,0.04583433494895322,False,False,True
Aster DM Healthcare Ltd Ordinary Shares,1.0,1,11305160.0,0.0,False,False,True
Arvind Ltd,0.0,1,14133985.0,0.0,False,False,
Mahindra Holidays & Resorts India Ltd,0.0,1,999412.0,0.0,False,False,
Aptus Value Housing Finance India Ltd,1.0,1,3649318.0,0.0,True,False,True
Welspun Corp Ltd,0.0,1,4319413.0,0.0,False,False,
Indraprastha Medical Corp Ltd,-1.0,1,721778.0,-69.87672787355686,False,False,True
Karnataka Bank Ltd,0.0,1,14754512.0,0.0,False,False,
Indian Hume Pipe Co Ltd,0.0,1,769177.0,0.0,False,False,
Nitin Spinners Ltd,0.0,1,2730499.0,0.0,False,False,
Taj GVK Hotels & Resorts Ltd,-1.0,1,0.0,0.0,False,True,True
Embassy Developments Ltd,0.0,1,7962774.0,0.0,False,False,
Stanley Lifestyles Ltd,0.0,1,672534.0,0.0,False,False,
Best Agrolife Ltd,0.0,1,500000.0,0.0,False,False,
Digitide Solutions Ltd,0.0,1,1685302.0,0.0,False,False,
State Bank Of India 28/10/2025,0.0,1,0.0,-100.0,True,True,True
Jubilant Pharmova Ltd,0.0,1,2947185.0,0.0,False,False,
Aditya Birla Fashion and Retail Ltd,0.0,1,18082269.0,0.0,False,False,
PG Electroplast Ltd,0.0,0,0.0,0.0,False,False,
Thyrocare Technologies Ltd,-1.0,1,0.0,-100.0,False,True,True
Gujarat State Fertilizers & Chemicals Ltd,0.0,1,7662294.0,0.0,False,False,
Castrol India Ltd,0.0,1,3100714.0,0.0,False,False,
Intellect Design Arena Ltd,1.0,1,503950.0,0.0,True,False,True
Sun TV Network Ltd,0.0,1,10312446.0,0.0,False,False,
Suven Life Sciences Ltd,0.0,1,4701490.0,0.0,False,False,
Alivus Life Sciences Ltd,0.0,1,1248114.0,0.0,False,False,
India Shelter Finance Corporation Ltd,-2.0,1,1015767.0,-1.8739989528249574,False,False,True
Strides Pharma Science Ltd,0.0,1,3340936.0,0.0,False,False,
Bata India Ltd,0.0,1,1832323.0,-30.81396314756079,False,False,True
Aarti Industries Ltd,0.0,1,3636288.0,0.0,False,False,
Capacit'e Infraprojects Ltd,0.0,1,2026624.0,0.0,False,False,
Capri Global Capital Ltd,0.0,1,28450736.0,0.0,False,False,
Reliance Industries Ltd,0.0,1,19555849.0,0.0,False,False,
Samvardhana Motherson International Ltd,0.0,1,22736842.0,0.0,False,False,
The Orissa Minerals Development Co Ltd,0.0,1,107059.0,0.0,False,False,
Vinati Organics Ltd,0.0,1,362211.0,0.0,False,False,
Bayer CropScience Ltd,0.0,1,986394.0,0.0,False,False,
Anthem Biosciences Ltd,0.0,1,3682926.0,0.0,False,False,
Sula Vineyards Ltd,0.0,1,4193748.0,0.0,False,False,
Minda Corp Ltd,0.0,1,7303592.0,0.0,False,False,
Anand Rathi Wealth Ltd,0.0,1,2575324.0,0.0,False,False,
Pfizer Ltd,0.0,1,875027.0,0.0,False,False,
Sai Silks (Kalamandir) Ltd,0.0,1,2095455.0,0.0,False,False,
Om Infra Ltd,0.0,1,140571.0,0.0,False,False,
Balrampur Chini Mills Ltd,0.0,1,1900591.0,0.0,False,False,
Ncc Ltd 30/09/2025,-1.0,1,0.0,0.0,False,True,True
Keystone Realtors Ltd,0.0,1,6219091.0,0.0,False,False,
Life Insurance Corporation of India,0.0,1,735993.0,0.0,False,False,
Himadri Speciality Chemical Ltd,-1.0,1,674478.0,0.0,False,False,True
Usha Martin Ltd,1.0,1,10716104.0,0.0,False,False,True
Ncc Ltd 28/10/2025,0.0,1,0.0,-100.0,True,True,True
Aegis Logistics Ltd,0.0,1,13184087.0,0.0,False,False,
OneSource Specialty Pharma Ltd,-2.0,1,16480.0,-95.67259846282715,False,False,True
