,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes,funds,funds_entered,funds_exited,funds_entered_count,funds_exited_count,current_shares_count,share_change_count
Lumax Auto Technologies Ltd,0,2,1390520.0,-1.0556590674821889,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Aditya Infotech Ltd,1,5,408475.2,0.8598024005878993,False,True,True,"Franklin Small Cap Fund,HDFC Small Cap Fund,Kotak Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",Kotak Small Cap Fund,SBI Small Cap Fund,1,1,5,4
Sagility Ltd,1,5,16585048.8,2.1319754306187138,False,False,True,"Canara Robeco Small Cap Fund,Kotak Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",Motilal Oswal Small Cap Fund,,1,0,5,4
Cholamandalam Financial Holdings Ltd,0,6,1147910.1666666667,0.0709928779944796,False,False,True,"Canara Robeco Small Cap Fund,Franklin Small Cap Fund,Kotak Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,6,6
Triveni Engineering & Industries Ltd,0,1,1020656.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Usha Martin Ltd,1,3,7650171.0,33.36870606180546,True,False,True,"Axis Small Cap Fund,Navi Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,,1,0,3,3
Signatureglobal (India) Ltd,0,1,728063.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Grasim Industries Ltd,0,1,300598.0,0.0,False,False,True,SBI Small Cap Fund,,,0,0,1,0
Apeejay Surrendra Park Hotels Ltd,0,3,5386533.333333333,-5.156229091899639,False,False,True,"Axis Small Cap Fund,HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Max Estates Ltd,0,3,1466050.6666666667,97.8465258923443,False,False,True,"Franklin Small Cap Fund,HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Pennar Industries Ltd,0,1,1776136.0,64.33500308104537,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Finolex Cables Ltd,1,4,1431169.5,0.020672677504631937,True,False,True,"HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,Navi Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,,1,0,4,3
Bajel Projects Ltd,1,2,3145437.0,10.824291441882213,True,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,,1,0,2,2
Metropolis Healthcare Ltd,0,2,644165.5,6.140316438302383,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Keystone Realtors Ltd,0,3,3184677.0,0.0,False,False,True,"Axis Small Cap Fund,Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
Redington Ltd,0,3,6939345.666666667,59.407066324271675,False,False,True,"Mirae Small Cap Fund,Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
