date,fund_id,stock,action,shares_change
2025-11-23,INF194KB1AL4,Shaily Engineering Plastics Ltd,decrease,4518.0
2025-11-23,INF194KB1AL4,Blue Star Ltd,decrease,14042.0
2025-11-23,INF194KB1AL4,One97 Communications Ltd,decrease,90218.0
2025-11-23,INF194KB1AL4,Rishabh Instruments Ltd,decrease,78476.0
2025-11-23,INF194KB1AL4,Amanta Healthcare,exit,793730.0
2025-11-23,INF194KB1AL4,GE Vernova T&D India Ltd,decrease,129878.0
2025-11-23,INF194KB1AL4,Yatra Online Ltd,decrease,358679.0
2025-11-23,INF194KB1AL4,Manappuram Finance Ltd,decrease,522601.0
2025-11-23,INF194KB1AL4,TBO Tek Ltd,decrease,19762.0
2025-11-23,INF194KB1AL4,Aditya Infotech Ltd,decrease,48000.0
2025-11-23,INF194KB1AL4,Radico Khaitan Ltd,decrease,89025.0
2025-11-23,INF194KB1AL4,Fedbank Financial Services Ltd,decrease,252000.0
2025-11-23,INF194KB1AL4,Aster DM Healthcare Ltd Ordinary Shares,decrease,47280.0
2025-11-23,INF194KB1AL4,Godawari Power & Ispat Ltd,decrease,19754.0
2025-11-23,INF194KB1AL4,Motilal Oswal Financial Services Ltd,decrease,44843.0
2025-11-23,INF194KB1AL4,Punjab National Bank,exit,700000.0
2025-11-23,INF194KB1AL4,Mangalore Chemicals & Fertilizers Ltd,exit,531768.0
2025-11-23,INF194KB1AL4,JK Tyre & Industries Ltd,decrease,33500.0
2025-11-23,INF194KB1AL4,Affle 3i Ltd,exit,53402.0
2025-11-23,INF194KB1AL4,M & B Engineering Ltd,decrease,127670.0
2025-11-23,INF194KB1AL4,Yatharth Hospital and Trauma Care Services Ltd,decrease,217716.0
2025-11-23,INF194KB1AL4,Lumax Auto Technologies Ltd,decrease,83071.0
2025-11-23,INF194KB1AL4,Stl Networks Limit,exit,2359469.0
2025-11-23,INF194KB1AL4,Sterlite Technologies Ltd,decrease,31359.0
2025-11-23,INF194KB1AL4,The South Indian Bank Ltd,decrease,935419.0
2025-11-23,INF194KB1AL4,Clean Science and Technology Ltd,decrease,4591.0
2025-11-23,INF194KB1AL4,Baazar Style Retail Ltd,decrease,87175.0
2025-11-23,INF194KB1AL4,CG Power & Industrial Solutions Ltd,exit,92192.0
2025-11-23,INF194KB1AL4,UPL Ltd Ordinary Shares (Partly Paid Rs.1),exit,100512.0
2025-11-23,INF194KB1AL4,JSW Energy Ltd,exit,277905.0
2025-11-23,INF194KB1AL4,Pondy Oxides And Chemicals Ltd,decrease,85827.0
2025-11-23,INF194KB1AL4,Arvind Fashions Ltd,decrease,2077.0
2025-11-23,INF194KB1AL4,INOX Green Energy Services Ltd,exit,1700166.0
2025-11-23,INF194KB1AL4,Sagility Ltd,decrease,450000.0
2025-11-23,INF194KB1AL4,Minda Corp Ltd,exit,48528.0
2025-11-23,INF194KB1AL4,Neuland Laboratories Ltd,decrease,2349.0
2025-11-23,INF194KB1AL4,State Bank of India,decrease,60000.0
2025-11-23,INF194KB1AL4,Edelweiss Financial Services Ltd,decrease,457214.0
2025-11-23,INF194KB1AL4,CESC Ltd,decrease,165083.0
2025-11-23,INF194KB1AL4,Sai Life Sciences Ltd,decrease,98687.0
2025-11-23,INF194KB1AL4,Safari Industries (India) Ltd,exit,24300.0
2025-11-23,INF966L01689,Jana Small Finance Bank Ltd,exit,1611528.0
2025-11-23,INF966L01689,Anupam Rasayan India Ltd,decrease,642457.0
2025-11-23,INF966L01689,Oriental Hotels Ltd,decrease,246466.0
