fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF179KA1RZ8,INF179KA1RZ8,Firstsource Solutions Ltd,INE684F01012,54611834.0,158714.0,5.28151,Technology
INF179KA1RZ8,INF179KA1RZ8,eClerx Services Ltd,INE738I01010,3769083.0,-210.0,4.38376,Technology
INF179KA1RZ8,INF179KA1RZ8,Aster DM Healthcare Ltd Ordinary Shares,INE914M01019,24127134.0,0.0,3.99559,Healthcare
INF179KA1RZ8,INF179KA1RZ8,Gabriel India Ltd,INE524A01029,10940190.0,-566582.0,3.4737,Consumer Cyclical
INF179KA1RZ8,INF179KA1RZ8,Eris Lifesciences Ltd Registered Shs,INE406M01024,6077924.0,42042.0,3.01467,Healthcare
INF179KA1RZ8,INF179KA1RZ8,Bank of Baroda,INE028A01039,46828792.0,0.0,3.00411,Financial Services
INF179KA1RZ8,INF179KA1RZ8,Fortis Healthcare Ltd,INE061F01013,10073132.0,0.0,2.5298,Healthcare
INF179KA1RZ8,INF179KA1RZ8,Sudarshan Chemical Industries Ltd,INE659A01023,5767180.0,32905.0,2.37653,Basic Materials
INF179KA1RZ8,INF179KA1RZ8,Krishna Institute of Medical Sciences Ltd,INE967H01025,11127166.0,0.0,2.21936,Healthcare
INF179KA1RZ8,INF179KA1RZ8,Power Mech Projects Ltd,INE211R01019,2392936.0,0.0,1.98053,Industrials
INF179KA1RZ8,INF179KA1RZ8,Sonata Software Ltd,INE269A01021,18964481.0,350000.0,1.83327,Technology
INF179KA1RZ8,INF179KA1RZ8,Indian Bank,INE562A01011,9688128.0,0.0,1.74335,Financial Services
INF179KA1RZ8,INF179KA1RZ8,Chalet Hotels Ltd,INE427F01016,5793759.0,250030.0,1.61278,Consumer Cyclical
INF179KA1RZ8,INF179KA1RZ8,Kalpataru Projects International Ltd,INE220B01022,4636042.0,0.0,1.59542,Industrials
INF179KA1RZ8,INF179KA1RZ8,Home First Finance Co India Ltd ---,INE481N01025,4751657.0,0.0,1.5954,Financial Services
INF179KA1RZ8,INF179KA1RZ8,Transport Corp of India Ltd,INE688A01022,4640090.0,60654.0,1.45656,Industrials
INF179KA1RZ8,INF179KA1RZ8,Suprajit Engineering Ltd,INE399C01030,11440566.0,18592.0,1.42542,Consumer Cyclical
INF179KA1RZ8,INF179KA1RZ8,Sharda Cropchem Ltd,INE221J01015,5406610.0,0.0,1.41384,Basic Materials
INF179KA1RZ8,INF179KA1RZ8,SKF India Ltd,INE640A01023,1108471.0,0.0,1.35604,Industrials
INF179KA1RZ8,INF179KA1RZ8,Great Eastern Shipping Co Ltd,INE017A01032,5229582.0,0.0,1.33621,Industrials
INF179KA1RZ8,INF179KA1RZ8,Chambal Fertilisers & Chemicals Ltd,INE085A01013,8577755.0,0.0,1.27647,Basic Materials
INF179KA1RZ8,INF179KA1RZ8,PVR INOX Ltd,INE191H01014,4101954.0,0.0,1.26571,Communication Services
INF179KA1RZ8,INF179KA1RZ8,Aditya Vision Ltd,INE679V01027,8894037.0,3284.0,1.23299,Consumer Cyclical
INF179KA1RZ8,INF179KA1RZ8,Kirloskar Ferrous Industries Ltd,INE884B01025,7899475.0,0.0,1.19611,Industrials
INF179KA1RZ8,INF179KA1RZ8,KEC International Ltd,INE389H01022,4959256.0,0.0,1.1042,Industrials
INF179KA1RZ8,INF179KA1RZ8,Vardhman Textiles Ltd,INE825A01020,9392211.0,0.0,1.09814,Consumer Cyclical
INF179KA1RZ8,INF179KA1RZ8,The Federal Bank Ltd,INE171A01029,20759451.0,0.0,1.09654,Financial Services
INF179KA1RZ8,INF179KA1RZ8,PNC Infratech Ltd,INE195J01029,13086529.0,0.0,1.09595,Industrials
INF179KA1RZ8,INF179KA1RZ8,Apar Industries Ltd,INE372A01015,505371.0,0.0,1.07663,Industrials
INF179KA1RZ8,INF179KA1RZ8,City Union Bank Ltd,INE491A01021,19805638.0,100000.0,1.06984,Financial Services
INF179KA1RZ8,INF179KA1RZ8,Zensar Technologies Ltd,INE520A01027,5045030.0,50000.0,1.06769,Technology
INF179KA1RZ8,INF179KA1RZ8,KEI Industries Ltd,INE878B01027,1007856.0,0.0,1.05817,Industrials
INF179KA1RZ8,INF179KA1RZ8,Bajaj Electricals Ltd,INE193E01025,6635036.0,100000.0,1.0403,Consumer Cyclical
INF179KA1RZ8,INF179KA1RZ8,VRL Logistics Ltd,INE366I01010,14260128.0,0.0,1.03786,Industrials
INF179KA1RZ8,INF179KA1RZ8,Blue Dart Express Ltd,INE233B01017,657595.0,0.0,1.016,Industrials
INF179KA1RZ8,INF179KA1RZ8,CIE Automotive India Ltd,INE536H01010,9578101.0,0.0,1.0151,Consumer Cyclical
INF179KA1RZ8,INF179KA1RZ8,L.G.Balakrishnan & Bros Ltd,INE337A01034,2836501.0,0.0,0.99356,Consumer Cyclical
INF179KA1RZ8,INF179KA1RZ8,Timken India Ltd,INE325A01013,1178718.0,0.0,0.938,Industrials
INF179KA1RZ8,INF179KA1RZ8,Equitas Small Finance Bank Ltd Ordinary Shares,INE063P01018,66023564.0,0.0,0.91448,Financial Services
INF179KA1RZ8,INF179KA1RZ8,Redington Ltd,INE891D01026,13566331.0,0.0,0.90027,Technology
INF179KA1RZ8,INF179KA1RZ8,Pearl Global Industries Ltd,INE940H01022,2468184.0,240750.0,0.83884,Consumer Cyclical
INF179KA1RZ8,INF179KA1RZ8,FIEM Industries Ltd,INE737H01014,1447367.0,27439.0,0.83774,Consumer Cyclical
INF179KA1RZ8,INF179KA1RZ8,Voltamp Transformers Ltd,INE540H01012,385000.0,0.0,0.82826,Industrials
INF179KA1RZ8,INF179KA1RZ8,Shoppers Stop Ltd,INE498B01024,5457866.0,45131.0,0.81182,Consumer Cyclical
INF179KA1RZ8,INF179KA1RZ8,Vishal Mega Mart Ltd,INE01EA01019,19136949.0,0.0,0.7878,Consumer Cyclical
INF179KA1RZ8,INF179KA1RZ8,Awfis Space Solutions Ltd,INE108V01019,4991954.0,1072515.0,0.77938,Industrials
INF179KA1RZ8,INF179KA1RZ8,Dodla Dairy Ltd,INE021O01019,2075310.0,151762.0,0.7792,Consumer Defensive
INF179KA1RZ8,INF179KA1RZ8,Unichem Laboratories Ltd,INE351A01035,5458645.0,0.0,0.75772,Healthcare
