fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF194KB1AL4,INF194KB1AL4,Sobha Ltd,INE671H01015,3695960.0,49911.0,3.12636,Real Estate
INF194KB1AL4,INF194KB1AL4,REC Ltd,INE020B01018,14373446.0,1750171.0,2.85431,Financial Services
INF194KB1AL4,INF194KB1AL4,The South Indian Bank Ltd,INE683A01023,106218390.0,-300000.0,2.31328,Financial Services
INF194KB1AL4,INF194KB1AL4,LT Foods Ltd,INE818H01020,9408899.0,408327.0,2.11384,Consumer Defensive
INF194KB1AL4,INF194KB1AL4,Arvind Ltd,INE034A01011,7849282.0,169022.0,1.52245,Consumer Cyclical
INF194KB1AL4,INF194KB1AL4,PNB Housing Finance Ltd,INE572E01012,2950271.0,182000.0,1.46963,Financial Services
INF194KB1AL4,INF194KB1AL4,Cholamandalam Financial Holdings Ltd,INE149A01033,1408592.0,0.0,1.43093,Financial Services
INF194KB1AL4,INF194KB1AL4,Info Edge (India) Ltd,INE663F01032,1900000.0,0.0,1.39067,Communication Services
INF194KB1AL4,INF194KB1AL4,Apar Industries Ltd,INE372A01015,254796.0,0.0,1.28415,Industrials
INF194KB1AL4,INF194KB1AL4,Karnataka Bank Ltd,INE614B01018,10971364.0,701827.0,1.28061,Financial Services
INF194KB1AL4,INF194KB1AL4,Yatharth Hospital and Trauma Care Services Ltd,INE0JO301016,3228785.0,547000.0,1.25748,Healthcare
INF194KB1AL4,INF194KB1AL4,DCB Bank Ltd,INE503A01015,11663358.0,-1250000.0,1.17809,Financial Services
INF194KB1AL4,INF194KB1AL4,State Bank of India,INE062A01020,2090624.0,-30000.0,1.12619,Financial Services
INF194KB1AL4,INF194KB1AL4,Jubilant Pharmova Ltd,INE700A01033,1812233.0,70000.0,1.08661,Healthcare
INF194KB1AL4,INF194KB1AL4,Axis Bank Ltd,INE238A01034,1525000.0,-75000.0,1.07382,Financial Services
INF194KB1AL4,INF194KB1AL4,PCBL Chemical Ltd,INE602A01031,5833060.0,152820.0,1.0436,Basic Materials
INF194KB1AL4,INF194KB1AL4,TVS Holdings Ltd,INE105A01035,130649.0,0.0,1.03059,Consumer Cyclical
INF194KB1AL4,INF194KB1AL4,Glenmark Pharmaceuticals Ltd,INE935A01035,952877.0,0.0,1.02042,Healthcare
INF194KB1AL4,INF194KB1AL4,TARC Ltd Ordinary Shares,INE0EK901012,12672172.0,2052614.0,0.97646,Real Estate
INF194KB1AL4,INF194KB1AL4,Inox Wind Ltd,INE066P01011,12994037.0,0.0,0.96166,Industrials
INF194KB1AL4,INF194KB1AL4,Repco Home Finance Ltd,INE612J01015,3957702.0,113069.0,0.9094,Financial Services
INF194KB1AL4,INF194KB1AL4,Great Eastern Shipping Co Ltd,INE017A01032,1492024.0,15000.0,0.90873,Industrials
INF194KB1AL4,INF194KB1AL4,Power Finance Corp Ltd,INE134E01011,4486755.0,200000.0,0.89543,Financial Services
INF194KB1AL4,INF194KB1AL4,Shaily Engineering Plastics Ltd,INE151G01028,619229.0,-202644.0,0.88657,Basic Materials
