fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF205K013T3,INF205K013T3,Swiggy Ltd,INE00H001014,12041777.0,1714286.0,5.04208,Consumer Cyclical
INF205K013T3,INF205K013T3,Sai Life Sciences Ltd,INE570L01029,4942410.0,0.0,4.86706,Healthcare
INF205K013T3,INF205K013T3,Krishna Institute of Medical Sciences Ltd,INE967H01025,6323046.0,0.0,4.17166,Healthcare
INF205K013T3,INF205K013T3,Amber Enterprises India Ltd Ordinary Shares,INE371P01015,598510.0,146569.0,4.14399,Consumer Cyclical
INF205K013T3,INF205K013T3,InterGlobe Aviation Ltd,INE646L01027,729805.0,322913.0,4.00281,Industrials
INF205K013T3,INF205K013T3,Multi Commodity Exchange of India Ltd,INE745G01043,265938.0,0.0,3.21041,Financial Services
INF205K013T3,INF205K013T3,Karur Vysya Bank Ltd,INE036D01028,9679612.0,0.0,2.76843,Financial Services
INF205K013T3,INF205K013T3,Aditya Infotech Ltd,INE819V01029,1670579.0,0.0,2.69893,Industrials
INF205K013T3,INF205K013T3,BSE Ltd,INE118H01025,916044.0,0.0,2.61388,Financial Services
INF205K013T3,INF205K013T3,L&T Finance Ltd,INE498L01015,7445366.0,0.0,2.55009,Financial Services
INF205K013T3,INF205K013T3,JK Lakshmi Cement Ltd,INE786A01032,2905698.0,0.0,2.45096,Basic Materials
INF205K013T3,INF205K013T3,The Federal Bank Ltd,INE171A01029,8442053.0,941624.0,2.4444,Financial Services
INF205K013T3,INF205K013T3,Global Health Ltd,INE474Q01031,1738766.0,0.0,2.23626,Healthcare
INF205K013T3,INF205K013T3,Ather Energy Ltd,INE0LEZ01016,2689536.0,0.0,2.20055,Consumer Cyclical
INF205K013T3,INF205K013T3,Eternal Ltd,INE758T01015,7197907.0,0.0,2.1696,Consumer Cyclical
INF205K013T3,INF205K013T3,Cholamandalam Financial Holdings Ltd,INE149A01033,1083146.0,0.0,2.12869,Financial Services
INF205K013T3,INF205K013T3,Wework India Management Ltd,INE085001019,3084419.0,0.0,2.02175,Real Estate
INF205K013T3,INF205K013T3,Delhivery Ltd,INE148O01028,4616475.0,0.0,2.02107,Industrials
INF205K013T3,INF205K013T3,AU Small Finance Bank Ltd,INE949L01017,1819482.0,182217.0,1.96157,Financial Services
INF205K013T3,INF205K013T3,Aditya Birla Real Estate Ltd,INE055A01016,1043423.0,0.0,1.89441,Real Estate
INF205K013T3,INF205K013T3,Corona Remedies Ltd,INE02ZQ01018,1255187.0,1255187.0,1.88442,Healthcare
INF205K013T3,INF205K013T3,Trent Ltd,INE849A01020,377747.0,0.0,1.75224,Consumer Cyclical
INF205K013T3,INF205K013T3,Brigade Enterprises Ltd,INE791I01019,1812778.0,0.0,1.73916,Real Estate
INF205K013T3,INF205K013T3,Sonata Software Ltd,INE269A01021,4325452.0,0.0,1.68734,Technology
INF205K013T3,INF205K013T3,Craftsman Automation Ltd,INE00LO01017,196702.0,0.0,1.63967,Consumer Cyclical
INF205K013T3,INF205K013T3,Go Digit General Insurance Ltd,INE03JT01014,4384695.0,0.0,1.63797,Financial Services
INF205K013T3,INF205K013T3,ZF Commercial Vehicle Control Systems India Ltd,INE342J01019,96851.0,0.0,1.56207,Consumer Cyclical
INF205K013T3,INF205K013T3,Dr Agarwal’s Health Care Ltd,INE943P01029,2523382.0,0.0,1.39058,Healthcare
INF205K013T3,INF205K013T3,Anand Rathi Wealth Ltd,INE463V01026,398771.0,0.0,1.34546,Financial Services
INF205K013T3,INF205K013T3,Jyoti CNC Automation Ltd,INE980O01024,1222324.0,0.0,1.31089,Industrials
INF205K013T3,INF205K013T3,Leela Palaces Hotels and Resorts Ltd,INE0AQ201015,2759482.0,0.0,1.29693,Consumer Cyclical
INF205K013T3,INF205K013T3,Zensar Technologies Ltd,INE520A01027,1672012.0,0.0,1.2754,Technology
INF205K013T3,INF205K013T3,SBFC Finance Ltd,INE423Y01016,11095450.0,0.0,1.25152,Financial Services
INF205K013T3,INF205K013T3,BEML Ltd,INE258A01024,609984.0,0.0,1.22987,Industrials
INF205K013T3,INF205K013T3,Ethos Ltd,INE04TZ01018,377591.0,0.0,1.21853,Consumer Cyclical
