fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF247L01BY3,INF247L01BY3,Dr Agarwal’s Health Care Ltd,INE943P01029,4912361.0,136716.0,4.27789,Healthcare
INF247L01BY3,INF247L01BY3,Karur Vysya Bank Ltd,INE036D01028,9069423.0,-61187.0,4.09902,Financial Services
INF247L01BY3,INF247L01BY3,CCL Products (India) Ltd,INE421D01022,2521084.0,217619.0,4.07782,Consumer Defensive
INF247L01BY3,INF247L01BY3,Campus Activewear Ltd,INE278Y01022,6863705.0,350726.0,3.08002,Consumer Cyclical
INF247L01BY3,INF247L01BY3,V2 Retail Ltd,INE945H01013,717283.0,34531.0,3.00776,Consumer Cyclical
INF247L01BY3,INF247L01BY3,Multi Commodity Exchange of India Ltd,INE745G01043,144161.0,-10367.0,2.75013,Financial Services
INF247L01BY3,INF247L01BY3,VA Tech Wabag Ltd,INE956G01038,1166598.0,61852.0,2.6046,Industrials
INF247L01BY3,INF247L01BY3,Pricol Ltd,INE726V01018,2260234.0,-71318.0,2.55975,Consumer Cyclical
INF247L01BY3,INF247L01BY3,Shaily Engineering Plastics Ltd,INE151G01028,649979.0,5381.0,2.51821,Basic Materials
INF247L01BY3,INF247L01BY3,Vijaya Diagnostic Centre Ltd,INE043W01024,1358368.0,16768.0,2.46893,Healthcare
INF247L01BY3,INF247L01BY3,Asahi India Glass Ltd,INE439A01020,1385305.0,29679.0,2.40873,Consumer Cyclical
INF247L01BY3,INF247L01BY3,V-Mart Retail Ltd,INE665J01013,1895240.0,83792.0,2.32235,Consumer Cyclical
INF247L01BY3,INF247L01BY3,eClerx Services Ltd,INE738I01010,263336.0,3535.0,2.11812,Technology
INF247L01BY3,INF247L01BY3,Five-Star Business Finance Ltd,INE128S01021,2264561.0,147176.0,2.11561,Financial Services
INF247L01BY3,INF247L01BY3,JM Financial Ltd,INE780C01023,8047061.0,200101.0,2.06916,Financial Services
INF247L01BY3,INF247L01BY3,Apar Industries Ltd,INE372A01015,138378.0,0.0,1.98353,Industrials
INF247L01BY3,INF247L01BY3,Sky Gold and Diamonds Ltd,INE01IU01018,3451218.0,122300.0,1.9726,Consumer Cyclical
INF247L01BY3,INF247L01BY3,Bharat Dynamics Ltd Ordinary Shares,INE171Z01026,766100.0,18389.0,1.92462,Industrials
INF247L01BY3,INF247L01BY3,Rainbow Childrens Medicare Ltd,INE961O01016,841526.0,-242022.0,1.90291,Healthcare
INF247L01BY3,INF247L01BY3,Styrenix Performance Materials Ltd,INE189B01011,560458.0,0.0,1.89736,Basic Materials
INF247L01BY3,INF247L01BY3,KEI Industries Ltd,INE878B01027,245992.0,0.0,1.87954,Industrials
INF247L01BY3,INF247L01BY3,Rubicon Research Ltd,INE506V01022,1639976.0,794345.0,1.836,Healthcare
INF247L01BY3,INF247L01BY3,Aditya Vision Ltd,INE679V01027,2152106.0,335016.0,1.7993,Consumer Cyclical
INF247L01BY3,INF247L01BY3,Varroc Engineering Ltd Ordinary Shares,INE665L01035,1777664.0,26650.0,1.79854,Consumer Cyclical
INF247L01BY3,INF247L01BY3,Gabriel India Ltd,INE524A01029,1003776.0,202463.0,1.73639,Consumer Cyclical
INF247L01BY3,INF247L01BY3,Aegis Vopak Terminals Ltd,INE0INX01018,4063679.0,304559.0,1.73582,Energy
INF247L01BY3,INF247L01BY3,City Union Bank Ltd,INE491A01021,3348738.0,343086.0,1.66821,Financial Services
INF247L01BY3,INF247L01BY3,Chalet Hotels Ltd,INE427F01016,1040638.0,122374.0,1.55192,Consumer Cyclical
INF247L01BY3,INF247L01BY3,GE Vernova T&D India Ltd,INE200A01026,283041.0,-12184.0,1.51886,Industrials
INF247L01BY3,INF247L01BY3,Cholamandalam Financial Holdings Ltd,INE149A01033,471111.0,0.0,1.4631,Financial Services
INF247L01BY3,INF247L01BY3,PG Electroplast Ltd,INE457L01029,1450025.0,149484.0,1.42904,Technology
INF247L01BY3,INF247L01BY3,Sonata Software Ltd,INE269A01021,2306284.0,296098.0,1.42171,Technology
INF247L01BY3,INF247L01BY3,Central Depository Services (India) Ltd,INE736A01011,567768.0,7489.0,1.40409,Financial Services
INF247L01BY3,INF247L01BY3,Gokaldas Exports Ltd,INE887G01027,1102536.0,0.0,1.40162,Consumer Cyclical
INF247L01BY3,INF247L01BY3,Cholamandalam Investment and Finance Co Ltd,INE121A01024,471970.0,28216.0,1.37626,Financial Services
INF247L01BY3,INF247L01BY3,Deepak Fertilisers & Petrochemicals Corp Ltd,INE501A01019,616790.0,42230.0,1.35996,Basic Materials
INF247L01BY3,INF247L01BY3,DCB Bank Ltd,INE503A01015,4454471.0,879736.0,1.31327,Financial Services
INF247L01BY3,INF247L01BY3,Aditya Birla Real Estate Ltd,INE055A01016,455325.0,0.0,1.30635,Real Estate
INF247L01BY3,INF247L01BY3,KEC International Ltd,INE389H01022,1014068.0,0.0,1.28186,Industrials
INF247L01BY3,INF247L01BY3,Birlasoft Ltd,INE836A01035,1701919.0,69091.0,1.26329,Technology
INF247L01BY3,INF247L01BY3,Triveni Turbine Ltd,INE152M01016,1321063.0,0.0,1.2181,Industrials
INF247L01BY3,INF247L01BY3,Syrma SGS Technology Ltd,INE0DYJ01015,968912.0,63832.0,1.2169,Technology
INF247L01BY3,INF247L01BY3,Thirumalai Chemicals Ltd,INE338A01024,3068592.0,2184642.0,1.21583,Basic Materials
INF247L01BY3,INF247L01BY3,Premier Energies Ltd,INE0BS701011,764460.0,-17359.0,1.10286,Technology
INF247L01BY3,INF247L01BY3,Wework India Management Ltd,INE085001019,1003076.0,0.0,1.039,Real Estate
INF247L01BY3,INF247L01BY3,Transformers & Rectifiers (India) Ltd,INE763I01026,2010890.0,0.0,0.98263,Industrials
INF247L01BY3,INF247L01BY3,P N Gadgil Jewellers Ltd,INE953R01016,923699.0,0.0,0.96121,Consumer Cyclical
INF247L01BY3,INF247L01BY3,Sagility Ltd,INE0W2G01015,10435828.0,-3024.0,0.92998,Healthcare
INF247L01BY3,INF247L01BY3,Rossari Biotech Ltd Ordinary Shares,INE02A801020,855648.0,0.0,0.85331,Basic Materials
INF247L01BY3,INF247L01BY3,Rubicon Research Limited,,728864.0,728864.0,0.84998,
INF247L01BY3,INF247L01BY3,Jain Resource Recycling Ltd,INE0YD401026,1118047.0,0.0,0.79562,Basic Materials
INF247L01BY3,INF247L01BY3,MTAR Technologies Ltd,INE864I01014,177751.0,14087.0,0.73589,Industrials
INF247L01BY3,INF247L01BY3,Thirumalai Chemicals Limited,,1083586.0,1083586.0,0.4381,
INF247L01BY3,INF247L01BY3,Aditya Infotech Ltd,INE819V01029,63341.0,2106.0,0.16171,Industrials
INF247L01BY3,INF247L01BY3,Ola Electric Mobility Ltd,INE0LXG01040,0.0,-6734787.0,0.0,Consumer Cyclical
INF247L01BY3,INF247L01BY3,Siemens Energy India Ltd,INE1NPP01017,0.0,-372393.0,0.0,Utilities
