fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF277K011O1,INF277K011O1,Tega Industries Ltd,INE011K01018,2550000.0,2302315.0,4.32594,Industrials
INF277K011O1,INF277K011O1,IDFC First Bank Ltd,INE092T01019,59774540.0,0.0,4.19794,Financial Services
INF277K011O1,INF277K011O1,Sudarshan Chemical Industries Ltd,INE659A01023,4691125.0,0.0,4.16619,Basic Materials
INF277K011O1,INF277K011O1,Usha Martin Ltd,INE228A01035,10981660.0,15318.0,4.11846,Basic Materials
INF277K011O1,INF277K011O1,Kirloskar Pneumatic Co Ltd,INE811A01020,3501614.0,201614.0,3.33536,Industrials
INF277K011O1,INF277K011O1,Godrej Industries Ltd,INE233A01035,3617256.0,183584.0,3.33391,Industrials
INF277K011O1,INF277K011O1,BASF India Ltd,INE373A01013,763051.0,0.0,2.77995,Basic Materials
INF277K011O1,INF277K011O1,CE Info Systems Ltd,INE0BV301023,1850822.0,0.0,2.71822,Technology
INF277K011O1,INF277K011O1,Time Technoplast Ltd,INE508G01029,14203058.0,0.0,2.49611,Consumer Cyclical
INF277K011O1,INF277K011O1,Network People Services Technologies Ltd,INE0FFK01017,1532500.0,0.0,2.21862,Technology
INF277K011O1,INF277K011O1,Wonderla Holidays Ltd,INE066O01014,4300000.0,0.0,2.10972,Consumer Cyclical
INF277K011O1,INF277K011O1,Wockhardt Ltd,INE049B01025,1929375.0,0.0,2.08837,Healthcare
INF277K011O1,INF277K011O1,SAMHI Hotels Ltd,INE08U801020,11907432.0,0.0,2.04675,Consumer Cyclical
INF277K011O1,INF277K011O1,Shoppers Stop Ltd,INE498B01024,5272484.0,52051.0,1.96764,Consumer Cyclical
INF277K011O1,INF277K011O1,CarTrade Tech Ltd,INE290S01011,720206.0,191893.0,1.94902,Consumer Cyclical
INF277K011O1,INF277K011O1,Anant Raj Ltd,INE242C01024,3639258.0,0.0,1.83865,Real Estate
INF277K011O1,INF277K011O1,Graphite India Ltd,INE371A01025,3757727.0,0.0,1.82786,Industrials
INF277K011O1,INF277K011O1,Krsnaa Diagnostics Ltd,INE08LI01020,2572211.0,0.0,1.82775,Healthcare
INF277K011O1,INF277K011O1,DCB Bank Ltd,INE503A01015,11340118.0,0.0,1.8245,Financial Services
INF277K011O1,INF277K011O1,Kirloskar Ferrous Industries Ltd,INE884B01025,4158187.0,19502.0,1.80053,Industrials
INF277K011O1,INF277K011O1,Carborundum Universal Ltd,INE120A01034,2389281.0,0.0,1.79431,Industrials
INF277K011O1,INF277K011O1,ELANTAS Beck India Ltd,INE280B01018,209256.0,0.0,1.78154,Basic Materials
INF277K011O1,INF277K011O1,Sundaram Clayton Ltd,INE0Q3R01026,1507381.0,7381.0,1.74509,Industrials
INF277K011O1,INF277K011O1,Quess Corp Ltd,INE615P01015,9215000.0,1265000.0,1.73805,Industrials
INF277K011O1,INF277K011O1,Greenply Industries Ltd,INE461C01038,7000830.0,0.0,1.73307,Basic Materials
INF277K011O1,INF277K011O1,Gujarat Pipavav Port Ltd,INE517F01014,10859605.0,0.0,1.70103,Industrials
INF277K011O1,INF277K011O1,Redington Ltd,INE891D01026,6466218.0,0.0,1.59307,Technology
INF277K011O1,INF277K011O1,VIP Industries Ltd,INE054A01027,4692204.0,0.0,1.5504,Consumer Cyclical
INF277K011O1,INF277K011O1,KSB Ltd,INE999A01023,2207604.0,0.0,1.48567,Industrials
INF277K011O1,INF277K011O1,ASK Automotive Ltd,INE491J01022,3158073.0,0.0,1.3766,Consumer Cyclical
INF277K011O1,INF277K011O1,Keystone Realtors Ltd,INE263M01029,2734324.0,0.0,1.29614,Real Estate
INF277K011O1,INF277K011O1,PCBL Chemical Ltd,INE602A01031,4332988.0,0.0,1.2348,Basic Materials
INF277K011O1,INF277K011O1,Gokaldas Exports Ltd,INE887G01027,1503967.0,0.0,1.22258,Consumer Cyclical
INF277K011O1,INF277K011O1,Sundrop Brands Ltd,INE209A01019,1782421.0,0.0,1.17461,Consumer Defensive
INF277K011O1,INF277K011O1,CIE Automotive India Ltd,INE536H01010,3232701.0,0.0,1.16618,Consumer Cyclical
INF277K011O1,INF277K011O1,ACME Solar Holdings Ltd,INE622W01025,5700245.0,1039314.0,1.14982,Utilities
INF277K011O1,INF277K011O1,Honda India Power Products Ltd,INE634A01018,521006.0,0.0,1.09962,Industrials
INF277K011O1,INF277K011O1,Smartworks Coworking Spaces Ltd,INE0NAZ01010,2168435.0,0.0,0.91348,Real Estate
INF277K011O1,INF277K011O1,Cello World Ltd,INE0LMW01024,1692675.0,0.0,0.88419,Consumer Cyclical
