fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF663L01W06,INF663L01W06,Multi Commodity Exchange of India Ltd,INE745G01035,72331.0,0.0,3.43,Financial Services
INF663L01W06,INF663L01W06,Krishna Institute of Medical Sciences Ltd,INE967H01025,677329.0,0.0,3.14633,Healthcare
INF663L01W06,INF663L01W06,Solar Industries India Ltd,INE343H01029,32376.0,0.0,2.86597,Basic Materials
INF663L01W06,INF663L01W06,Affle 3i Ltd,INE00WC01027,219887.0,0.0,2.69161,Communication Services
INF663L01W06,INF663L01W06,CCL Products (India) Ltd,INE421D01022,475850.0,0.0,2.66111,Consumer Defensive
INF663L01W06,INF663L01W06,Sagility Ltd,INE0W2G01015,9163724.0,0.0,2.57968,Healthcare
INF663L01W06,INF663L01W06,Blue Star Ltd,INE472A01039,208329.0,0.0,2.51551,Industrials
INF663L01W06,INF663L01W06,Gabriel India Ltd,INE524A01029,319101.0,0.0,2.3597,Consumer Cyclical
INF663L01W06,INF663L01W06,Radico Khaitan Ltd,INE944F01028,128877.0,0.0,2.359,Consumer Defensive
INF663L01W06,INF663L01W06,Sumitomo Chemical India Ltd Ordinary Shares,INE258G01013,630408.0,0.0,2.29023,Basic Materials
INF663L01W06,INF663L01W06,DOMS Industries Ltd,INE321T01012,145883.0,7836.0,2.27636,Industrials
INF663L01W06,INF663L01W06,J.B. Chemicals & Pharmaceuticals Ltd,INE572A01036,205663.0,0.0,2.2756,Healthcare
INF663L01W06,INF663L01W06,Dixon Technologies (India) Ltd,INE935N01020,21011.0,0.0,2.25024,Technology
INF663L01W06,INF663L01W06,Awfis Space Solutions Ltd,INE108V01019,605067.0,0.0,2.20011,Industrials
INF663L01W06,INF663L01W06,Eureka Forbes Ltd,INE0KCE01017,592324.0,0.0,2.15074,Consumer Cyclical
INF663L01W06,INF663L01W06,Vishal Mega Mart Ltd,INE01EA01019,2236441.0,0.0,2.14419,Consumer Cyclical
INF663L01W06,INF663L01W06,Navin Fluorine International Ltd,INE048G01026,70355.0,0.0,2.11623,Basic Materials
INF663L01W06,INF663L01W06,Mrs Bectors Food Specialities Ltd Ordinary Shares,INE495P01012,228058.0,0.0,2.01938,Consumer Defensive
INF663L01W06,INF663L01W06,Global Health Ltd,INE474Q01031,219742.0,-32356.0,1.93743,Healthcare
INF663L01W06,INF663L01W06,JK Cement Ltd,INE823G01014,41960.0,0.0,1.87037,Basic Materials
INF663L01W06,INF663L01W06,Karur Vysya Bank Ltd,INE036D01028,1230585.0,-1.0,1.69026,Financial Services
INF663L01W06,INF663L01W06,Bharat Rasayan Ltd,INE838B01013,25978.0,0.0,1.67699,Basic Materials
INF663L01W06,INF663L01W06,KEI Industries Ltd,INE878B01027,67500.0,0.0,1.65053,Industrials
INF663L01W06,INF663L01W06,JK Lakshmi Cement Ltd,INE786A01032,276123.0,0.0,1.63215,Basic Materials
INF663L01W06,INF663L01W06,Triveni Turbine Ltd,INE152M01016,487731.0,0.0,1.62464,Industrials
INF663L01W06,INF663L01W06,Sai Life Sciences Ltd,INE570L01029,302242.0,0.0,1.59947,Healthcare
INF663L01W06,INF663L01W06,Le Travenues Technology Ltd,INE0HV901016,894257.0,0.0,1.55154,Consumer Cyclical
INF663L01W06,INF663L01W06,Gillette India Ltd,INE322A01010,23422.0,0.0,1.51725,Consumer Defensive
INF663L01W06,INF663L01W06,Home First Finance Co India Ltd ---,INE481N01025,191318.0,0.0,1.49604,Financial Services
INF663L01W06,INF663L01W06,Dr Agarwal’s Health Care Ltd,INE943P01029,537755.0,97065.0,1.49227,Healthcare
INF663L01W06,INF663L01W06,Tega Industries Ltd,INE011K01018,125699.0,0.0,1.4897,Industrials
INF663L01W06,INF663L01W06,International Gemmological Institute (India) Ltd,INE0Q9301021,684863.0,0.0,1.4619,Basic Materials
INF663L01W06,INF663L01W06,Rainbow Childrens Medicare Ltd,INE961O01016,151386.0,0.0,1.45919,Healthcare
INF663L01W06,INF663L01W06,Bikaji Foods International Ltd,INE00E101023,287657.0,0.0,1.45879,Consumer Defensive
INF663L01W06,INF663L01W06,Data Patterns (India) Ltd,INE0IX101010,88500.0,0.0,1.36454,Industrials
INF663L01W06,INF663L01W06,Hexaware Technologies Ltd Ordinary Shares,INE093A01041,275287.0,0.0,1.33856,Technology
INF663L01W06,INF663L01W06,Safari Industries (India) Ltd,INE429E01023,96075.0,0.0,1.32123,Consumer Cyclical
INF663L01W06,INF663L01W06,Sharda Motor Industries Ltd,INE597I01028,200384.0,0.0,1.31298,Consumer Cyclical
INF663L01W06,INF663L01W06,Timken India Ltd,INE325A01013,65790.0,9500.0,1.21931,Industrials
INF663L01W06,INF663L01W06,Sansera Engineering Ltd,INE953O01021,149242.0,0.0,1.21653,Consumer Cyclical
INF663L01W06,INF663L01W06,Kirloskar Pneumatic Co Ltd,INE811A01020,155095.0,0.0,1.21289,Industrials
INF663L01W06,INF663L01W06,Bluestone Jewellery And Lifestyle Ltd,INE304W01038,338361.0,338361.0,1.16117,Consumer Cyclical
INF663L01W06,INF663L01W06,Schneider Electric Infrastructure Ltd,INE839M01018,209802.0,0.0,1.1539,Industrials
INF663L01W06,INF663L01W06,Kaynes Technology India Ltd,INE918Z01012,29090.0,0.0,1.14297,Industrials
INF663L01W06,INF663L01W06,Max Financial Services Ltd,INE180A01020,110000.0,0.0,1.13093,Financial Services
INF663L01W06,INF663L01W06,Cholamandalam Financial Holdings Ltd,INE149A01033,101128.0,0.0,1.11986,Financial Services
INF663L01W06,INF663L01W06,Blackbuck Ltd,INE0UIZ01018,273210.0,273210.0,1.11632,Technology
INF663L01W06,INF663L01W06,Akzo Nobel India Ltd,INE133A01011,50317.0,13579.0,1.10121,Basic Materials
INF663L01W06,INF663L01W06,PB Fintech Ltd,INE417T01026,88300.0,0.0,1.00336,Financial Services
INF663L01W06,INF663L01W06,Greenply Industries Ltd,INE461C01038,504527.0,0.0,0.99925,Basic Materials
INF663L01W06,INF663L01W06,Ather Energy Ltd,INE0LEZ01016,340038.0,340038.0,0.98222,Consumer Cyclical
INF663L01W06,INF663L01W06,360 One Wam Ltd Ordinary Shares,INE466L01038,146853.0,0.0,0.9594,Financial Services
INF663L01W06,INF663L01W06,Ganesha Ecosphere Ltd,INE845D01014,102775.0,-34502.0,0.87772,Consumer Cyclical
INF663L01W06,INF663L01W06,Neuland Laboratories Ltd,INE794A01010,9869.0,0.0,0.85208,Healthcare
INF663L01W06,INF663L01W06,CreditAccess Grameen Ltd Ordinary Shares,INE741K01010,92184.0,0.0,0.82809,Financial Services
INF663L01W06,INF663L01W06,Brigade Enterprises Ltd,INE791I01019,136172.0,0.0,0.80661,Real Estate
INF663L01W06,INF663L01W06,Ratnamani Metals & Tubes Ltd,INE703B01027,46556.0,0.0,0.71463,Basic Materials
INF663L01W06,INF663L01W06,Anthem Biosciences Ltd,INE0CZ201020,124000.0,0.0,0.65092,Healthcare
INF663L01W06,INF663L01W06,Shivalik Bimetal Controls Ltd,INE386D01027,168306.0,0.0,0.52629,Industrials
INF663L01W06,INF663L01W06,Concord Enviro Systems Ltd,INE037Z01029,142758.0,0.0,0.49728,Utilities
INF663L01W06,INF663L01W06,Technocraft Industries (India) Ltd,INE545H01011,21630.0,0.0,0.34241,Industrials
INF663L01W06,INF663L01W06,Innova Captab Ltd,INE0DUT01020,46227.0,0.0,0.26758,Healthcare
INF663L01W06,INF663L01W06,P N Gadgil Jewellers Ltd,INE953R01016,0.0,-271134.0,0.0,Consumer Cyclical
