fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF846K01K35,INF846K01K35,Multi Commodity Exchange of India Ltd,INE745G01043,660372.0,0.0,2.77016,Financial Services
INF846K01K35,INF846K01K35,CCL Products (India) Ltd,INE421D01022,6890846.0,-2756.0,2.45089,Consumer Defensive
INF846K01K35,INF846K01K35,Krishna Institute of Medical Sciences Ltd,INE967H01025,10130828.0,-514915.0,2.32254,Healthcare
INF846K01K35,INF846K01K35,City Union Bank Ltd,INE491A01021,19699201.0,0.0,2.15789,Financial Services
INF846K01K35,INF846K01K35,Brigade Enterprises Ltd,INE791I01019,6154986.0,0.0,2.0519,Real Estate
INF846K01K35,INF846K01K35,J.B. Chemicals & Pharmaceuticals Ltd,INE572A01036,2984782.0,0.0,2.04597,Healthcare
INF846K01K35,INF846K01K35,Cholamandalam Financial Holdings Ltd,INE149A01033,2768484.0,0.0,1.89061,Financial Services
INF846K01K35,INF846K01K35,Blue Star Ltd,INE472A01039,2603151.0,0.0,1.6971,Industrials
INF846K01K35,INF846K01K35,PB Fintech Ltd,INE417T01026,2276818.0,0.0,1.56574,Financial Services
INF846K01K35,INF846K01K35,HDFC Bank Ltd,INE040A01034,4067560.0,0.0,1.51873,Financial Services
INF846K01K35,INF846K01K35,Can Fin Homes Ltd,INE477A01020,4272355.0,0.0,1.49679,Financial Services
INF846K01K35,INF846K01K35,Craftsman Automation Ltd,INE00LO01017,448509.0,0.0,1.29914,Consumer Cyclical
INF846K01K35,INF846K01K35,Sai Life Sciences Ltd,INE570L01029,3771187.0,0.0,1.29045,Healthcare
INF846K01K35,INF846K01K35,JK Lakshmi Cement Ltd,INE786A01032,4300757.0,0.0,1.26057,Basic Materials
INF846K01K35,INF846K01K35,Vesuvius India Ltd,INE386A01023,6902100.0,0.0,1.24954,Industrials
INF846K01K35,INF846K01K35,Minda Corp Ltd,INE842C01021,5769277.0,0.0,1.24766,Consumer Cyclical
INF846K01K35,INF846K01K35,Kaynes Technology India Ltd,INE918Z01012,803894.0,-9005.0,1.21522,Technology
INF846K01K35,INF846K01K35,Karur Vysya Bank Ltd,INE036D01028,12132840.0,0.0,1.20579,Financial Services
INF846K01K35,INF846K01K35,Ahluwalia Contracts (India) Ltd,INE758C01029,3220147.0,0.0,1.18947,Industrials
INF846K01K35,INF846K01K35,Narayana Hrudayalaya Ltd,INE410P01011,1663780.0,0.0,1.18578,Healthcare
INF846K01K35,INF846K01K35,Phoenix Mills Ltd,INE211B01039,1681118.0,0.0,1.17375,Real Estate
INF846K01K35,INF846K01K35,Navin Fluorine International Ltd,INE048G01026,522648.0,0.0,1.16551,Basic Materials
INF846K01K35,INF846K01K35,Galaxy Surfactants Ltd,INE600K01018,1406032.0,0.0,1.08545,Basic Materials
INF846K01K35,INF846K01K35,KFin Technologies Ltd,INE138Y01010,2412549.0,0.0,0.98331,Technology
INF846K01K35,INF846K01K35,Fine Organic Industries Ltd Ordinary Shares,INE686Y01026,633550.0,0.0,0.98234,Basic Materials
INF846K01K35,INF846K01K35,Reliance Industries Ltd,INE002A01018,1608236.0,0.0,0.95136,Energy
INF846K01K35,INF846K01K35,Tata Consultancy Services Ltd,INE467B01029,780213.0,200000.0,0.9423,Technology
INF846K01K35,INF846K01K35,Laurus Labs Ltd,INE947Q01028,2117487.0,0.0,0.88379,Healthcare
INF846K01K35,INF846K01K35,SJS Enterprises Ltd,INE284S01014,1377351.0,0.0,0.88176,Consumer Cyclical
INF846K01K35,INF846K01K35,Mrs Bectors Food Specialities Ltd Ordinary Shares,INE495P01020,10110590.0,0.0,0.8775,Consumer Defensive
INF846K01K35,INF846K01K35,DOMS Industries Ltd,INE321T01012,890292.0,0.0,0.87712,Industrials
INF846K01K35,INF846K01K35,Affle 3i Ltd,INE00WC01027,1214969.0,0.0,0.82353,Communication Services
INF846K01K35,INF846K01K35,Kalpataru Projects International Ltd,INE220B01022,1774516.0,0.0,0.80374,Industrials
INF846K01K35,INF846K01K35,L&T Finance Ltd,INE498L01015,6720084.0,0.0,0.7998,Financial Services
INF846K01K35,INF846K01K35,Kirloskar Oil Engines Ltd,INE146L01010,1722073.0,0.0,0.79062,Industrials
INF846K01K35,INF846K01K35,Vijaya Diagnostic Centre Ltd,INE043W01024,1967924.0,0.0,0.78652,Healthcare
INF846K01K35,INF846K01K35,Sagility Ltd,INE0W2G01015,38441484.0,0.0,0.75328,Healthcare
INF846K01K35,INF846K01K35,RHI Magnesita India Ltd,INE743M01012,4353959.0,0.0,0.75289,Industrials
INF846K01K35,INF846K01K35,Computer Age Management Services Ltd Ordinary Shares,INE596I01020,2655110.0,0.0,0.74102,Technology
INF846K01K35,INF846K01K35,CreditAccess Grameen Ltd Ordinary Shares,INE741K01010,1532673.0,0.0,0.73531,Financial Services
INF846K01K35,INF846K01K35,OneSource Specialty Pharma Ltd,INE013P01021,1066196.0,0.0,0.72719,Healthcare
INF846K01K35,INF846K01K35,India Shelter Finance Corporation Ltd,INE922K01024,2391697.0,0.0,0.72422,Financial Services
INF846K01K35,INF846K01K35,Central Depository Services (India) Ltd,INE736A01011,1309794.0,0.0,0.71226,Financial Services
INF846K01K35,INF846K01K35,Coforge Ltd,INE591G01025,1129938.0,0.0,0.70784,Technology
INF846K01K35,INF846K01K35,Data Patterns (India) Ltd,INE0IX101010,705963.0,0.0,0.69849,Industrials
INF846K01K35,INF846K01K35,Sudarshan Chemical Industries Ltd,INE659A01023,1945414.0,0.0,0.6945,Basic Materials
INF846K01K35,INF846K01K35,Radico Khaitan Ltd,INE944F01028,554354.0,0.0,0.68877,Consumer Defensive
INF846K01K35,INF846K01K35,Syrma SGS Technology Ltd,INE0DYJ01015,2484070.0,0.0,0.68603,Technology
INF846K01K35,INF846K01K35,Jubilant Ingrevia Ltd Ordinary Shares,INE0BY001018,2578209.0,0.0,0.68318,Basic Materials
INF846K01K35,INF846K01K35,Avalon Technologies Ltd,INE0LCL01028,2018325.0,0.0,0.66822,Technology
INF846K01K35,INF846K01K35,Crompton Greaves Consumer Electricals Ltd,INE299U01018,7011705.0,0.0,0.66626,Consumer Cyclical
INF846K01K35,INF846K01K35,Gujarat Fluorochemicals Ltd Ordinary Shares,INE09N301011,464211.0,0.0,0.64111,Basic Materials
INF846K01K35,INF846K01K35,Sansera Engineering Ltd,INE953O01021,1006025.0,0.0,0.63552,Consumer Cyclical
INF846K01K35,INF846K01K35,Devyani International Ltd,INE872J01023,11311741.0,0.0,0.63042,Consumer Cyclical
INF846K01K35,INF846K01K35,Union Bank of India,INE692A01016,10743897.0,0.0,0.62229,Financial Services
INF846K01K35,INF846K01K35,Apar Industries Ltd,INE372A01015,194983.0,0.0,0.61458,Industrials
INF846K01K35,INF846K01K35,TBO Tek Ltd,INE673O01025,978007.0,0.0,0.61255,Consumer Cyclical
INF846K01K35,INF846K01K35,Aptus Value Housing Finance India Ltd,INE852O01025,5603959.0,0.0,0.58917,Financial Services
INF846K01K35,INF846K01K35,Bharat Dynamics Ltd Ordinary Shares,INE171Z01026,1040464.0,0.0,0.57477,Industrials
INF846K01K35,INF846K01K35,Chemplast Sanmar Ltd,INE488A01050,5799329.0,0.0,0.57061,Basic Materials
INF846K01K35,INF846K01K35,Gokaldas Exports Ltd,INE887G01027,2037712.0,0.0,0.56963,Consumer Cyclical
INF846K01K35,INF846K01K35,CIE Automotive India Ltd,INE536H01010,3505127.0,0.0,0.56049,Consumer Cyclical
INF846K01K35,INF846K01K35,PNB Housing Finance Ltd,INE572E01012,1559900.0,500000.0,0.5591,Financial Services
INF846K01K35,INF846K01K35,Arvind Fashions Ltd,INE955V01021,2914727.0,0.0,0.54804,Consumer Cyclical
INF846K01K35,INF846K01K35,Rategain Travel Technologies Ltd,INE0CLI01024,2090422.0,0.0,0.54468,Technology
INF846K01K35,INF846K01K35,Neogen Chemicals Ltd,INE136S01016,1217809.0,0.0,0.54324,Basic Materials
INF846K01K35,INF846K01K35,Birlasoft Ltd,INE836A01035,3321922.0,458500.0,0.54221,Technology
INF846K01K35,INF846K01K35,Inventurus Knowledge Solutions Ltd,INE115Q01022,849601.0,0.0,0.53056,Healthcare
INF846K01K35,INF846K01K35,Grindwell Norton Ltd,INE536A01023,895775.0,0.0,0.52778,Industrials
INF846K01K35,INF846K01K35,Welspun Corp Ltd,INE191B01025,1707646.0,0.0,0.52387,Basic Materials
INF846K01K35,INF846K01K35,Anant Raj Ltd,INE242C01024,2538132.0,0.0,0.52327,Real Estate
INF846K01K35,INF846K01K35,Deepak Fertilisers & Petrochemicals Corp Ltd,INE501A01019,1078851.0,0.0,0.52307,Basic Materials
INF846K01K35,INF846K01K35,Tech Mahindra Ltd,INE669C01036,868319.0,0.0,0.52037,Technology
INF846K01K35,INF846K01K35,R R Kabel Ltd,INE777K01022,941352.0,0.0,0.51513,Industrials
INF846K01K35,INF846K01K35,Cohance Lifesciences Ltd,INE03QK01018,2540619.0,0.0,0.50589,Healthcare
INF846K01K35,INF846K01K35,Carborundum Universal Ltd,INE120A01034,1560588.0,0.0,0.50315,Industrials
INF846K01K35,INF846K01K35,Chalet Hotels Ltd,INE427F01016,1533836.0,0.0,0.50299,Consumer Cyclical
INF846K01K35,INF846K01K35,Mahanagar Gas Ltd,INE002S01010,1157462.0,0.0,0.49535,Utilities
INF846K01K35,INF846K01K35,Tata Consumer Products Ltd,INE192A01025,1102866.0,0.0,0.49521,Consumer Defensive
INF846K01K35,INF846K01K35,Mahindra Lifespace Developers Ltd,INE813A01018,3229761.0,0.0,0.48008,Real Estate
INF846K01K35,INF846K01K35,Hindalco Industries Ltd,INE038A01020,1430102.0,0.0,0.47767,Basic Materials
INF846K01K35,INF846K01K35,Rolex Rings Ltd,INE645S01024,9812900.0,0.0,0.47599,Industrials
INF846K01K35,INF846K01K35,UNO Minda Ltd,INE405E01023,976563.0,0.0,0.473,Consumer Cyclical
INF846K01K35,INF846K01K35,Alembic Pharmaceuticals Ltd,INE901L01018,1455416.0,0.0,0.4639,Healthcare
INF846K01K35,INF846K01K35,Orient Electric Ltd Ordinary Shares,INE142Z01019,6742466.0,0.0,0.44734,Consumer Cyclical
INF846K01K35,INF846K01K35,Niva Bupa Health Insurance Co Ltd,INE995S01015,15589384.0,1664524.0,0.44278,Financial Services
INF846K01K35,INF846K01K35,Time Technoplast Ltd,INE508G01029,6181542.0,0.0,0.43779,Consumer Cyclical
INF846K01K35,INF846K01K35,Ujjivan Small Finance Bank Ltd Ordinary Shares,INE551W01018,21911185.0,0.0,0.43737,Financial Services
INF846K01K35,INF846K01K35,Balrampur Chini Mills Ltd,INE119A01028,2571523.0,0.0,0.43048,Consumer Defensive
