fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF917K01QA1,INF917K01QA1,Nippon Life India Asset Management Ltd Ordinary Shares,INE298J01013,4446300.0,0.0,2.40696,Financial Services
INF917K01QA1,INF917K01QA1,Multi Commodity Exchange of India Ltd,INE745G01035,479200.0,0.0,2.32897,Financial Services
INF917K01QA1,INF917K01QA1,GE Vernova T&D India Ltd,INE200A01026,1112500.0,0.0,2.05324,Industrials
INF917K01QA1,INF917K01QA1,Kaynes Technology India Ltd,INE918Z01012,462300.0,64873.0,2.03241,Technology
INF917K01QA1,INF917K01QA1,Karur Vysya Bank Ltd,INE036D01028,14294880.0,0.0,1.87954,Financial Services
INF917K01QA1,INF917K01QA1,Supreme Petrochem Ltd,INE663A01033,3565768.0,0.0,1.84982,Basic Materials
INF917K01QA1,INF917K01QA1,Sobha Ltd,INE671H01015,1875628.0,0.0,1.80246,Real Estate
INF917K01QA1,INF917K01QA1,Time Technoplast Ltd,INE508G01029,13621000.0,0.0,1.78151,Consumer Cyclical
INF917K01QA1,INF917K01QA1,K.P.R. Mill Ltd,INE930H01031,2573250.0,0.0,1.70823,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Lemon Tree Hotels Ltd,INE970X01018,16424446.0,0.0,1.70288,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Motilal Oswal Financial Services Ltd,INE338I01027,3021718.0,0.0,1.68334,Financial Services
INF917K01QA1,INF917K01QA1,eClerx Services Ltd,INE738I01010,668511.0,0.0,1.67357,Technology
INF917K01QA1,INF917K01QA1,Techno Electric & Engineering Co Ltd,INE285K01026,2001316.0,-307174.0,1.66361,Industrials
INF917K01QA1,INF917K01QA1,Radico Khaitan Ltd,INE944F01028,913103.0,0.0,1.6439,Consumer Defensive
INF917K01QA1,INF917K01QA1,Kirloskar Pneumatic Co Ltd,INE811A01020,2086992.0,0.0,1.56569,Industrials
INF917K01QA1,INF917K01QA1,Sumitomo Chemical India Ltd Ordinary Shares,INE258G01013,4672221.0,0.0,1.55321,Basic Materials
INF917K01QA1,INF917K01QA1,E I D Parry India Ltd,INE126A01031,2410118.0,0.0,1.54081,Basic Materials
INF917K01QA1,INF917K01QA1,Amber Enterprises India Ltd Ordinary Shares,INE371P01015,302598.0,0.0,1.52593,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Neuland Laboratories Ltd,INE794A01010,166718.0,0.0,1.51795,Healthcare
INF917K01QA1,INF917K01QA1,EIH Ltd,INE230A01023,6697900.0,660000.0,1.50278,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Engineers India Ltd,INE510A01028,11718600.0,0.0,1.41047,Industrials
INF917K01QA1,INF917K01QA1,PNB Housing Finance Ltd,INE572E01012,2566200.0,0.0,1.38159,Financial Services
INF917K01QA1,INF917K01QA1,Bikaji Foods International Ltd,INE00E101023,2944415.0,406902.0,1.36595,Consumer Defensive
INF917K01QA1,INF917K01QA1,KEI Industries Ltd,INE878B01027,537700.0,0.0,1.36172,Industrials
INF917K01QA1,INF917K01QA1,Dixon Technologies (India) Ltd,INE935N01020,132400.0,0.0,1.34721,Technology
INF917K01QA1,INF917K01QA1,Aditya Birla Real Estate Ltd,INE055A01016,1276862.0,0.0,1.34478,Basic Materials
INF917K01QA1,INF917K01QA1,Kajaria Ceramics Ltd,INE217B01036,1845200.0,0.0,1.34219,Industrials
INF917K01QA1,INF917K01QA1,KFin Technologies Ltd,INE138Y01010,2004200.0,-277310.0,1.31404,Technology
INF917K01QA1,INF917K01QA1,Cera Sanitaryware Ltd,INE739E01017,338650.0,0.0,1.30102,Industrials
INF917K01QA1,INF917K01QA1,Delhivery Ltd,INE148O01028,4606700.0,0.0,1.29248,Industrials
INF917K01QA1,INF917K01QA1,Apar Industries Ltd,INE372A01015,249630.0,-34235.0,1.27392,Industrials
INF917K01QA1,INF917K01QA1,Ratnamani Metals & Tubes Ltd,INE703B01027,842458.0,0.0,1.26599,Basic Materials
INF917K01QA1,INF917K01QA1,Wockhardt Ltd,INE049B01025,1325150.0,0.0,1.25239,Healthcare
INF917K01QA1,INF917K01QA1,Sai Life Sciences Ltd,INE570L01029,2310256.0,481232.0,1.23961,Healthcare
INF917K01QA1,INF917K01QA1,Polycab India Ltd,INE455K01017,272724.0,0.0,1.23876,Industrials
INF917K01QA1,INF917K01QA1,Jyoti CNC Automation Ltd,INE980O01024,2317401.0,0.0,1.22785,Industrials
INF917K01QA1,INF917K01QA1,KEC International Ltd,INE389H01022,2200957.0,0.0,1.19778,Industrials
INF917K01QA1,INF917K01QA1,Aster DM Healthcare Ltd Ordinary Shares,INE914M01019,2942620.0,0.0,1.15012,Healthcare
INF917K01QA1,INF917K01QA1,Cholamandalam Financial Holdings Ltd,INE149A01033,961643.0,0.0,1.13006,Financial Services
INF917K01QA1,INF917K01QA1,Housing & Urban Development Corp Ltd,INE031A01017,8043000.0,0.0,1.1213,Financial Services
INF917K01QA1,INF917K01QA1,CCL Products (India) Ltd,INE421D01022,2071654.0,15554.0,1.09163,Consumer Defensive
INF917K01QA1,INF917K01QA1,Devyani International Ltd,INE872J01023,9588600.0,0.0,1.00442,Consumer Cyclical
INF917K01QA1,INF917K01QA1,KPIT Technologies Ltd,INE04I401011,1457100.0,0.0,0.99712,Technology
INF917K01QA1,INF917K01QA1,Brigade Enterprises Ltd,INE791I01019,1741399.0,-50000.0,0.97276,Real Estate
INF917K01QA1,INF917K01QA1,Finolex Cables Ltd,INE235A01022,1903645.0,0.0,0.97011,Industrials
INF917K01QA1,INF917K01QA1,IIFL Finance Ltd,INE530B01024,3399982.0,0.0,0.95784,Financial Services
INF917K01QA1,INF917K01QA1,Gokaldas Exports Ltd,INE887G01027,2063023.0,0.0,0.92594,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Vijaya Diagnostic Centre Ltd,INE043W01024,1481600.0,0.0,0.92365,Healthcare
INF917K01QA1,INF917K01QA1,Firstsource Solutions Ltd,INE684F01012,4407721.0,0.0,0.90348,Technology
INF917K01QA1,INF917K01QA1,Oberoi Realty Ltd,INE093I01010,911600.0,0.0,0.89911,Real Estate
INF917K01QA1,INF917K01QA1,Titagarh Rail Systems Ltd,INE615H01020,1630400.0,0.0,0.88717,Industrials
INF917K01QA1,INF917K01QA1,Concord Biotech Ltd,INE338H01029,853962.0,0.0,0.87719,Healthcare
INF917K01QA1,INF917K01QA1,The Federal Bank Ltd,INE171A01029,7267800.0,-4272400.0,0.87413,Financial Services
INF917K01QA1,INF917K01QA1,Aegis Logistics Ltd,INE208C01025,1816302.0,0.0,0.86706,Energy
INF917K01QA1,INF917K01QA1,Swiggy Ltd,INE00H001014,3241900.0,1527800.0,0.8548,Consumer Cyclical
INF917K01QA1,INF917K01QA1,PTC Industries Ltd,INE596F01018,80656.0,0.0,0.78078,Industrials
INF917K01QA1,INF917K01QA1,Finolex Industries Ltd,INE183A01024,5984579.0,0.0,0.74654,Industrials
INF917K01QA1,INF917K01QA1,Sharda Motor Industries Ltd,INE597I01028,1113424.0,0.0,0.72605,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Prudent Corporate Advisory Services Ltd,INE00F201020,449520.0,0.0,0.72262,Financial Services
INF917K01QA1,INF917K01QA1,Suzlon Energy Ltd,INE040H01021,20324400.0,0.0,0.69751,Industrials
INF917K01QA1,INF917K01QA1,Jindal Saw Ltd,INE324A01032,5355734.0,-431566.0,0.67718,Basic Materials
INF917K01QA1,INF917K01QA1,Vinati Organics Ltd,INE410B01037,622492.0,0.0,0.67369,Basic Materials
INF917K01QA1,INF917K01QA1,Tube Investments of India Ltd Ordinary Shares,INE974X01010,344049.0,0.0,0.66419,Industrials
INF917K01QA1,INF917K01QA1,Blue Star Ltd,INE472A01039,556271.0,0.0,0.6523,Industrials
INF917K01QA1,INF917K01QA1,HDB Financial Services Ltd,INE756I01012,1378485.0,0.0,0.64478,Financial Services
INF917K01QA1,INF917K01QA1,Welspun Living Ltd,INE192B01031,8736950.0,0.0,0.62474,Consumer Cyclical
INF917K01QA1,INF917K01QA1,Persistent Systems Ltd,INE262H01021,207600.0,-77000.0,0.62413,Technology
