fund_id,fund_name,security_name,isin,number_of_shares,share_change,weight_pct,sector
INF966L01689,INF966L01689,Reliance Industries Ltd,INE002A01018,19555849.0,0.0,9.10769,Energy
INF966L01689,INF966L01689,Jio Financial Services Ltd,INE758E01017,60489693.0,0.0,6.05568,Financial Services
INF966L01689,INF966L01689,RBL Bank Ltd,INE976G01028,37914176.0,0.0,3.58914,Financial Services
INF966L01689,INF966L01689,Aegis Logistics Ltd,INE208C01025,13184087.0,0.0,3.4471,Energy
INF966L01689,INF966L01689,Adani Power Ltd,INE814H01029,60430545.0,3906250.0,2.98464,Utilities
INF966L01689,INF966L01689,Anand Rathi Wealth Ltd,INE463V01026,2575324.0,0.0,2.48568,Financial Services
INF966L01689,INF966L01689,Aster DM Healthcare Ltd Ordinary Shares,INE914M01019,11305160.0,421217.0,2.42006,Healthcare
INF966L01689,INF966L01689,Bikaji Foods International Ltd,INE00E101023,9172820.0,-1062969.0,2.33067,Consumer Defensive
INF966L01689,INF966L01689,Poly Medicure Ltd,INE205C01021,3298837.0,0.0,2.19427,Healthcare
INF966L01689,INF966L01689,Adani Enterprises Ltd,INE423A01024,2468292.0,0.0,2.11192,Energy
INF966L01689,INF966L01689,Ventive Hospitality Ltd,INE781S01027,8315686.0,0.0,1.97802,Consumer Cyclical
INF966L01689,INF966L01689,HFCL Ltd,INE548A01028,75584924.0,0.0,1.88088,Technology
INF966L01689,INF966L01689,Sun TV Network Ltd,INE424H01027,10312446.0,0.0,1.84312,Communication Services
INF966L01689,INF966L01689,Capri Global Capital Ltd,INE180C01042,28450736.0,0.0,1.79889,Financial Services
INF966L01689,INF966L01689,Usha Martin Ltd,INE228A01035,10716104.0,1376708.0,1.68073,Basic Materials
INF966L01689,INF966L01689,Piramal Finance Ltd,INE202B01038,4335570.0,4335570.0,1.66421,
INF966L01689,INF966L01689,Bayer CropScience Ltd,INE462A01022,986394.0,0.0,1.62016,Basic Materials
INF966L01689,INF966L01689,NBCC India Ltd,INE095N01031,41286749.0,0.0,1.50951,Industrials
INF966L01689,INF966L01689,Pfizer Ltd,INE182A01018,875027.0,0.0,1.50461,Healthcare
INF966L01689,INF966L01689,Oil & Natural Gas Corp Ltd,INE213A01029,18387225.0,0.0,1.50362,Energy
INF966L01689,INF966L01689,Arvind Ltd,INE034A01011,14133985.0,0.0,1.46636,Consumer Cyclical
INF966L01689,INF966L01689,Aditya Birla Lifestyle Brands Ltd,INE14LE01019,32212218.0,0.0,1.46183,Consumer Cyclical
INF966L01689,INF966L01689,Sequent Scientific Ltd,INE807F01027,22502050.0,0.0,1.43129,Healthcare
INF966L01689,INF966L01689,Minda Corp Ltd,INE842C01021,7303592.0,0.0,1.42007,Consumer Cyclical
INF966L01689,INF966L01689,Zydus Wellness Ltd,INE768C01028,9033845.0,0.0,1.41025,Consumer Defensive
INF966L01689,INF966L01689,Welspun Corp Ltd,INE191B01025,4319413.0,0.0,1.26445,Basic Materials
INF966L01689,INF966L01689,Keystone Realtors Ltd,INE263M01029,6219091.0,0.0,1.25433,Real Estate
INF966L01689,INF966L01689,Welspun Enterprises Ltd,INE625G01013,6712318.0,0.0,1.14467,Industrials
INF966L01689,INF966L01689,NCC Ltd,INE868B01028,15652969.0,0.0,1.10943,Industrials
INF966L01689,INF966L01689,Marathon Nextgen Realty Ltd,INE182D01020,5484914.0,0.0,1.10522,Real Estate
INF966L01689,INF966L01689,Jubilant Pharmova Ltd,INE700A01033,2947185.0,0.0,1.08619,Healthcare
INF966L01689,INF966L01689,Just Dial Ltd,INE599M01018,3767715.0,0.0,1.06673,Communication Services
INF966L01689,INF966L01689,Bata India Ltd,INE176A01028,2648400.0,242915.0,1.05348,Consumer Cyclical
INF966L01689,INF966L01689,Afcons Infrastructure Ltd,INE101I01011,6641314.0,0.0,1.032,Industrials
INF966L01689,INF966L01689,E I D Parry India Ltd,INE126A01031,2737754.0,0.0,0.95862,Basic Materials
